date,open,high,low,close,volume
2017-11-17T14:30,245.24,246.59,242.59,246.46,275872
2017-11-17T18:30,246.36,246.51,245.1,245.2,158039
2017-11-20T14:30,252.37,255.8,251.63,255.8,568313
2017-11-20T18:30,255.8,255.8,253.64,253.69,333090
2017-11-21T14:30,255.03,255.33,253.59,254.06,238014
2017-11-21T18:30,253.99,254.19,253.12,253.34,283836
2017-11-22T14:30,253.34,254.77,250.41,251.31,373061
2017-11-22T18:30,251.36,251.36,249.64,250.31,292511
2017-11-24T14:30,250.31,250.81,249,250.51,258585
2017-11-24T18:30,250.61,250.61,250.61,250.61,33
2017-11-27T14:30,250.86,252.03,249.47,250.14,152998
2017-11-27T18:30,250.11,250.61,249.67,250.29,145880
2017-11-28T14:30,250.86,253.24,249.91,252.52,202116
2017-11-28T18:30,252.52,252.87,251.78,252.67,168403
2017-11-29T14:30,253.89,254.26,251.75,253.76,222170
2017-11-29T18:30,253.72,254.46,253.07,253.49,170004
2017-11-30T14:30,254.83,260.72,251.45,260.35,300824
2017-11-30T18:30,260.22,260.77,258.53,259.95,244263
2017-12-01T14:30,258.73,259.6,252.06,256.17,360743
2017-12-01T18:30,256.17,257.47,255.95,257.09,199358
2017-12-04T14:30,257.09,257.71,252.61,257.66,312210
2017-12-04T18:30,257.69,260.77,257.12,259.06,519197
2017-12-05T14:30,73.59,74.23,71.33,73.46,1691419
2017-12-05T18:30,73.44,73.71,72.65,73.49,1422669
2017-12-06T14:30,73.22,74.21,71.18,71.22,1495743
2017-12-06T18:30,71.22,71.63,70.52,70.72,955018
2017-12-07T14:30,70.36,70.72,69.44,69.71,1302900
2017-12-07T18:30,69.69,70.56,69.66,69.86,1356591
2017-12-08T14:30,70.34,71.14,69.73,70.78,1476161
2017-12-08T18:30,70.76,70.88,70.51,70.56,1068061
2017-12-11T14:30,72.05,72.15,70.41,71.09,2083546
2017-12-11T18:30,71.09,71.59,71.05,71.1,1489710
2017-12-12T14:30,71.65,71.71,70.69,70.88,1591357
2017-12-12T18:30,70.9,71.25,70.74,70.94,840380
2017-12-13T14:30,71.19,71.26,70.07,70.21,926464
2017-12-13T18:30,70.23,70.25,69.08,69.21,910613
2017-12-14T14:30,69.2,70.07,69.19,69.42,804438
2017-12-14T18:30,69.43,69.43,68.69,68.77,951309
2017-12-15T14:30,69.44,69.94,69.06,69.72,856716
2017-12-15T18:30,69.74,69.93,69.52,69.86,582574
2017-12-18T14:30,70.02,70.76,69.88,70.17,796391
2017-12-18T18:30,70.16,70.19,69.65,69.75,668696
2017-12-19T14:30,70.17,71.95,70.08,71.75,1493362
2017-12-19T18:30,71.73,71.82,70.84,70.87,589225
2017-12-20T14:30,71.23,71.52,70.62,71.49,1015639
2017-12-20T18:30,71.49,71.52,71.03,71.07,497639
2017-12-21T14:30,71.23,71.85,70.75,70.88,1045099
2017-12-21T18:30,70.87,70.87,70.27,70.35,508542
2017-12-22T14:30,70.53,70.53,69.68,70.05,577355
2017-12-22T18:30,70.06,70.39,70.05,70.2,216097
2017-12-26T14:30,70.07,70.47,69.93,70.26,133899
2017-12-26T18:30,70.26,70.36,70.14,70.27,149296
2017-12-27T14:30,70.4,70.76,70.05,70.33,323093
2017-12-27T18:30,70.36,70.36,70.07,70.14,250521
2017-12-28T14:30,70.42,70.74,70.14,70.55,518566
2017-12-28T18:30,70.55,70.86,70.45,70.83,356573
2017-12-29T14:30,70.91,71.18,70.25,70.62,367636
2017-12-29T18:30,70.65,70.65,70.23,70.24,294996
2018-01-02T14:30,70.25,71.58,69.96,71.13,800157
2018-01-02T18:30,71.13,71.56,71.13,71.3,544249
2018-01-03T14:30,71.28,72.49,70.98,72.4,701738
2018-01-03T18:30,72.36,72.74,72.25,72.47,622940
2018-01-04T14:30,72.81,73.56,72.81,73.5,653332
2018-01-04T18:30,73.5,74.03,73.49,73.62,770480
2018-01-05T14:30,74.43,75.93,74.11,75.55,1206795
2018-01-05T18:30,75.53,75.91,75.36,75.8,855977
2018-01-08T14:30,76.57,76.97,75.44,76.35,877221
2018-01-08T18:30,76.35,76.43,76.06,76.09,757954
2018-01-09T14:30,76.41,77.4,76.36,77.24,1422638
2018-01-09T18:30,77.24,77.57,76.71,76.83,1071797
2018-01-10T14:30,76.45,76.53,74.95,75.66,1084820
2018-01-10T18:30,75.66,75.67,74.66,74.89,1011795
2018-01-11T14:30,74.98,75.99,74.63,75.96,812309
2018-01-11T18:30,75.96,76.39,75.85,76.22,929824
2018-01-12T14:30,76.44,77.24,76.22,76.99,704684
2018-01-12T18:30,77,77.01,76.75,76.92,546502
2018-01-16T14:30,77.79,77.84,76.83,77,1226060
2018-01-16T18:30,76.95,77.03,76.32,76.62,908528
2018-01-17T14:30,76.48,77.97,76.11,77.18,1070796
2018-01-17T18:30,77.18,77.67,77.1,77.48,721300
2018-01-18T14:30,77.7,77.82,76.54,76.83,784599
2018-01-18T18:30,76.86,77.2,76.82,77.08,465955
2018-01-19T14:30,77.34,77.86,76.78,77.09,1092519
2018-01-19T18:30,77.1,77.65,77.07,77.43,793328
2018-01-22T14:30,77.81,78.14,76.32,77.21,890423
2018-01-22T18:30,77.18,77.47,76.95,77.44,556847
2018-01-23T14:30,77.16,77.45,76.43,76.78,626354
2018-01-23T18:30,76.76,76.95,76.68,76.86,476351
2018-01-24T14:30,77.58,78.39,76.89,77.15,1035789
2018-01-24T18:30,77.19,77.7,77.17,77.45,697900
2018-01-25T14:30,77.82,78.1,76.58,76.9,1087532
2018-01-25T18:30,76.87,77.02,76.23,76.56,606795
2018-01-26T14:30,77.14,78.21,76.79,78.17,1364781
2018-01-26T18:30,78.17,78.44,77.91,78.22,988774
2018-01-29T14:30,78.65,79.04,77.96,78.97,2208398
2018-01-29T18:30,78.97,79.04,78.54,78.54,842101
2018-01-30T14:30,78.16,78.87,77.82,78.13,861280
2018-01-30T18:30,78.1,78.82,78.1,78.34,515057
2018-01-31T14:30,78.87,79.45,78.51,78.82,1409756
2018-01-31T18:30,78.82,78.86,77.94,78.42,1301127
2018-02-01T14:30,75.2,80.23,75.17,80.02,1612070
2018-02-01T18:30,80.01,80.01,78.9,79.36,972402
2018-02-02T14:30,79.5,79.65,78.51,78.88,1155011
2018-02-02T18:30,78.87,79.16,78.09,78.2,1091452
2018-02-05T14:30,78.09,79.35,77.3,77.63,1166333
2018-02-05T18:30,77.66,78,75.52,75.6,1257556
2018-02-06T14:30,74.53,76.86,73.78,76.31,1576316
2018-02-06T18:30,76.28,77.5,75.51,76.85,1357148
2018-02-07T14:30,76.78,79.12,76.54,78.34,1197885
2018-02-07T18:30,78.29,78.82,77.73,77.76,547284
2018-02-08T14:30,77.75,77.84,75.05,75.83,1441949
2018-02-08T18:30,75.78,76.43,74.05,74.11,1058294
2018-02-09T14:30,74.93,75.26,71.53,71.65,1378681
2018-02-09T18:30,71.69,74.04,71.51,73.48,1698745
2018-02-12T14:30,74.06,76.11,73.55,75.75,875499
2018-02-12T18:30,75.78,76.59,75.58,75.88,874409
2018-02-13T14:30,75.31,76.33,74.92,75.4,471174
2018-02-13T18:30,75.4,75.69,75.17,75.34,474337
2018-02-14T14:30,74.82,76.23,74.61,76.06,874824
2018-02-14T18:30,76.08,77.11,76.06,76.92,617636
2018-02-15T14:30,77.6,77.71,76.04,76.96,617161
2018-02-15T18:30,76.89,77.47,76.74,77.45,594395
2018-02-16T14:30,77.37,77.92,76.82,76.91,461332
2018-02-16T18:30,76.88,77.31,76.65,76.69,535492
2018-02-20T14:30,76.13,77.5,76.13,77.25,661393
2018-02-20T18:30,77.31,77.4,76.32,76.62,517949
2018-02-21T14:30,76.6,77.86,76.14,77.69,360244
2018-02-21T18:30,77.7,78.13,76.75,76.81,407889
2018-02-22T14:30,77.36,77.89,76.58,77.3,477235
2018-02-22T18:30,77.3,77.83,76.98,77.12,384631
2018-02-23T14:30,77.35,77.82,76.53,76.53,387428
2018-02-23T18:30,76.53,77.21,76.52,77.21,317622
2018-02-26T14:30,77.85,78.25,77.21,78.23,347328
2018-02-26T18:30,78.25,78.66,78.07,78.57,335542
2018-02-27T14:30,78.61,78.76,77.55,77.55,533011
2018-02-27T18:30,77.53,77.67,76.84,76.84,330794
2018-02-28T14:30,77.16,77.31,76.34,77.01,553283
2018-02-28T18:30,76.98,77.12,75.75,75.75,383887
2018-03-01T14:30,75.61,75.91,72.97,73.04,834165
2018-03-01T18:30,73.01,73.44,71.79,72.83,1293134
2018-03-02T14:30,72.24,73.97,72.12,73.11,892867
2018-03-02T18:30,73.1,74.01,72.89,73.54,682004
2018-03-05T14:30,73.05,73.84,72.5,73.49,990702
2018-03-05T18:30,73.45,74.09,73.42,73.7,672119
2018-03-06T14:30,74.21,75.25,73.53,74.63,676423
2018-03-06T18:30,74.66,74.75,74.28,74.63,540061
2018-03-07T14:30,73.87,74.39,73.33,73.94,707398
2018-03-07T18:30,73.96,74.4,73.63,74.18,714291
2018-03-08T14:30,74.43,74.68,73.76,74.11,307322
2018-03-08T18:30,74.11,74.71,73.99,74.43,397562
2018-03-09T14:30,75.32,76.72,75.11,75.84,651336
2018-03-09T18:30,75.86,76.61,75.84,76.57,308106
2018-03-12T13:30,76.62,77.23,76.07,76.21,253815
2018-03-12T17:30,76.22,76.32,75.66,75.87,227496
2018-03-13T13:30,75.89,76.64,75.36,75.92,386162
2018-03-13T17:30,75.96,76.05,75.24,75.44,314086
2018-03-14T13:30,76.09,76.09,74.43,74.53,325177
2018-03-14T17:30,74.57,74.89,74.09,74.1,517500
2018-03-15T13:30,74.3,74.57,73.36,73.54,564933
2018-03-15T17:30,73.54,74.18,73.45,73.83,680787
2018-03-16T13:30,73.96,74.46,73.65,73.99,500925
2018-03-16T17:30,73.94,74.41,73.94,74.13,410871
2018-03-19T13:30,74.04,74.42,72.37,72.46,430089
2018-03-19T17:30,72.47,73.05,72.47,72.92,679382
2018-03-20T13:30,73.36,73.62,72.61,72.72,610209
2018-03-20T17:30,72.68,73.33,72.68,72.91,649265
2018-03-21T13:30,73.02,73.67,72.69,73.35,504944
2018-03-21T17:30,73.33,73.92,73.13,73.15,518852
2018-03-22T13:30,72.64,73.04,70.51,71.31,761488
2018-03-22T17:30,71.32,71.4,69.26,69.53,969608
2018-03-23T13:30,69.8,70.83,68.48,69.17,878713
2018-03-23T17:30,69.21,69.39,67.33,67.36,975058
2018-03-26T13:30,68.63,70.28,68.53,69.15,821613
2018-03-26T17:30,69.19,70.63,69.04,70.55,700524
2018-03-27T13:30,70.64,72.02,70.18,71.13,939609
2018-03-27T17:30,71.13,71.21,69.43,69.97,1162227
2018-03-28T13:30,69.7,70.25,68.37,68.6,1063729
2018-03-28T17:30,68.61,69.08,68.3,68.72,808574
2018-03-29T13:30,69.08,70.5,68.96,70.35,768463
2018-03-29T17:30,70.36,70.87,70.34,70.5,586447
2018-04-02T13:30,70.14,70.19,67.37,67.42,975522
2018-04-02T17:30,67.42,67.89,66.9,67.7,821652
2018-04-03T13:30,68.51,69.59,68.12,68.54,577384
2018-04-03T17:30,68.59,69.4,67.69,68.53,648369
2018-04-04T13:30,67.63,69.36,67.25,68.66,784253
2018-04-04T17:30,68.68,70,68.67,69.88,470777
2018-04-05T13:30,70.7,71.41,70.38,71.18,656989
2018-04-05T17:30,71.16,71.47,70.97,71.26,561703
2018-04-06T13:30,70.43,70.84,70.09,70.37,756451
2018-04-06T17:30,70.41,70.45,68.96,69.54,611700
2018-04-09T13:30,70.01,70.47,69.58,70.17,467330
2018-04-09T17:30,70.18,70.3,69.4,69.44,483695
2018-04-10T13:30,70.38,71.5,70.34,71.1,950441
2018-04-10T17:30,71.12,71.6,70.8,71.39,606248
2018-04-11T13:30,71.12,71.68,70.63,71.11,891181
2018-04-11T17:30,71.09,71.27,70.56,70.87,690523
2018-04-12T13:30,71.48,71.76,71.04,71.17,451088
2018-04-12T17:30,71.19,71.45,71.06,71.23,401755
2018-04-13T13:30,71.6,72.08,70.99,71.25,463088
2018-04-13T17:30,71.26,71.27,70.78,70.97,459931
2018-04-16T13:30,71.72,72.55,71.42,72,484591
2018-04-16T17:30,72,72.29,71.97,72.15,392737
2018-04-17T13:30,73.46,73.71,72.82,73.46,833750
2018-04-17T17:30,73.47,73.52,73.01,73.13,419960
2018-04-18T13:30,73.44,73.79,72.9,73.07,441616
2018-04-18T17:30,73.07,73.14,72.64,72.77,337308
2018-04-19T13:30,72.78,72.78,70.33,70.72,503048
2018-04-19T17:30,70.72,71.53,70.71,71.39,300994
2018-04-20T13:30,71.58,71.79,70.94,71.32,419671
2018-04-20T17:30,71.3,71.64,70.99,71.61,438915
2018-04-23T13:30,71.78,72.16,71.51,71.66,322895
2018-04-23T17:30,71.7,71.85,71.32,71.8,398053
2018-04-24T13:30,72.45,73.13,71.07,71.16,678770
2018-04-24T17:30,71.12,71.39,70.28,71.22,491048
2018-04-25T13:30,70.93,71.07,69.94,70.43,325812
2018-04-25T17:30,70.49,70.98,70.4,70.72,271767
2018-04-26T13:30,70.78,72.04,70.15,71.9,549573
2018-04-26T17:30,71.92,72.71,71.87,72.55,688085
2018-04-27T13:30,72.25,72.61,71.5,72.14,585180
2018-04-27T17:30,72.14,72.14,71.31,71.38,442911
2018-04-30T13:30,71.74,71.84,70.71,70.73,571418
2018-04-30T17:30,70.73,70.85,70.15,70.19,525186
2018-05-01T13:30,70.29,70.62,69.47,69.63,760866
2018-05-01T17:30,69.63,70.08,69.45,70.06,1082476
2018-05-02T13:30,70.78,75.83,70.78,74.86,1785023
2018-05-02T17:30,74.87,75.87,74.65,74.72,1433731
2018-05-03T13:30,75.5,76.25,74.02,74.75,1420219
2018-05-03T17:30,74.76,75.7,74.76,75.6,810034
2018-05-04T13:30,74.97,76.31,74.74,76.22,617405
2018-05-04T17:30,76.22,76.99,76.19,76.83,572580
2018-05-07T13:30,77.09,78.18,76.64,77.75,937026
2018-05-07T17:30,77.75,77.76,77.13,77.39,575143
2018-05-08T13:30,77.12,77.93,76.65,77.43,617089
2018-05-08T17:30,77.44,77.98,77.24,77.89,838643
2018-05-09T13:30,78.2,78.51,77.9,78.34,950338
2018-05-09T17:30,78.33,78.55,78.19,78.45,731638
2018-05-10T13:30,78.46,79.63,78.1,79.53,768856
2018-05-10T17:30,79.52,79.92,79.48,79.88,970726
2018-05-11T13:30,79.9,80.55,79.62,80.16,742961
2018-05-11T17:30,80.12,80.17,79.91,80.02,428880
2018-05-14T13:30,79.9,80.46,79.7,79.78,448200
2018-05-14T17:30,79.79,79.83,79.49,79.61,265485
2018-05-15T13:30,79.04,79.75,78.71,79.33,442680
2018-05-15T17:30,79.32,79.88,79.24,79.83,426705
2018-05-16T13:30,79.56,81.13,79.56,80.97,452496
2018-05-16T17:30,80.97,81.68,80.86,81.4,606916
2018-05-17T13:30,81.03,81.93,81.01,81.53,758021
2018-05-17T17:30,81.54,82.07,81.39,81.71,467474
2018-05-18T13:30,81.51,81.71,80.58,80.99,366167
2018-05-18T17:30,81.01,81.12,80.79,80.97,329500
2018-05-21T13:30,81.6,82.05,81.43,81.69,575120
2018-05-21T17:30,81.7,81.84,81.51,81.65,241770
2018-05-22T13:30,81.68,82.17,81.46,81.91,405759
2018-05-22T17:30,81.92,81.92,81.56,81.63,310808
2018-05-23T13:30,80.96,81.81,80.86,81.04,509318
2018-05-23T17:30,81.05,81.46,80.96,81.42,288933
2018-05-24T13:30,81.06,81.41,80.47,81.34,571894
2018-05-24T17:30,81.35,81.36,81.04,81.22,326456
2018-05-25T13:30,81.06,81.17,80.82,81.06,405428
2018-05-25T17:30,81.04,81.31,80.98,81.21,347790
2018-05-29T13:30,80.95,81.06,79.29,79.82,722844
2018-05-29T17:30,79.78,80.11,79.41,80.01,481489
2018-05-30T13:30,80.37,80.43,79.66,80.03,700755
2018-05-30T17:30,80.07,80.39,80.07,80.21,400188
2018-05-31T13:30,80.47,81.47,80.3,80.88,743409
