date,open,high,low,close,volume
2016-01-04T14:30,48.68,48.71,47.9,48.18,442766
2016-01-04T18:30,48.18,48.32,47.9,48.18,394580
2016-01-05T14:30,48.05,48.36,47.62,48.06,634407
2016-01-05T18:30,48.06,48.16,47.9,48.02,583178
2016-01-06T14:30,47.62,48.24,47.51,48.14,521447
2016-01-06T18:30,48.13,48.49,47.9,48.16,609926
2016-01-07T14:30,47.64,48.47,47.28,48.22,728294
2016-01-07T18:30,48.22,48.34,47.94,48.01,727759
2016-01-08T14:30,48.03,48.35,47.93,48.05,370708
2016-01-08T18:30,48.06,48.11,47.58,47.68,520652
2016-01-11T14:30,47.98,48.11,47.53,47.61,523597
2016-01-11T18:30,47.62,48.06,47.6,47.95,480434
2016-01-12T14:30,48.16,48.44,46.48,46.49,566694
2016-01-12T18:30,46.49,47.2,46.48,47.02,656982
2016-01-13T14:30,47.33,48.4,47.02,47.29,658528
2016-01-13T18:30,47.3,47.31,46.67,46.81,1056589
2016-01-14T14:30,46.69,46.79,45.6,46.03,715046
2016-01-14T18:30,46.03,46.43,45.93,46.14,807008
2016-01-15T14:30,45.47,45.57,44.05,44.54,639480
2016-01-15T18:30,44.55,44.65,44.33,44.58,688356
2016-01-19T14:30,44.92,45.08,44.5,44.69,680917
2016-01-19T18:30,44.69,44.71,43.87,43.9,770131
2016-01-20T14:30,43.55,43.71,42.08,42.32,891185
2016-01-20T18:30,42.32,43.32,42.23,43.02,797665
2016-01-21T14:30,42.75,43.31,42.46,42.93,503402
2016-01-21T18:30,42.92,43.15,42.57,42.86,397319
2016-01-22T14:30,43.32,43.91,43.11,43.11,515720
2016-01-22T18:30,43.11,43.28,42.97,43.24,358040
2016-01-25T14:30,43.14,43.38,42.44,42.71,558520
2016-01-25T18:30,42.72,42.74,42.54,42.59,777739
2016-01-26T14:30,42.86,43.02,42.37,42.93,674621
2016-01-26T18:30,42.92,42.94,42.72,42.77,651919
2016-01-27T14:30,42.44,42.61,41.78,42.44,947179
2016-01-27T18:30,42.44,42.66,42.16,42.28,544800
2016-01-28T14:30,42.92,43.18,42.55,43.12,646425
2016-01-28T18:30,43.13,43.42,43.13,43.34,344280
2016-01-29T14:30,43.27,44.64,43.27,44.54,527256
2016-01-29T18:30,44.54,44.74,44.35,44.74,722594
2016-02-01T14:30,44.65,44.78,43.92,44.01,454619
2016-02-01T18:30,43.98,44.38,43.96,44.17,368342
2016-02-02T14:30,43.63,43.63,41.96,42.21,791392
2016-02-02T18:30,42.2,42.3,42.07,42.17,597076
2016-02-03T14:30,42.54,42.93,42.23,42.69,521092
2016-02-03T18:30,42.69,42.9,42.36,42.74,409770
2016-02-04T14:30,42.9,43.72,42.75,43.24,686089
2016-02-04T18:30,43.25,43.32,42.84,42.93,643388
2016-02-05T14:30,42.83,43.12,42.62,43.09,627871
2016-02-05T18:30,43.09,43.11,42.8,42.88,463587
2016-02-08T14:30,42.77,42.85,42.17,42.21,514758
2016-02-08T18:30,42.21,42.26,41.74,42.12,563719
2016-02-09T14:30,41.83,42.07,40.72,40.73,819104
2016-02-09T18:30,40.73,41.23,40.64,40.94,750376
2016-02-10T14:30,41.22,42.05,40.83,41.98,1123418
2016-02-10T18:30,41.99,42.35,41.87,42.17,811843
2016-02-11T14:30,40.55,40.94,34.93,35.02,2657840
2016-02-11T18:30,35.02,35.16,33.24,34.47,2701522
2016-02-12T14:30,35.22,37.71,35.17,37.45,2285608
2016-02-12T18:30,37.45,37.81,37.24,37.43,1207497
2016-02-16T14:30,37.77,38.76,37.47,38.41,849600
2016-02-16T18:30,38.39,38.48,37.9,37.95,692429
2016-02-17T14:30,38.18,38.23,37.05,37.24,826886
2016-02-17T18:30,37.24,37.25,36.62,36.66,803893
2016-02-18T14:30,36.58,36.85,35.98,36.72,1028633
2016-02-18T18:30,36.73,37.07,36.67,36.77,866588
2016-02-19T14:30,36.46,36.48,35.64,35.93,611528
2016-02-19T18:30,35.95,36.03,35.45,35.5,622215
2016-02-22T14:30,36.32,36.93,35.98,36.46,1423530
2016-02-22T18:30,36.45,37.47,36.43,37.34,892045
2016-02-23T14:30,37.31,37.43,35.7,36.04,814649
2016-02-23T18:30,36.03,36.43,35.87,36.15,729222
2016-02-24T14:30,35.93,36.13,35.45,35.93,872857
2016-02-24T18:30,35.92,36.23,35.88,36.09,669911
2016-02-25T14:30,36.24,37.18,35.94,37.17,1347239
2016-02-25T18:30,37.18,37.27,36.99,37.13,1038735
2016-02-26T14:30,37.27,37.5,36.75,37.1,670743
2016-02-26T18:30,37.09,37.11,36.67,36.69,528822
2016-02-29T14:30,36.77,36.99,36.33,36.61,560990
2016-02-29T18:30,36.6,36.64,36.1,36.16,755009
2016-03-01T14:30,36.32,36.79,36.03,36.62,589606
2016-03-01T18:30,36.61,36.65,36.29,36.35,600629
2016-03-02T14:30,36.42,37.07,36.03,37.07,917569
2016-03-02T18:30,37.06,37.53,37.06,37.43,903174
2016-03-03T14:30,37.74,39.26,37.5,39.17,1115035
2016-03-03T18:30,39.16,39.38,39.04,39.3,897524
2016-03-04T14:30,39.47,40.81,39.47,40.06,971090
2016-03-04T18:30,40.06,40.1,39.71,39.95,799407
2016-03-07T14:30,39.69,40.97,39.64,40.86,664296
2016-03-07T18:30,40.85,40.96,40.62,40.69,561207
2016-03-08T14:30,40.51,40.99,39.21,39.87,818048
2016-03-08T18:30,39.87,40.22,39.73,39.86,615639
2016-03-09T14:30,40.06,41.06,39.94,40.32,1096817
2016-03-09T18:30,40.31,40.55,40.22,40.29,673527
2016-03-10T14:30,40.46,40.71,39.57,40.7,786451
2016-03-10T18:30,40.69,40.74,40.17,40.51,642342
2016-03-11T14:30,40.85,41.51,40.64,40.82,778928
2016-03-11T18:30,40.81,40.94,40.62,40.89,555889
2016-03-14T13:30,40.65,40.99,39.65,40,722622
2016-03-14T17:30,40.01,40.14,39.84,40.01,406536
2016-03-15T13:30,40,40.38,39.31,39.84,422659
2016-03-15T17:30,39.83,39.93,39.67,39.82,346921
2016-03-16T13:30,39.79,40.14,39.37,39.51,354199
2016-03-16T17:30,39.5,39.91,39.43,39.87,554887
2016-03-17T13:30,39.88,40.86,39.74,40.55,555707
2016-03-17T17:30,40.56,40.74,40.43,40.43,422179
2016-03-18T13:30,40.77,41.38,40.23,40.27,464557
2016-03-18T17:30,40.27,40.64,40.21,40.6,504925
2016-03-21T13:30,40.39,40.83,40.25,40.51,472132
2016-03-21T17:30,40.51,40.53,40.17,40.25,484754
2016-03-22T13:30,40.01,40.59,39.59,40.55,600682
2016-03-22T17:30,40.55,40.56,40.04,40.06,423566
2016-03-23T13:30,40,40.07,39.39,39.49,602588
2016-03-23T17:30,39.49,39.65,39.42,39.45,546137
2016-03-24T13:30,39.35,40.55,38.91,40.55,613139
2016-03-24T17:30,40.56,40.75,40.29,40.62,1052907
2016-03-28T13:30,40.62,41.29,40.43,41.17,632989
2016-03-28T17:30,41.17,41.26,40.78,40.85,450566
2016-03-29T13:30,40.73,41.38,40.67,40.96,574686
2016-03-29T17:30,40.97,41.44,40.97,41.41,571232
2016-03-30T13:30,41.45,42.33,40.62,40.63,743006
2016-03-30T17:30,40.62,41.22,40.58,41.1,606331
2016-03-31T13:30,40.97,41.69,40.95,41.69,646576
2016-03-31T17:30,41.69,41.7,41.05,41.21,616999
2016-04-01T13:30,40.96,41.18,40.12,41.18,484402
2016-04-01T17:30,41.17,41.42,41.13,41.37,533804
2016-04-04T13:30,41.23,41.23,40.62,40.71,580020
2016-04-04T17:30,40.73,40.8,40.53,40.72,706415
2016-04-05T13:30,40.36,40.86,39.91,40.78,566327
2016-04-05T17:30,40.77,40.79,40.4,40.5,756188
2016-04-06T13:30,40.54,40.93,39.79,40.3,638626
2016-04-06T17:30,40.3,40.45,40.09,40.44,560992
2016-04-07T13:30,40.36,41.49,40.3,41.07,754381
2016-04-07T17:30,41.08,41.13,40.67,41.02,720397
2016-04-08T13:30,41.37,41.58,40.95,40.95,516731
2016-04-08T17:30,40.94,41.13,40.72,40.92,421275
2016-04-11T13:30,40.81,41.61,40.78,41.45,403362
2016-04-11T17:30,41.46,41.47,40.79,40.84,469114
2016-04-12T13:30,40.86,41.03,40.53,40.83,730197
2016-04-12T17:30,40.83,41.07,40.68,41.02,473047
2016-04-13T13:30,41.13,41.47,41,41.25,557920
2016-04-13T17:30,41.25,41.29,41.1,41.13,581146
2016-04-14T13:30,40.99,41.21,40.74,40.92,399720
2016-04-14T17:30,40.92,41.13,40.86,41.11,609423
2016-04-15T13:30,41.39,42.12,41.14,41.85,802931
2016-04-15T17:30,41.82,41.85,41.63,41.82,643327
2016-04-18T13:30,41.67,42.03,41.58,41.87,669410
2016-04-18T17:30,41.88,42.11,41.76,42.1,619599
2016-04-19T13:30,42,43.27,41.99,42.97,846513
2016-04-19T17:30,42.97,43.08,42.83,43.03,640308
2016-04-20T13:30,43.07,43.5,42.85,43.3,872215
2016-04-20T17:30,43.29,43.61,43.16,43.28,943852
2016-04-21T13:30,43.32,43.91,43.05,43.06,722331
2016-04-21T17:30,43.05,43.27,42.95,43.21,561694
2016-04-22T13:30,42.91,43.51,42.76,43.16,823009
2016-04-22T17:30,43.16,43.56,43.1,43.56,571115
2016-04-25T13:30,43.55,43.7,42.81,42.83,663124
2016-04-25T17:30,42.83,43.1,42.82,43.1,510416
2016-04-26T13:30,43.07,43.72,42.96,43.3,500354
2016-04-26T17:30,43.3,43.6,43.29,43.6,475357
2016-04-27T13:30,43.62,43.98,43.3,43.63,724634
2016-04-27T17:30,43.65,44.06,43.58,43.97,855176
2016-04-28T13:30,44.99,46.24,44.99,45.57,2053753
2016-04-28T17:30,45.57,45.71,45.26,45.45,1103073
2016-04-29T13:30,45.57,45.68,44.68,45.48,854768
