date,open,high,low,close,volume
2016-01-04T14:30,81.84,82.24,80.64,80.82,339240
2016-01-04T18:30,80.82,81.14,80.26,81.13,323045
2016-01-05T14:30,80.86,82.78,80.86,82.66,315492
2016-01-05T18:30,82.63,83.4,82.59,83.14,315692
2016-01-06T14:30,82.72,83.1,82.55,82.74,366874
2016-01-06T18:30,82.74,83.16,82.48,83.11,344608
2016-01-07T14:30,81.97,83.08,81.73,82.07,392274
2016-01-07T18:30,82.09,82.41,81.6,81.63,403835
2016-01-08T14:30,81.63,82.14,80.19,80.58,327150
2016-01-08T18:30,80.57,80.67,79.2,79.34,369089
2016-01-11T14:30,79.73,80.39,79.43,79.93,353235
2016-01-11T18:30,79.96,80.48,79.66,80.09,316591
2016-01-12T14:30,80.59,81.03,78.81,78.88,354963
2016-01-12T18:30,78.86,79.31,78.68,79.03,420715
2016-01-13T14:30,79.12,79.86,78.7,78.76,300732
2016-01-13T18:30,78.82,78.87,77.44,77.53,345694
2016-01-14T14:30,77.94,79.03,77.77,78.56,482780
2016-01-14T18:30,78.48,79,78.23,78.28,307664
2016-01-15T14:30,77.28,77.44,76.23,77.17,416630
2016-01-15T18:30,77.17,77.57,76.85,77.37,322894
2016-01-19T14:30,78.25,78.64,77.2,77.78,257311
2016-01-19T18:30,77.86,78.3,77.59,77.92,262677
2016-01-20T14:30,77.17,77.32,74.35,74.72,416532
2016-01-20T18:30,74.78,76.91,74.69,75.63,519945
2016-01-21T14:30,76,76.87,75.4,76.09,300817
2016-01-21T18:30,76.1,76.27,75.44,75.78,286925
2016-01-22T14:30,76.71,77.84,76.7,77.66,237247
2016-01-22T18:30,77.68,78.2,77.63,77.85,307262
2016-01-25T14:30,77.85,78.62,76.8,77.44,257990
2016-01-25T18:30,77.43,77.6,76.86,76.96,319101
2016-01-26T14:30,77.35,78.82,77.35,78.11,194144
2016-01-26T18:30,78.09,78.64,77.84,78.58,381271
2016-01-27T14:30,77.95,78.54,77.45,78.41,243263
2016-01-27T18:30,78.43,78.85,77.4,77.81,274676
2016-01-28T14:30,77.37,79.13,77.37,78.77,254491
2016-01-28T18:30,78.76,78.85,74.63,75.39,1453467
2016-01-29T14:30,77,77.03,74.58,75.71,817203
2016-01-29T18:30,75.69,76.3,75.12,75.87,793214
2016-02-01T14:30,75.25,77.3,74.99,76.59,523329
2016-02-01T18:30,76.6,76.72,75.89,75.96,489835
2016-02-02T14:30,75.71,76.6,74.6,75.29,598691
