date,open,high,low,close,volume
2016-01-04T14:30,37.35,37.49,36.93,37.36,13486734
2016-01-04T18:30,37.35,37.67,37.18,37.65,8222727
2016-01-05T14:30,37.92,37.98,37.1,37.31,8474734
2016-01-05T18:30,37.31,37.53,37.28,37.44,7804845
2016-01-06T14:30,36.87,37.22,36.62,36.88,10239459
2016-01-06T18:30,36.89,36.98,36.7,36.89,9172939
2016-01-07T14:30,36.11,36.34,35.26,35.3,18735772
2016-01-07T18:30,35.3,35.45,34.95,35.01,16872101
2016-01-08T14:30,35.86,35.87,34.5,34.73,15517693
2016-01-08T18:30,34.73,34.87,33.87,33.95,13306246
2016-01-11T14:30,34.27,34.36,33.96,34.03,13779741
2016-01-11T18:30,34.03,34.58,33.8,34.48,11306236
2016-01-12T14:30,34.99,34.99,34.18,34.24,14913185
2016-01-12T18:30,34.23,34.67,34.05,34.5,9496705
2016-01-13T14:30,34.82,34.84,33.69,33.7,13249678
2016-01-13T18:30,33.7,33.74,33.09,33.25,12708218
2016-01-14T14:30,33.45,33.7,32.79,33.55,16746298
2016-01-14T18:30,33.56,33.71,33.27,33.39,11909839
2016-01-15T14:30,31.28,32.15,30.8,31.16,34032563
2016-01-15T18:30,31.16,31.41,31.02,31.24,16361168
2016-01-19T14:30,31.53,31.73,30.88,31.05,24294064
2016-01-19T18:30,31.05,31.18,30.66,30.87,12580887
2016-01-20T14:30,29.81,30.11,29.02,29.43,29565605
2016-01-20T18:30,29.43,30.19,29.38,29.8,19236135
2016-01-21T14:30,29.8,30.46,29.77,29.8,21350814
2016-01-21T18:30,29.81,29.88,29.46,29.54,12572235
2016-01-22T14:30,30.21,30.43,30.04,30.26,17711445
2016-01-22T18:30,30.26,30.31,30.08,30.21,11103975
2016-01-25T14:30,30.03,30.14,29.2,29.5,16080456
2016-01-25T18:30,29.5,29.55,29.03,29.1,12158459
2016-01-26T14:30,29.14,30.02,29.07,29.92,14663813
2016-01-26T18:30,29.93,29.95,29.67,29.81,7124552
2016-01-27T14:30,29.71,30.68,29.6,30.46,14244877
2016-01-27T18:30,30.47,30.66,29.66,29.85,11904753
2016-01-28T14:30,30.35,30.5,29.52,29.8,13844854
2016-01-28T18:30,29.79,29.95,29.68,29.74,8403158
2016-01-29T14:30,30.06,30.58,30.05,30.52,14841619
2016-01-29T18:30,30.52,31.38,30.52,31.36,16515190
2016-02-01T14:30,31.28,31.44,30.94,31.12,13261479
2016-02-01T18:30,31.13,31.56,31.03,31.3,7922593
2016-02-02T14:30,30.84,30.85,29.88,30.01,15463336
2016-02-02T18:30,30.01,30.02,29.67,29.77,13757458
