date,open,high,low,close,volume
2016-01-04T14:30,109.68,111.15,107.21,107.6,220450
2016-01-04T18:30,107.59,107.64,106.09,107.19,237974
2016-01-05T14:30,106.77,109.27,106.77,108.37,189048
2016-01-05T18:30,108.38,108.93,108.01,108.42,248788
2016-01-06T14:30,107.56,110.15,107.56,109.69,156802
2016-01-06T18:30,109.75,109.9,108.52,109.33,149713
2016-01-07T14:30,107.82,109.86,107.74,108.69,214517
2016-01-07T18:30,108.77,109.39,108.41,108.44,145499
2016-01-08T14:30,109.11,109.39,108.19,108.76,151741
2016-01-08T18:30,108.64,109.04,107.61,107.74,124026
2016-01-11T14:30,108.63,109.39,108.09,108.47,185545
2016-01-11T18:30,108.45,109.5,108.1,109.03,154525
2016-01-12T14:30,109.81,110.71,109.14,109.53,186536
2016-01-12T18:30,109.63,110.62,109.21,110.54,154254
2016-01-13T14:30,111.16,111.16,108.51,109.08,118289
2016-01-13T18:30,109.09,109.1,107.32,107.49,170262
2016-01-14T14:30,106.88,108.33,106.17,107.26,153670
2016-01-14T18:30,107.45,108.12,107.34,107.47,104611
2016-01-15T14:30,105.44,106.91,104.36,106.36,373858
2016-01-15T18:30,106.44,108.36,106.11,108.23,157902
2016-01-19T14:30,109.38,109.58,107.74,108.05,124634
2016-01-19T18:30,107.94,108.09,106.61,107.4,142630
2016-01-20T14:30,106.33,106.64,104.17,105.5,140492
2016-01-20T18:30,105.56,108.32,105.29,107.05,137454
2016-01-21T14:30,107.84,108.37,105.8,105.89,291075
2016-01-21T18:30,105.79,107.35,105.15,106.84,186289
2016-01-22T14:30,107.51,108.89,106.83,108.89,166752
2016-01-22T18:30,108.89,110.27,108.74,109.33,178115
2016-01-25T14:30,108.88,109.32,107.57,107.64,90468
2016-01-25T18:30,107.7,108,106.77,107.14,121777
2016-01-26T14:30,107.47,110.29,107.1,109.94,174228
2016-01-26T18:30,109.88,109.99,108.61,109.36,146096
2016-01-27T14:30,108.88,109.7,108.53,109.44,111563
2016-01-27T18:30,109.44,110.25,107.54,107.94,138576
2016-01-28T14:30,108.72,109.18,107.22,108.73,106072
2016-01-28T18:30,108.72,109.19,108.08,108.54,131348
2016-01-29T14:30,108.73,110.55,108.43,110.21,194843
2016-01-29T18:30,110.26,112.25,110.09,112.17,166482
2016-02-01T14:30,111.51,114.54,111.11,114.32,175644
2016-02-01T18:30,114.32,114.37,113.35,113.47,143819
2016-02-02T14:30,112.6,113.29,110.61,112.29,137789
2016-02-02T18:30,112.32,113.22,111.79,113.15,111792
2016-02-03T14:30,114.54,114.96,110.99,111.45,151899
2016-02-03T18:30,111.4,112.71,111.04,111.64,188934
2016-02-04T14:30,111.32,111.86,110.3,111.26,133844
2016-02-04T18:30,111.1,111.34,110.57,110.82,111686
2016-02-05T14:30,110.72,110.99,107.78,107.98,96606
2016-02-05T18:30,108,108,105.57,105.62,153711
2016-02-08T14:30,104.59,104.97,101.62,102.95,179137
2016-02-08T18:30,102.98,104.34,102.66,104.27,163028
2016-02-09T14:30,103.43,105.58,102.37,104.24,213061
2016-02-09T18:30,104.42,105.16,104.02,104.34,133318
2016-02-10T14:30,105.28,107.57,105.25,106.89,151181
2016-02-10T18:30,106.94,107.03,105.08,105.16,133759
2016-02-11T14:30,103.97,104.95,102.68,103.87,99418
2016-02-11T18:30,103.95,105.1,103.62,104.09,181294
2016-02-12T14:30,105.02,106.39,104.17,104.55,124063
2016-02-12T18:30,104.55,105.83,104.44,105.71,169908
2016-02-16T14:30,106.82,109.62,106.01,108.56,197056
2016-02-16T18:30,108.46,108.95,108.11,108.53,152166
2016-02-17T14:30,108.02,108.02,97.66,100.16,854017
2016-02-17T18:30,100.18,100.46,96.88,97.56,679377
2016-02-18T14:30,97.49,99.18,96.61,98.59,379712
2016-02-18T18:30,98.53,98.7,97.42,97.5,223710
2016-02-19T14:30,97.4,99.74,97.11,99.19,199098
2016-02-19T18:30,99.28,99.59,99,99.53,165351
2016-02-22T14:30,99.58,101.18,99.57,100.54,191374
2016-02-22T18:30,100.52,100.74,98.94,99.1,195066
2016-02-23T14:30,99.8,101.19,98.49,101.07,170859
2016-02-23T18:30,101.04,101.15,100.46,100.63,158102
2016-02-24T14:30,100.25,101.19,99.47,100.86,165407
2016-02-24T18:30,100.9,101.87,100.8,101.63,161197
2016-02-25T14:30,102.25,102.65,101.68,102.65,106163
2016-02-25T18:30,102.65,103.16,102.5,102.63,243991
2016-02-26T14:30,102.39,103.07,99.59,99.82,173232
2016-02-26T18:30,99.75,99.87,99.21,99.26,229557
2016-02-29T14:30,99.24,99.83,97.87,98.84,272347
2016-02-29T18:30,98.84,99.25,97.95,98.07,215753
2016-03-01T14:30,98.58,98.94,96.83,97.82,262248
2016-03-01T18:30,97.88,98.27,97.14,97.51,361985
2016-03-02T14:30,97.54,99.64,97.41,98.93,216662
2016-03-02T18:30,98.9,99.26,98.22,98.37,275332
2016-03-03T14:30,97.63,98.24,93.9,94.67,409340
2016-03-03T18:30,94.67,95.34,94.57,95.21,479301
2016-03-04T14:30,95.44,98.99,95.04,98.66,319594
2016-03-04T18:30,98.62,98.99,97.93,98.31,187816
2016-03-07T14:30,98.49,98.61,96.35,96.48,300825
2016-03-07T18:30,96.42,96.51,94.7,95.09,447173
2016-03-08T14:30,92.9,97.48,91.78,97.27,557943
2016-03-08T18:30,97.2,98.16,96.73,97.22,331887
2016-03-09T14:30,99.54,99.66,94.87,96.55,377869
2016-03-09T18:30,96.61,98.66,96.61,98.24,340199
2016-03-10T14:30,98.38,99.58,97.14,97.52,203383
2016-03-10T18:30,97.51,98.26,97.4,98.16,247897
2016-03-11T14:30,99.01,99.09,97.03,97.1,210272
2016-03-11T18:30,97.09,97.64,96.49,97.56,214031
2016-03-14T13:30,97.78,100.14,97.78,99.19,275377
2016-03-14T17:30,99.22,99.6,98.79,98.8,263508
2016-03-15T13:30,98.15,100.19,98.01,99.88,303895
2016-03-15T17:30,99.92,100.05,99.4,99.58,273125
2016-03-16T13:30,99.69,101.59,99.69,100.3,204613
2016-03-16T17:30,100.23,100.67,99.62,99.63,253366
2016-03-17T13:30,99.39,100.59,98.73,100.55,156114
2016-03-17T17:30,100.52,100.99,100.17,100.52,203101
2016-03-18T13:30,100.88,102.98,100.61,102.53,374273
2016-03-18T17:30,102.52,102.53,101.85,102.1,179227
2016-03-21T13:30,101.72,102.32,100.8,101.71,159590
2016-03-21T17:30,101.7,101.9,101.46,101.59,177411
2016-03-22T13:30,101.24,104.19,100.91,104.18,339670
2016-03-22T17:30,104.12,104.39,103.48,104.06,385705
2016-03-23T13:30,103.91,104.03,101.71,102.06,142668
2016-03-23T17:30,102.01,102.01,101.31,101.33,192737
2016-03-24T13:30,101.11,101.59,100.67,101.4,115999
2016-03-24T17:30,101.38,102.02,101.21,101.67,80934
2016-03-28T13:30,101.36,101.5,99.85,100.48,141848
2016-03-28T17:30,100.5,100.83,100.29,100.55,157531
2016-03-29T13:30,100.13,101.38,100.13,101.26,102046
2016-03-29T17:30,101.22,102.55,100.91,102.49,201483
2016-03-30T13:30,104.76,106.79,103.99,106.69,287246
2016-03-30T17:30,106.71,106.71,105.31,105.93,216813
2016-03-31T13:30,105.7,106.54,104.79,105.89,118721
2016-03-31T17:30,105.85,105.85,104.98,105.23,243285
2016-04-01T13:30,105.06,106.43,104.74,106.21,158752
2016-04-01T17:30,106.23,106.47,105.57,106.1,152811
2016-04-04T13:30,106.41,106.41,102.66,103.72,154295
2016-04-04T17:30,103.68,104.01,103.19,103.27,209936
2016-04-05T13:30,102.67,103.22,101.85,102.57,105862
2016-04-05T17:30,102.6,103.18,102.49,102.66,116993
2016-04-06T13:30,102.86,102.93,101.71,102.71,141775
2016-04-06T17:30,102.66,104.23,102.66,104.04,149076
2016-04-07T13:30,103.56,104.48,102.73,103.39,121797
2016-04-07T17:30,103.33,103.46,102.15,102.48,165471
2016-04-08T13:30,102.9,103.45,100.15,101.54,253107
2016-04-08T17:30,101.6,101.95,101.34,101.61,158533
2016-04-11T13:30,101.86,101.86,99.67,100.02,124506
2016-04-11T17:30,100.04,100.13,98.82,98.85,152724
2016-04-12T13:30,98.71,99.05,97.7,98.02,266012
2016-04-12T17:30,98.06,98.46,97.81,98.46,228102
2016-04-13T13:30,98.71,100.89,98.15,100.73,262538
2016-04-13T17:30,100.73,101.36,100.59,101.3,218286
2016-04-14T13:30,101.15,102.18,100.7,101.49,122732
2016-04-14T17:30,101.4,101.5,100.49,100.81,151713
2016-04-15T13:30,100.83,104.79,100.61,104.25,405481
2016-04-15T17:30,104.33,104.37,103.77,104.18,187240
2016-04-18T13:30,104.03,104.19,103.02,103.18,142305
2016-04-18T17:30,103.23,103.43,103.06,103.25,135077
2016-04-19T13:30,103.43,103.62,102.28,102.41,83196
2016-04-19T17:30,102.41,103.07,102.37,102.78,122605
2016-04-20T13:30,102.5,104.81,102.37,104.68,147937
2016-04-20T17:30,104.68,105.3,104.66,104.74,301671
2016-04-21T13:30,105.02,105.6,103.54,104.33,191808
2016-04-21T17:30,104.32,104.67,104.18,104.58,264317
2016-04-22T13:30,104.25,104.46,101.65,101.85,213411
2016-04-22T17:30,101.85,102.47,101.84,102.42,215446
2016-04-25T13:30,102.9,105.13,102.47,104.66,157178
2016-04-25T17:30,104.68,104.95,104.27,104.46,109047
2016-04-26T13:30,104.86,105.12,103.48,103.57,98312
2016-04-26T17:30,103.59,104.36,103.55,104.16,159323
2016-04-27T13:30,104.2,104.35,103.39,103.93,122657
2016-04-27T17:30,103.94,104.9,103.5,104.59,82539
2016-04-28T13:30,105.01,105.24,103.99,104.4,149412
2016-04-28T17:30,104.49,104.56,103.6,103.82,146926
2016-04-29T13:30,103.67,103.83,101.46,103.57,136894
2016-04-29T17:30,103.53,104.46,103.21,104.24,231078
2016-05-02T13:30,104.1,105.77,104.1,105.71,171378
2016-05-02T17:30,105.73,106.71,105.7,106.55,246656
2016-05-03T13:30,105.73,106.61,105.18,106.02,183641
2016-05-03T17:30,106.02,106.25,105.08,105.57,203676
2016-05-04T13:30,105.16,105.61,104.57,105.54,205856
2016-05-04T17:30,105.58,106.05,105.18,105.94,120790
2016-05-05T13:30,105.53,105.79,102.98,103.42,282122
2016-05-05T17:30,103.44,104.84,103.36,104.36,118336
2016-05-06T13:30,104.29,104.6,102.22,102.7,187185
2016-05-06T17:30,102.7,103.89,102.62,103.79,168798
2016-05-09T13:30,104.24,108.4,104.11,108.13,196832
2016-05-09T17:30,108.2,109.2,107.81,109.15,243377
2016-05-10T13:30,109.64,109.77,107.9,109.77,172675
2016-05-10T17:30,109.79,110.01,109.26,110,198715
2016-05-11T13:30,108.99,109.84,106.46,106.8,116453
2016-05-11T17:30,106.86,106.9,106.45,106.56,102974
2016-05-12T13:30,106.91,108.5,106.3,107.48,123123
2016-05-12T17:30,107.44,108.47,107.28,108.36,91843
2016-05-13T13:30,107.74,108.99,107.02,108.41,163787
2016-05-13T17:30,108.41,108.55,107.81,108.11,130085
2016-05-16T13:30,108.95,108.95,107.15,108.46,205461
2016-05-16T17:30,108.4,108.64,107.77,107.8,157176
2016-05-17T13:30,107.38,108.99,106.68,107.66,376870
2016-05-17T17:30,107.66,108.12,106.7,107.02,220621
2016-05-18T13:30,106.71,107.44,104.13,105.42,302800
2016-05-18T17:30,105.38,105.44,104.11,104.52,137164
2016-05-19T13:30,104.71,106.67,104.71,105.82,192883
2016-05-19T17:30,105.75,106.46,105.54,106.01,179180
2016-05-20T13:30,105.84,108.29,105.34,107.93,162724
2016-05-20T17:30,107.91,108.37,107.76,108.37,140028
2016-05-23T13:30,108.82,109.37,108.13,108.23,128986
2016-05-23T17:30,108.23,108.47,107.81,107.96,130489
2016-05-24T13:30,107.93,111.3,107.5,110.89,194129
2016-05-24T17:30,110.92,111.86,110.77,111.71,213443
2016-05-25T13:30,111.31,111.38,109.44,109.8,126816
2016-05-25T17:30,109.84,109.94,109.46,109.52,119926
2016-05-26T13:30,109.17,111.36,108.76,110.95,93601
2016-05-26T17:30,110.9,111.49,110.53,111.35,118066
2016-05-27T13:30,111.65,111.83,110.89,110.96,98884
2016-05-27T17:30,111.05,111.68,110.8,111.67,80355
2016-05-31T13:30,112.27,112.27,111.09,111.75,132834
2016-05-31T17:30,111.71,112.06,111.32,111.89,190345
2016-06-01T13:30,112,114.69,111.74,114.37,260546
2016-06-01T17:30,114.34,115.11,114.15,114.99,186603
2016-06-02T13:30,115.2,115.8,114.26,114.92,134447
