date,open,high,low,close,volume
2016-01-04T14:30,52.03,52.7,51.13,52.6,5124001
2016-01-04T18:30,52.59,52.97,52.43,52.9,2957890
2016-01-05T14:30,53.2,53.24,51.67,52.08,4215895
2016-01-05T18:30,52.07,52.39,52,52.33,1745224
2016-01-06T14:30,51.3,52,51.05,51.58,3838085
2016-01-06T18:30,51.58,51.76,51.22,51.52,2430161
2016-01-07T14:30,50.63,50.97,49.75,50.08,3945943
2016-01-07T18:30,50.08,50.13,49.52,49.73,3971739
2016-01-08T14:30,50.04,50.2,48.96,49.71,4847535
2016-01-08T18:30,49.71,49.88,49.16,49.23,2834992
2016-01-11T14:30,49.54,49.55,47.57,47.67,5287960
2016-01-11T18:30,47.67,47.92,47.34,47.81,3937050
2016-01-12T14:30,48.57,48.62,46.98,47.26,4783586
2016-01-12T18:30,47.26,47.96,47.05,47.91,3411177
2016-01-13T14:30,48.28,48.82,47.63,47.75,3748471
2016-01-13T18:30,47.75,47.82,46.98,47.38,3265397
2016-01-14T14:30,47.64,48.99,46.97,48.74,5847840
2016-01-14T18:30,48.75,48.82,48.33,48.43,2839459
2016-01-15T14:30,46.88,47.21,46.28,46.71,7477335
2016-01-15T18:30,46.72,47.33,46.69,47.15,4700626
2016-01-19T14:30,47.47,47.69,46.61,46.8,3950905
2016-01-19T18:30,46.8,46.85,46.06,46.5,3202571
2016-01-20T14:30,45.72,45.89,44.39,45.09,5618878
2016-01-20T18:30,45.09,46.77,45.09,46.32,4961998
2016-01-21T14:30,46.47,47.59,45.88,46.84,5737922
2016-01-21T18:30,46.84,47.27,46.49,47.02,2518151
2016-01-22T14:30,48.17,49.28,47.73,48.02,5173037
2016-01-22T18:30,48.03,48.32,47.78,48.04,2267278
2016-01-25T14:30,46.46,46.75,45.94,46.13,6485847
2016-01-25T18:30,46.14,46.21,45.5,45.61,3597977
2016-01-26T14:30,46,46.99,45.76,46.84,4814527
2016-01-26T18:30,46.84,46.87,46.32,46.66,3013800
2016-01-27T14:30,46.02,46.86,45.26,46.53,5161357
2016-01-27T18:30,46.53,47.17,45.8,45.95,3924710
2016-01-28T14:30,48.84,49.19,46.13,47.42,9006048
2016-01-28T18:30,47.41,48.23,47.41,48.11,3132464
2016-01-29T14:30,48.59,48.84,47.86,48.72,4298947
2016-01-29T18:30,48.72,49.06,48.42,49.02,2937316
2016-02-01T14:30,48.8,49.62,48.35,49.03,3224712
