date,open,high,low,close,volume
2016-01-04T14:30,55.22,55.4,54.71,54.95,852770
2016-01-04T18:30,54.94,55.16,54.69,55.06,1073363
2016-01-05T14:30,55.14,55.93,55.14,55.86,1119131
2016-01-05T18:30,55.85,56.2,55.84,56.18,833629
2016-01-06T14:30,55.76,56.2,55.55,56.11,973442
2016-01-06T18:30,56.11,56.16,55.55,55.71,983925
2016-01-07T14:30,55.08,55.3,54.69,54.69,1314853
2016-01-07T18:30,54.69,54.69,53.93,54.33,1389840
2016-01-08T14:30,54.66,55.84,53.88,54.06,776944
2016-01-08T18:30,54.06,54.15,53.42,53.58,1031700
2016-01-11T14:30,53.91,54.28,53.66,53.93,621854
2016-01-11T18:30,53.93,54.3,53.76,53.96,675223
2016-01-12T14:30,54.29,54.55,53.93,53.98,808495
2016-01-12T18:30,53.97,54.34,53.86,54.21,759725
2016-01-13T14:30,54.46,55.31,54.2,54.22,1264709
2016-01-13T18:30,54.2,54.36,52.88,53.38,1630058
2016-01-14T14:30,53.53,54.36,53.06,54.28,1046537
2016-01-14T18:30,54.28,54.59,54.08,54.11,632509
2016-01-15T14:30,53.01,53.55,52.07,52.09,2129781
2016-01-15T18:30,52.06,52.1,50.55,51.01,4386312
2016-01-19T14:30,51.52,52.47,51.36,51.57,1817024
2016-01-19T18:30,51.58,51.74,51.09,51.22,1850819
2016-01-20T14:30,50.99,51.25,48.81,49.4,2475014
2016-01-20T18:30,49.4,51.03,49.39,50.43,2091101
2016-01-21T14:30,50.3,51.61,50.3,51.16,1244667
2016-01-21T18:30,51.16,51.25,50.61,51,1102265
2016-01-22T14:30,51.83,52.43,51.48,52.41,935967
2016-01-22T18:30,52.39,52.83,52.35,52.62,1117430
2016-01-25T14:30,52.59,52.98,52.37,52.76,660803
2016-01-25T18:30,52.73,52.83,52.3,52.36,1051195
2016-01-26T14:30,53.21,54.4,52.99,54.15,1645462
2016-01-26T18:30,54.14,54.28,53.62,53.9,1065671
2016-01-27T14:30,53.61,54.49,53.37,54.05,827985
2016-01-27T18:30,54.04,54.17,53.22,53.66,978185
2016-01-28T14:30,53.83,55.42,53.83,54.95,1629452
2016-01-28T18:30,54.89,55.11,54.63,54.66,1074254
2016-01-29T14:30,55.12,55.55,54.78,55.38,1367196
2016-01-29T18:30,55.4,55.64,55.24,55.54,1243782
2016-02-01T14:30,55.2,56.21,55.15,56.02,1137354
2016-02-01T18:30,56.02,56.25,55.95,55.97,1135816
2016-02-02T14:30,55.59,55.99,55.23,55.99,980685
2016-02-02T18:30,55.96,55.98,55.32,55.58,908081
2016-02-03T14:30,55.64,55.84,54.42,54.93,1252704
2016-02-03T18:30,54.93,56.04,54.78,55.96,1055792
2016-02-04T14:30,55.76,55.99,55.3,55.79,937419
2016-02-04T18:30,55.78,55.89,55.22,55.58,718885
2016-02-05T14:30,55.26,55.53,53.81,53.91,1353548
2016-02-05T18:30,53.91,54.24,53.81,54.17,719122
2016-02-08T14:30,53.7,53.78,51.61,52.08,1257702
2016-02-08T18:30,52.07,52.98,51.95,52.67,1232803
2016-02-09T14:30,52.06,52.55,51.77,52.27,1061739
2016-02-09T18:30,52.28,53.33,52.28,53.01,1207847
2016-02-10T14:30,53.15,53.64,52.74,53.45,638232
2016-02-10T18:30,53.46,53.46,52.65,52.75,707795
2016-02-11T14:30,51.63,52.55,51.57,52.52,865585
2016-02-11T18:30,52.5,52.88,52.15,52.54,1127764
2016-02-12T14:30,53.41,53.5,52.95,53.12,976052
2016-02-12T18:30,53.11,53.66,53.11,53.59,862698
2016-02-16T14:30,54.27,54.39,53.81,54.15,560182
2016-02-16T18:30,54.15,54.17,53.99,54.14,628625
2016-02-17T14:30,54.26,54.69,53.99,54.6,1099098
2016-02-17T18:30,54.59,54.79,54.5,54.59,827922
2016-02-18T14:30,54.62,55.47,54.42,55.4,874414
2016-02-18T18:30,55.4,56.01,55.34,55.47,1315189
2016-02-19T14:30,55.18,55.38,54.63,54.86,1146129
2016-02-19T18:30,54.86,55.12,54.66,55.09,824055
2016-02-22T14:30,55.52,56.41,55.28,55.97,974209
2016-02-22T18:30,55.99,56.2,55.75,55.91,1024562
2016-02-23T14:30,55.62,55.88,55.34,55.73,996829
2016-02-23T18:30,55.74,55.82,55.59,55.67,935131
2016-02-24T14:30,55.44,55.82,55.2,55.51,851742
2016-02-24T18:30,55.52,56.04,55.44,55.64,940473
2016-02-25T14:30,56.06,56.9,55.46,55.69,1353341
2016-02-25T18:30,55.71,55.91,55.67,55.91,1563932
2016-02-26T14:30,54.94,55.7,54.52,55.28,2080661
2016-02-26T18:30,55.26,55.36,55.1,55.31,798894
2016-02-29T14:30,55.33,56.24,55.26,56.14,857345
2016-02-29T18:30,56.15,56.23,55.75,55.76,884001
2016-03-01T14:30,56.19,56.47,55.77,56.08,884139
2016-03-01T18:30,56.09,56.58,56.09,56.56,926089
2016-03-02T14:30,56.26,56.88,56.25,56.81,696394
2016-03-02T18:30,56.82,57.03,56.78,56.99,764960
2016-03-03T14:30,57.02,57.02,56.16,56.41,1526116
2016-03-03T18:30,56.42,56.67,56.41,56.66,723693
2016-03-04T14:30,56.5,56.67,56.28,56.35,882960
2016-03-04T18:30,56.35,56.47,56.12,56.24,1103008
2016-03-07T14:30,55.96,56.16,55.58,55.67,769765
2016-03-07T18:30,55.67,55.81,55.35,55.62,963258
2016-03-08T14:30,55.38,55.76,55.17,55.3,1112348
2016-03-08T18:30,55.31,55.38,55.04,55.13,1280826
2016-03-09T14:30,55.26,55.44,54.59,54.86,1698777
2016-03-09T18:30,54.86,55.02,54.75,54.95,1282204
2016-03-10T14:30,55.87,55.93,54.48,54.62,1076143
2016-03-10T18:30,54.63,54.96,54.57,54.8,1100871
2016-03-11T14:30,55.27,55.33,54.59,55.08,1324447
2016-03-11T18:30,55.09,55.35,55.02,55.28,1389979
2016-03-14T13:30,55,55.21,54.4,54.69,1601073
2016-03-14T17:30,54.7,54.93,54.61,54.79,1190789
2016-03-15T13:30,54.55,55.32,54.37,55.18,1610385
2016-03-15T17:30,55.18,55.2,54.96,54.99,1211918
2016-03-16T13:30,54.94,55.35,54.76,55.05,988217
2016-03-16T17:30,55.05,55.45,54.95,55.38,1912356
2016-03-17T13:30,55.54,56.55,55.5,56.25,2578560
2016-03-17T17:30,56.26,56.26,55.83,55.99,1079457
2016-03-18T13:30,56.02,56.54,55.95,56.03,2037541
2016-03-18T17:30,56.02,56.37,56,56.28,1011652
2016-03-21T13:30,56.12,56.18,55.71,56.06,1123273
2016-03-21T17:30,56.06,56.11,55.93,55.98,718679
2016-03-22T13:30,55.99,56.2,55.83,56.12,969710
2016-03-22T17:30,56.12,56.15,56.01,56.02,770342
2016-03-23T13:30,56.09,56.16,55.82,55.95,516457
2016-03-23T17:30,55.96,56.04,55.76,55.78,936707
2016-03-24T13:30,55.78,55.78,55.37,55.52,540064
2016-03-24T17:30,55.51,55.84,55.49,55.75,1335076
2016-03-28T13:30,55.86,56.21,55.72,56,715971
2016-03-28T17:30,56.02,56.17,55.81,55.83,601323
2016-03-29T13:30,55.86,56.25,55.83,56.23,784205
2016-03-29T17:30,56.23,56.51,56.2,56.32,1191811
2016-03-30T13:30,56.53,57.06,56.51,56.96,1391180
2016-03-30T17:30,56.95,57.01,56.62,56.64,926798
2016-03-31T13:30,56.7,56.9,56.47,56.66,1302961
2016-03-31T17:30,56.66,56.68,56.34,56.36,1351012
2016-04-01T13:30,56.11,56.72,56.01,56.66,3369625
2016-04-01T17:30,56.67,56.93,56.57,56.75,1027576
2016-04-04T13:30,56.9,57,56.68,56.86,765245
2016-04-04T17:30,56.84,56.93,56.64,56.69,965436
2016-04-05T13:30,56.43,56.67,56.25,56.35,435313
2016-04-05T17:30,56.34,56.37,56.01,56.12,719560
2016-04-06T13:30,56.04,56.78,55.87,56.55,795998
2016-04-06T17:30,56.55,56.68,56.46,56.66,622708
2016-04-07T13:30,56.5,56.7,56.21,56.51,895235
2016-04-07T17:30,56.52,56.58,56.36,56.54,782227
2016-04-08T13:30,56.82,57.46,56.56,57.2,967168
2016-04-08T17:30,57.2,57.37,57.19,57.36,812691
2016-04-11T13:30,57.53,57.86,57.07,57.1,982541
2016-04-11T17:30,57.09,57.14,56.89,57,593655
2016-04-12T13:30,57.07,57.35,56.73,57.09,433180
2016-04-12T17:30,57.09,57.24,56.99,57.11,504820
2016-04-13T13:30,57.34,57.44,57.1,57.17,615725
2016-04-13T17:30,57.17,57.29,57.09,57.26,738610
2016-04-14T13:30,57.26,57.26,56.68,56.81,532113
2016-04-14T17:30,56.81,56.94,56.73,56.76,709433
2016-04-15T13:30,56.76,56.99,56.54,56.84,681910
2016-04-15T17:30,56.83,56.94,56.79,56.84,456041
2016-04-18T13:30,56.8,57.16,56.71,56.98,436575
2016-04-18T17:30,56.99,57.05,56.86,57.05,493360
2016-04-19T13:30,57.18,57.35,56.93,57.31,643234
2016-04-19T17:30,57.32,57.46,57.24,57.36,763063
2016-04-20T13:30,57.42,57.56,56.74,57.12,753663
2016-04-20T17:30,57.12,57.27,57.04,57.09,1153851
2016-04-21T13:30,56.88,56.94,56.44,56.45,1493430
2016-04-21T17:30,56.44,56.54,55.93,55.96,1392759
2016-04-22T13:30,56.1,57.23,56.02,56.96,1613417
2016-04-22T17:30,56.96,57.22,56.9,57.16,947288
2016-04-25T13:30,57.09,57.09,56.45,56.72,992367
2016-04-25T17:30,56.73,56.83,56.58,56.79,644007
2016-04-26T13:30,56.93,57.3,56.77,57.12,643808
2016-04-26T17:30,57.12,57.16,56.9,57.03,565495
2016-04-27T13:30,57.24,57.24,56.62,56.84,709975
2016-04-27T17:30,56.85,57.29,56.75,57.16,702031
2016-04-28T13:30,56.75,57.32,56.68,57.04,491031
2016-04-28T17:30,57.04,57.12,56.62,56.77,805136
2016-04-29T13:30,56.63,56.87,56.11,56.55,779550
2016-04-29T17:30,56.56,56.77,56.29,56.6,709141
2016-05-02T13:30,56.72,57.12,56.66,56.9,680030
2016-05-02T17:30,56.9,57.15,56.88,57.01,588389
2016-05-03T13:30,56.62,56.7,55.76,55.92,1133380
2016-05-03T17:30,55.92,56.26,55.83,56.19,843802
2016-05-04T13:30,56.01,57.12,55.98,57.09,498519
2016-05-04T17:30,57.07,57.46,57.07,57.26,1060837
2016-05-05T13:30,57.25,57.67,57.24,57.33,694295
2016-05-05T17:30,57.34,57.43,57.23,57.29,709625
2016-05-06T13:30,57.24,57.57,56.77,57.47,844452
2016-05-06T17:30,57.46,57.66,57.42,57.55,983466
2016-05-09T13:30,57.67,58.28,57.49,58.26,1199984
2016-05-09T17:30,58.26,58.43,58.15,58.3,1113464
2016-05-10T13:30,58.6,59.28,58.21,58.88,2083437
2016-05-10T17:30,58.9,59.06,58.7,59.01,1007645
2016-05-11T13:30,58.89,59.4,58.68,58.79,1362182
2016-05-11T17:30,58.79,58.9,58.64,58.71,1020603
2016-05-12T13:30,58.92,59.08,58.64,58.84,807748
2016-05-12T17:30,58.85,59.03,58.75,58.94,648948
2016-05-13T13:30,58.79,59.07,58.43,58.77,1240402
2016-05-13T17:30,58.77,58.8,58.43,58.53,951427
2016-05-16T13:30,58.49,59.03,58.37,58.88,741435
2016-05-16T17:30,58.87,58.97,58.79,58.85,566185
2016-05-17T13:30,58.75,59.01,58.38,58.81,1100745
2016-05-17T17:30,58.83,58.93,58.41,58.71,1683640
2016-05-18T13:30,58.39,59.35,58.24,59.33,1758936
2016-05-18T17:30,59.33,59.33,58.36,58.95,1892733
2016-05-19T13:30,58.38,58.58,58.06,58.17,1082448
2016-05-19T17:30,58.17,58.41,58.1,58.32,656901
2016-05-20T13:30,58.53,58.57,58.19,58.51,814686
2016-05-20T17:30,58.51,58.68,58.45,58.58,584703
2016-05-23T13:30,58.66,59.02,58.43,58.94,763702
2016-05-23T17:30,58.94,59.06,58.82,58.88,986070
2016-05-24T13:30,59.04,59.42,58.97,59.2,773183
2016-05-24T17:30,59.2,59.5,59.16,59.46,611393
2016-05-25T13:30,59.6,59.91,59.23,59.37,877289
2016-05-25T17:30,59.37,59.44,59.2,59.33,577018
2016-05-26T13:30,59.48,59.55,59,59.09,495893
2016-05-26T17:30,59.1,59.3,59.1,59.16,438058
2016-05-27T13:30,59.22,59.44,59.1,59.33,493301
2016-05-27T17:30,59.33,59.36,59.14,59.14,604604
2016-05-31T13:30,59.17,59.26,58.69,58.94,762150
2016-05-31T17:30,58.94,59.26,58.81,59.16,777204
2016-06-01T13:30,58.92,59.39,58.84,59.03,1087028
2016-06-01T17:30,59.03,59.16,58.9,59.15,771377
2016-06-02T13:30,59.06,59.58,58.97,59.54,526571
2016-06-02T17:30,59.54,59.8,59.48,59.8,531909
2016-06-03T13:30,59.57,60.28,59.57,60.13,817225
2016-06-03T17:30,60.14,60.51,60.1,60.43,1098591
2016-06-06T13:30,60.45,60.85,60.35,60.54,1101118
2016-06-06T17:30,60.54,60.72,60.51,60.63,783260
2016-06-07T13:30,60.64,61.56,60.59,61.52,954998
2016-06-07T17:30,61.52,61.52,61.1,61.25,950040
2016-06-08T13:30,61.41,61.72,61.1,61.23,707245
2016-06-08T17:30,61.23,61.25,61.06,61.23,590131
2016-06-09T13:30,61.18,61.63,60.92,61.54,831099
2016-06-09T17:30,61.54,61.6,61.46,61.51,737208
2016-06-10T13:30,61.35,61.53,60.99,61.4,771262
2016-06-10T17:30,61.41,61.41,61.12,61.33,805465
2016-06-13T13:30,61.31,61.71,61.26,61.65,976599
2016-06-13T17:30,61.65,61.71,61.5,61.55,1067307
2016-06-14T13:30,61.42,61.65,61.01,61.17,1205064
2016-06-14T17:30,61.17,61.24,60.9,60.99,1130902
2016-06-15T13:30,61.41,61.46,60.95,61.33,1024941
2016-06-15T17:30,61.33,61.92,61.33,61.79,923085
2016-06-16T13:30,61.63,62.12,61.56,61.98,1050359
2016-06-16T17:30,62,62.28,61.83,62.24,948725
2016-06-17T13:30,62.04,62.18,61.7,62.15,965253
2016-06-17T17:30,62.16,62.21,62.01,62.09,608192
2016-06-20T13:30,62.69,62.75,62.08,62.34,699611
2016-06-20T17:30,62.33,62.38,62.01,62.1,621071
2016-06-21T13:30,62.4,62.8,62.21,62.62,866842
2016-06-21T17:30,62.62,62.82,62.6,62.71,686621
2016-06-22T13:30,62.79,62.9,62.48,62.6,996760
2016-06-22T17:30,62.59,62.67,62.54,62.64,741149
2016-06-23T13:30,63.04,63.4,62.83,63.27,840790
2016-06-23T17:30,63.26,63.28,62.91,63.15,810765
2016-06-24T13:30,62.04,64.01,61.82,63.44,3829913
2016-06-24T17:30,63.43,63.71,63.15,63.42,2717135
2016-06-27T13:30,63.25,63.81,63,63.66,2334378
2016-06-27T17:30,63.66,63.92,63.47,63.9,1587860
2016-06-28T13:30,64.13,64.92,63.86,64.76,1758338
2016-06-28T17:30,64.76,65.11,64.75,65.1,1229902
2016-06-29T13:30,65.38,65.82,65.19,65.69,1975003
2016-06-29T17:30,65.69,66.13,65.69,65.98,1609144
2016-06-30T13:30,65.94,66.52,65.7,66.42,1238893
2016-06-30T17:30,66.42,66.71,66.28,66.7,1178166
2016-07-01T13:30,66.88,67.2,66.05,66.53,1543115
2016-07-01T17:30,66.55,66.73,66.35,66.53,1021601
2016-07-05T13:30,66.51,67.23,66.42,67.21,876792
2016-07-05T17:30,67.21,67.5,67.15,67.44,941579
2016-07-06T13:30,67.33,67.62,66.57,67.01,1346782
2016-07-06T17:30,67.01,67.17,66.92,67.02,851588
2016-07-07T13:30,66.95,67.16,66.63,66.77,906706
2016-07-07T17:30,66.78,66.89,66.52,66.73,902550
2016-07-08T13:30,67.01,67.34,66.52,66.7,1064680
2016-07-08T17:30,66.71,67.24,66.7,67.19,1046798
2016-07-11T13:30,66.88,66.96,65.67,66.36,1620131
2016-07-11T17:30,66.36,66.38,66.05,66.11,1181931
2016-07-12T13:30,65.94,66.12,65.13,65.57,2419581
2016-07-12T17:30,65.57,65.88,65.46,65.86,1450718
2016-07-13T13:30,65.84,66.23,65.23,65.67,1448951
2016-07-13T17:30,65.67,65.74,65.6,65.63,806031
2016-07-14T13:30,65.9,65.9,65.11,65.14,799237
2016-07-14T17:30,65.14,65.51,65.13,65.42,635323
2016-07-15T13:30,65.59,66.03,65.44,65.73,931376
2016-07-15T17:30,65.73,65.93,65.65,65.82,663208
2016-07-18T13:30,65.84,65.98,65.49,65.67,478345
2016-07-18T17:30,65.66,65.7,65.33,65.36,699838
2016-07-19T13:30,64.83,65.28,63.96,65.13,1136553
2016-07-19T17:30,65.13,65.54,65.13,65.54,603722
2016-07-20T13:30,65.56,65.62,64.76,64.8,872621
2016-07-20T17:30,64.8,64.91,64.71,64.77,1014035
2016-07-21T13:30,64.54,64.82,64.13,64.81,1164134
2016-07-21T17:30,64.81,64.81,64.43,64.61,1173164
2016-07-22T13:30,64.58,65.46,64.45,64.91,1135531
2016-07-22T17:30,64.92,65.47,64.88,65,1134561
2016-07-25T13:30,65.01,65.02,63.96,64.17,1110080
2016-07-25T17:30,64.17,64.17,63.7,64,941667
2016-07-26T13:30,64.02,64.17,63.53,63.53,665540
2016-07-26T17:30,63.53,63.65,63.29,63.61,1085272
2016-07-27T13:30,63.52,63.6,63.15,63.35,636015
2016-07-27T17:30,63.35,63.54,63.04,63.18,1028273
2016-07-28T13:30,63.36,63.61,63.04,63.53,1122023
2016-07-28T17:30,63.53,63.63,63.44,63.5,781765
2016-07-29T13:30,63.56,64.12,63.53,63.74,798853
2016-07-29T17:30,63.73,63.95,63.69,63.81,762157
2016-08-01T13:30,63.73,64.19,63.68,64.04,812434
2016-08-01T17:30,64.02,64.29,63.96,64.27,887333
2016-08-02T13:30,64.1,64.26,63.61,63.72,869551
2016-08-02T17:30,63.71,63.75,63.62,63.69,532861
2016-08-03T13:30,63.63,63.77,63.3,63.32,414388
2016-08-03T17:30,63.32,63.35,63.03,63.19,853548
2016-08-04T13:30,63.25,63.8,63.13,63.65,614412
2016-08-04T17:30,63.65,63.75,63.45,63.71,610350
2016-08-05T13:30,63.88,63.9,63.25,63.26,713727
2016-08-05T17:30,63.26,63.29,63.12,63.27,493383
2016-08-08T13:30,63.37,63.53,63.02,63.23,394627
2016-08-08T17:30,63.23,63.24,62.97,63.06,391423
2016-08-09T13:30,63.14,63.29,62.82,62.95,757509
2016-08-09T17:30,62.96,63.02,62.82,63.01,697946
2016-08-10T13:30,63,63.36,63,63.31,689016
2016-08-10T17:30,63.31,63.37,63.14,63.26,476507
2016-08-11T13:30,63.31,63.5,62.99,63.14,532822
2016-08-11T17:30,63.17,63.33,63.12,63.3,439844
2016-08-12T13:30,63.35,63.79,63.25,63.48,599771
2016-08-12T17:30,63.48,63.55,63.4,63.48,387652
2016-08-15T13:30,63.69,63.79,63.42,63.49,469966
2016-08-15T17:30,63.49,63.5,63.26,63.27,726155
2016-08-16T13:30,63.1,63.1,62.19,62.27,870809
2016-08-16T17:30,62.27,62.44,62.12,62.35,589506
2016-08-17T13:30,62.5,62.53,61.98,62.08,538573
2016-08-17T17:30,62.09,62.39,61.91,62.16,1022362
2016-08-18T13:30,62.19,62.38,61.76,61.8,675603
2016-08-18T17:30,61.81,62.01,61.78,62.01,527784
2016-08-19T13:30,61.92,61.92,60.96,60.99,985496
2016-08-19T17:30,60.99,61.51,60.98,61.39,878189
2016-08-22T13:30,61.49,61.77,61.15,61.71,800625
2016-08-22T17:30,61.69,61.75,61.55,61.63,654600
2016-08-23T13:30,61.74,62.01,61.59,61.68,643262
2016-08-23T17:30,61.68,61.71,61.6,61.63,506145
2016-08-24T13:30,61.7,62.5,61.7,62.29,973724
2016-08-24T17:30,62.29,62.42,62.17,62.33,949082
2016-08-25T13:30,62.4,62.73,62.19,62.42,1171419
2016-08-25T17:30,62.42,62.49,62.03,62.14,593986
2016-08-26T13:30,62.22,62.43,61.46,61.48,697796
2016-08-26T17:30,61.49,61.49,61.14,61.36,1316811
2016-08-29T13:30,61.53,61.82,61.5,61.73,565743
2016-08-29T17:30,61.73,61.78,61.58,61.64,824429
2016-08-30T13:30,61.52,62.03,61.33,61.89,969913
2016-08-30T17:30,61.88,61.97,61.67,61.93,488203
2016-08-31T13:30,61.83,62.33,61.79,62.19,857917
2016-08-31T17:30,62.19,62.48,62.15,62.33,858689
2016-09-01T13:30,62.31,62.42,62.05,62.19,619095
2016-09-01T17:30,62.2,62.34,62.1,62.3,695681
2016-09-02T13:30,62.68,63.24,62.63,62.96,921353
2016-09-02T17:30,62.94,63.19,62.73,63.16,681266
2016-09-06T13:30,63.79,64.29,63.63,64.24,1744332
2016-09-06T17:30,64.23,64.49,64.17,64.46,1007845
2016-09-07T13:30,64.29,64.58,64.19,64.51,2084822
2016-09-07T17:30,64.52,65.11,64.52,65,1391034
2016-09-08T13:30,64.84,64.94,64.5,64.5,627572
2016-09-08T17:30,64.51,64.51,64.2,64.21,797531
2016-09-09T13:30,63.76,63.83,61.71,61.74,1540882
2016-09-09T17:30,61.73,61.83,61.35,61.39,3945507
2016-09-12T13:30,61.18,61.64,60.86,61.39,1057254
2016-09-12T17:30,61.41,61.96,61.32,61.77,1322737
2016-09-13T13:30,61.89,61.99,59.83,60.58,2227298
2016-09-13T17:30,60.6,60.74,60.37,60.42,1614127
2016-09-14T13:30,61.07,61.07,60.46,60.89,1191288
2016-09-14T17:30,60.91,60.93,60.44,60.67,636434
2016-09-15T13:30,60.68,61.16,60.46,60.49,1276180
2016-09-15T17:30,60.49,60.85,60.47,60.73,1239335
2016-09-16T13:30,60.52,60.61,59.65,60.21,2014875
2016-09-16T17:30,60.19,60.22,59.95,60,993297
2016-09-19T13:30,60.1,60.65,60.01,60.55,768536
2016-09-19T17:30,60.54,61.13,60.41,61.01,1127432
2016-09-20T13:30,61.34,61.4,60.83,61.07,1282272
2016-09-20T17:30,61.06,61.12,60.8,60.81,689599
2016-09-21T13:30,60.78,60.97,60.48,60.82,915813
2016-09-21T17:30,60.81,62.09,60.77,62.05,1712096
2016-09-22T13:30,62.51,63.08,62.32,63,1503378
2016-09-22T17:30,62.99,63.28,62.79,62.98,2009962
2016-09-23T13:30,62.55,63.35,62.4,63.22,935586
2016-09-23T17:30,63.22,63.48,63.15,63.22,1078691
2016-09-26T13:30,62.97,63.5,62.85,63.29,1567309
2016-09-26T17:30,63.3,63.64,63.3,63.5,667881
2016-09-27T13:30,63.7,63.82,63.33,63.54,1132471
2016-09-27T17:30,63.53,63.56,63.06,63.08,529959
2016-09-28T13:30,63.14,63.32,62.73,62.84,691930
2016-09-28T17:30,62.84,63.08,62.66,62.67,1732148
2016-09-29T13:30,62.73,62.75,61.89,62.12,1309159
2016-09-29T17:30,62.12,62.66,62.08,62.44,1046011
2016-09-30T13:30,62.73,63,62.24,62.57,999578
2016-09-30T17:30,62.56,62.73,62.49,62.57,1075551
