date,open,high,low,close,volume
2016-01-04T14:30,43.96,44.03,43.2,43.31,280452
2016-01-04T18:30,43.32,43.54,43.08,43.53,353382
2016-01-05T14:30,43.5,43.78,43.34,43.56,297757
2016-01-05T18:30,43.56,43.81,43.56,43.79,279399
2016-01-06T14:30,43.2,43.4,43.08,43.13,194564
2016-01-06T18:30,43.13,43.25,42.96,43.18,228380
2016-01-07T14:30,42.58,42.81,42.01,42.25,371055
2016-01-07T18:30,42.23,42.39,42.1,42.22,277906
2016-01-08T14:30,42.63,42.85,42.16,42.44,281729
2016-01-08T18:30,42.44,42.57,41.93,42.01,339311
2016-01-11T14:30,42.35,42.79,41.94,42,212949
2016-01-11T18:30,41.96,42.45,41.82,42.28,198591
2016-01-12T14:30,42.41,42.66,42.1,42.13,214349
2016-01-12T18:30,42.11,42.63,42.06,42.58,224235
2016-01-13T14:30,42.82,42.94,42.22,42.22,188074
2016-01-13T18:30,42.23,42.28,41.71,41.81,315228
2016-01-14T14:30,42,42.56,41.84,42.47,285498
2016-01-14T18:30,42.47,42.89,42.44,42.52,408003
2016-01-15T14:30,41.72,42.02,41.28,41.45,436893
2016-01-15T18:30,41.44,41.84,41.41,41.7,360657
2016-01-19T14:30,42.35,42.35,41.7,41.72,320596
2016-01-19T18:30,41.72,41.98,41.54,41.79,261008
2016-01-20T14:30,41.35,41.69,40.58,40.73,362065
2016-01-20T18:30,40.73,41.54,40.73,41.2,248556
2016-01-21T14:30,41.33,41.59,40.95,41.07,343718
2016-01-21T18:30,41.07,41.18,40.77,40.94,272967
2016-01-22T14:30,41.36,41.6,41.11,41.47,237874
2016-01-22T18:30,41.48,41.7,41.42,41.6,215874
2016-01-25T14:30,41.54,41.63,41.13,41.44,310435
2016-01-25T18:30,41.43,41.45,40.94,40.98,282816
2016-01-26T14:30,41.1,41.76,41.1,41.69,285360
2016-01-26T18:30,41.66,41.72,41.41,41.55,276037
2016-01-27T14:30,41.56,42.1,41.34,41.96,238809
2016-01-27T18:30,41.96,42.03,41.28,41.49,209636
2016-01-28T14:30,41.79,42.13,41.64,42.02,234587
2016-01-28T18:30,42.01,42.3,42,42.14,254248
2016-01-29T14:30,42.37,43.02,42.27,42.88,294217
2016-01-29T18:30,42.88,43.64,42.88,43.6,524704
2016-02-01T14:30,43.34,43.73,43.22,43.62,300549
2016-02-01T18:30,43.61,43.95,43.52,43.73,225578
2016-02-02T14:30,43.68,43.99,42.95,43.15,432522
2016-02-02T18:30,43.15,43.19,42.91,43,212018
2016-02-03T14:30,43.34,43.51,42.28,42.59,369242
