date,open,high,low,close,volume
2016-01-04T14:30,91.08,91.28,89.95,90.41,864779
2016-01-04T18:30,90.38,91.03,90.02,91.02,540917
2016-01-05T14:30,91.21,92.35,91.08,92.34,648787
2016-01-05T18:30,92.34,92.67,92.06,92.35,720770
2016-01-06T14:30,91.31,92.67,91.31,92.44,465030
2016-01-06T18:30,92.43,92.63,91.82,92.29,539354
2016-01-07T14:30,91.14,92.22,91.05,91.28,444571
2016-01-07T18:30,91.26,91.56,90.97,91.32,470479
2016-01-08T14:30,91.45,92.38,91.25,92.21,489857
2016-01-08T18:30,92.22,92.57,91.45,91.66,571410
2016-01-11T14:30,92.04,92.6,91.8,92.14,490887
2016-01-11T18:30,92.09,93.14,91.82,92.79,541398
2016-01-12T14:30,93.17,93.44,92.57,92.88,539769
2016-01-12T18:30,92.83,93.51,92.78,93.31,443255
2016-01-13T14:30,93.51,94.01,92.89,93.81,651025
2016-01-13T18:30,93.82,93.93,92.96,93.1,678866
2016-01-14T14:30,93.18,93.73,92.64,92.73,471117
2016-01-14T18:30,92.75,92.89,92.42,92.48,611214
2016-01-15T14:30,91.28,92.13,91.24,91.89,802613
2016-01-15T18:30,91.89,92.62,91.83,92.19,447329
2016-01-19T14:30,92.74,93.84,92.41,92.79,350544
2016-01-19T18:30,92.8,93.02,92.24,92.75,350205
2016-01-20T14:30,91.69,92.55,89.92,90.07,1108297
2016-01-20T18:30,90.05,91.56,90.02,91.1,563653
2016-01-21T14:30,91.24,91.75,90.28,91.22,687155
2016-01-21T18:30,91.24,91.83,90.83,91.47,514281
2016-01-22T14:30,92.19,92.99,91.4,92.39,425209
2016-01-22T18:30,92.38,92.84,92.3,92.7,347786
2016-01-25T14:30,92.35,93.15,91.34,92.13,980828
2016-01-25T18:30,92.14,92.3,91.37,91.43,624929
2016-01-26T14:30,91.67,92.65,91.18,91.61,814109
2016-01-26T18:30,91.61,91.86,90.98,91.79,698269
2016-01-27T14:30,91.77,92.23,91.24,92.05,921064
2016-01-27T18:30,92.07,92.22,90.76,91.12,477932
2016-01-28T14:30,90.98,92.16,90.45,91.82,470998
2016-01-28T18:30,91.8,92.28,91.78,92.11,580073
2016-01-29T14:30,92.75,94.49,92.1,93.86,782486
2016-01-29T18:30,93.88,94.65,93.88,94.3,705680
2016-02-01T14:30,94.3,96.31,94.25,96.25,606669
2016-02-01T18:30,96.26,96.64,96.12,96.36,596949
2016-02-02T14:30,95.81,96.29,94.35,94.39,757092
2016-02-02T18:30,94.41,94.52,94.04,94.36,650224
2016-02-03T14:30,94.9,95.76,93.88,95.06,918392
2016-02-03T18:30,95.08,96.06,94.85,95.9,853454
2016-02-04T14:30,96.18,96.2,91.04,92.79,1307741
2016-02-04T18:30,92.77,92.84,90.8,91.14,1125472
2016-02-05T14:30,91.34,91.97,89.48,90.47,790299
2016-02-05T18:30,90.47,90.95,90.2,90.93,835535
2016-02-08T14:30,90.28,92.16,90.12,92.01,885128
2016-02-08T18:30,92.02,93.27,91.94,92.89,765338
2016-02-09T14:30,92.32,94.66,91.39,94.57,1384156
2016-02-09T18:30,94.6,95,93.8,94.11,808793
2016-02-10T14:30,94.37,95.72,93.95,94.16,670418
2016-02-10T18:30,94.17,94.38,93.14,93.5,824168
2016-02-11T14:30,92.95,93.53,91.44,92.67,1191399
2016-02-11T18:30,92.67,93.23,92.33,92.85,866110
2016-02-12T14:30,93.6,94.06,92.62,92.83,536365
2016-02-12T18:30,92.85,93.38,92.72,93.24,430129
2016-02-16T14:30,93.44,93.91,92.61,93.19,485244
2016-02-16T18:30,93.19,93.79,92.98,93.6,458755
2016-02-17T14:30,93.65,95.2,93.39,95.07,684261
2016-02-17T18:30,95.07,95.27,94.56,94.61,439938
2016-02-18T14:30,94.62,94.73,93.73,93.75,366446
2016-02-18T18:30,93.75,93.93,93.4,93.51,483670
2016-02-19T14:30,93.49,94.02,92.75,93.9,422956
2016-02-19T18:30,93.92,94.13,93.78,94.02,267651
2016-02-22T14:30,94.34,94.69,93.63,93.63,481844
2016-02-22T18:30,93.62,94.04,93.43,93.8,359502
2016-02-23T14:30,93.87,94.47,93.83,94.45,322703
2016-02-23T18:30,94.4,94.44,93.84,94.2,307120
2016-02-24T14:30,93.57,94.44,93.29,94,453525
2016-02-24T18:30,94,95.29,93.94,95.21,509050
2016-02-25T14:30,95.4,96.01,95.12,95.44,473558
2016-02-25T18:30,95.43,96.13,95.31,96.1,367777
2016-02-26T14:30,95.04,95.9,93.28,93.36,637122
2016-02-26T18:30,93.35,93.67,93.06,93.44,425062
2016-02-29T14:30,93.37,93.72,93.17,93.3,383978
2016-02-29T18:30,93.23,93.35,92.42,92.43,390175
2016-03-01T14:30,92.53,92.97,91.26,91.53,727667
2016-03-01T18:30,91.53,92.02,91.21,91.73,792648
2016-03-02T14:30,91.53,91.95,90.76,91.94,661043
2016-03-02T18:30,91.93,92.26,91.64,92.17,536678
2016-03-03T14:30,92.15,92.15,90.94,91.24,551385
2016-03-03T18:30,91.24,91.87,91.24,91.8,412699
