date,open,high,low,close,volume
2016-01-04T14:30,19.73,19.9,19.63,19.86,14316342
2016-01-04T18:30,19.86,19.92,19.73,19.92,9371870
2016-01-05T14:30,19.99,20.06,19.86,19.95,11751630
2016-01-05T18:30,19.95,20.06,19.91,19.92,12397824
2016-01-06T14:30,19.66,19.92,19.6,19.77,11123014
2016-01-06T18:30,19.77,19.81,19.68,19.77,9084174
2016-01-07T14:30,19.36,19.82,19.25,19.7,16844712
2016-01-07T18:30,19.69,19.72,19.53,19.55,13371468
2016-01-08T14:30,19.64,20.06,19.63,19.82,14170898
2016-01-08T18:30,19.81,19.86,19.53,19.57,10544160
2016-01-11T14:30,19.68,19.72,19.38,19.38,10172986
2016-01-11T18:30,19.38,19.68,19.3,19.59,10146400
2016-01-12T14:30,19.54,19.84,19.46,19.58,10047650
2016-01-12T18:30,19.58,19.71,19.5,19.64,8394744
2016-01-13T14:30,19.84,19.86,19.5,19.51,13262880
2016-01-13T18:30,19.51,19.52,19.13,19.17,15482102
2016-01-14T14:30,19.17,19.75,19.1,19.74,12244758
2016-01-14T18:30,19.74,19.92,19.67,19.7,10329910
2016-01-15T14:30,19.08,19.42,19.08,19.18,18477322
2016-01-15T18:30,19.18,19.42,19.15,19.28,11023940
2016-01-19T14:30,19.64,19.64,19.29,19.35,11152270
2016-01-19T18:30,19.34,19.53,19.22,19.42,10407932
2016-01-20T14:30,19.32,19.33,18.74,18.93,23019692
2016-01-20T18:30,18.92,19.29,18.91,19.19,20631346
2016-01-21T14:30,19.19,19.63,19.04,19.45,17968960
2016-01-21T18:30,19.45,19.61,19.32,19.44,11450224
2016-01-22T14:30,19.87,19.87,19.58,19.76,10275698
2016-01-22T18:30,19.76,19.86,19.73,19.81,6947102
2016-01-25T14:30,19.7,19.8,19.52,19.72,11361246
2016-01-25T18:30,19.71,19.74,19.37,19.41,8118334
2016-01-26T14:30,19.35,19.69,19.31,19.66,18788426
2016-01-26T18:30,19.66,19.69,19.58,19.63,10922406
2016-01-27T14:30,19.66,19.85,19.46,19.74,11176964
2016-01-27T18:30,19.73,19.79,19.31,19.37,10412456
2016-01-28T14:30,19.52,19.54,19.19,19.29,12733542
2016-01-28T18:30,19.29,19.42,19.22,19.37,11049790
2016-01-29T14:30,19.6,19.83,19.52,19.78,17658072
2016-01-29T18:30,19.79,19.99,19.78,19.9,13632648
2016-02-01T14:30,19.71,19.92,19.68,19.88,9568400
2016-02-01T18:30,19.89,20.09,19.86,19.97,7568634
2016-02-02T14:30,19.65,19.89,19.63,19.76,12872448
2016-02-02T18:30,19.76,19.79,19.47,19.53,15619502
2016-02-03T14:30,20.3,20.44,19.76,20.3,31916316
2016-02-03T18:30,20.3,20.75,20.24,20.71,18922342
2016-02-04T14:30,20.72,21.28,20.67,20.91,33350138
2016-02-04T18:30,20.91,21,20.62,20.84,20087198
2016-02-05T14:30,20.84,21.23,20.75,21.21,23176752
2016-02-05T18:30,21.21,21.29,21.02,21.27,24545668
2016-02-08T14:30,21.18,21.26,20.92,21,31732588
2016-02-08T18:30,21,21.37,20.73,21.27,20897874
2016-02-09T14:30,20.91,21.12,20.47,20.69,21628896
2016-02-09T18:30,20.69,20.96,20.63,20.84,12632016
2016-02-10T14:30,20.8,20.81,20.13,20.2,24883096
2016-02-10T18:30,20.2,20.31,19.96,19.98,14945352
2016-02-11T14:30,19.64,20.01,19.58,19.89,17853954
2016-02-11T18:30,19.89,20.16,19.74,20.06,14517618
2016-02-12T14:30,20.35,20.42,19.9,20.16,14120152
2016-02-12T18:30,20.16,20.37,20.15,20.33,7551660
2016-02-16T14:30,20.69,20.71,20.4,20.63,11157322
2016-02-16T18:30,20.63,20.63,20.47,20.57,8214968
2016-02-17T14:30,20.67,20.87,20.52,20.69,15073430
2016-02-17T18:30,20.69,20.73,20.59,20.65,8943746
2016-02-18T14:30,20.56,20.67,20.26,20.58,13860780
2016-02-18T18:30,20.58,20.58,20.45,20.52,8013130
2016-02-19T14:30,20.4,20.69,20.39,20.61,11223636
2016-02-19T18:30,20.61,20.69,20.58,20.67,5902952
2016-02-22T14:30,20.84,21.07,20.73,20.84,7445666
2016-02-22T18:30,20.84,20.89,20.77,20.81,6897520
2016-02-23T14:30,20.68,20.83,20.55,20.65,8547146
2016-02-23T18:30,20.65,20.7,20.58,20.6,4809286
2016-02-24T14:30,20.43,20.69,20.26,20.65,9282334
2016-02-24T18:30,20.65,20.99,20.63,20.91,7894598
2016-02-25T14:30,20.82,20.95,20.67,20.83,7400118
2016-02-25T18:30,20.83,20.95,20.81,20.95,4779660
2016-02-26T14:30,21.04,21.11,20.64,20.69,10150738
