date,open,high,low,close,volume
2019-06-12T13:30,15.88,16.75,14,15.64,67441064
2019-06-12T17:30,15.67,15.75,14.25,14.55,18785784
2019-06-13T13:30,15.97,17.2,15.4,17.18,31059160
2019-06-13T17:30,17.18,17.42,16.39,16.87,11344332
2019-06-14T13:30,17.45,17.7,15.76,16.61,20610828
2019-06-14T17:30,16.6,16.72,15.96,16.04,3326456
2019-06-17T13:30,16.19,17.23,15.5,17.03,7456712
2019-06-17T17:30,17.02,17.5,16.8,17.5,5210184
2019-06-18T13:30,18.25,19.44,17.88,19.35,14034572
2019-06-18T17:30,19.33,19.68,18.29,19.16,8138264
2019-06-19T13:30,19.69,19.95,18.39,18.82,10040664
2019-06-19T17:30,18.87,19.5,18.76,19.27,3022816
2019-06-20T13:30,19.5,19.56,17.67,18.07,10012432
2019-06-20T17:30,18.12,18.86,17.88,18.7,2639744
2019-06-21T13:30,18.11,18.48,17.17,17.41,4684564
2019-06-21T17:30,17.42,18.25,17.08,18,3435152
2019-06-24T13:30,17.76,18.1,16.27,17.06,7389120
2019-06-24T17:30,17.06,17.32,16.83,16.98,2275832
2019-06-25T13:30,16.77,17.25,15.88,16.06,5890240
2019-06-25T17:30,16.06,16.08,15.29,15.38,3962764
2019-06-26T13:30,15.83,16.23,15.69,15.94,4261148
2019-06-26T17:30,15.94,15.94,15.5,15.65,1702408
2019-06-27T13:30,15.85,16.25,15.64,16.19,2269264
2019-06-27T17:30,16.23,16.25,15.82,15.85,1375224
2019-06-28T13:30,16.09,16.4,15.83,16.31,2296508
2019-06-28T17:30,16.29,17.1,16.29,17.1,3507348
2019-07-01T13:30,17.27,17.43,15.45,15.74,8054564
2019-07-01T17:30,15.77,15.88,15.69,15.8,2654828
2019-07-02T13:30,15.83,16.26,15.43,15.88,4246472
2019-07-02T17:30,15.88,16.21,15.75,16.13,2673780
2019-07-03T13:30,16.17,16.87,16.13,16.73,6288396
2019-07-03T17:30,16.77,16.77,16.75,16.75,5100
2019-07-05T13:30,16.75,16.81,16.21,16.81,2059724
2019-07-05T17:30,16.81,16.81,16.51,16.76,1233568
2019-07-08T13:30,17.07,17.93,16.8,17.34,11265164
2019-07-08T17:30,17.36,17.51,16.73,16.8,5811676
2019-07-09T13:30,16.86,17.24,16.72,17.18,3901732
2019-07-09T17:30,17.18,17.3,16.98,17.12,2922180
2019-07-10T13:30,17.5,18.19,17.38,18.14,6603476
2019-07-10T17:30,18.15,18.63,18.08,18.59,4245152
2019-07-11T13:30,18.63,18.75,17.96,18.02,5522104
2019-07-11T17:30,18.04,18.05,17.63,17.7,3340192
2019-07-12T13:30,17.9,18.48,17.63,18.42,3672900
2019-07-12T17:30,18.4,18.8,18.36,18.38,3456328
2019-07-15T13:30,18.5,18.57,18.02,18.07,2990100
2019-07-15T17:30,18.1,18.17,17.85,17.89,2237028
2019-07-16T13:30,17.98,18.27,17.25,17.58,4102016
2019-07-16T17:30,17.58,17.7,17.3,17.41,2138324
2019-07-17T13:30,17.5,17.73,17.4,17.69,2629728
2019-07-17T17:30,17.71,17.89,17.6,17.74,1504716
2019-07-18T13:30,17.75,18.55,17.54,18.14,5548008
2019-07-18T17:30,18.15,18.48,18.06,18.18,3402972
2019-07-19T13:30,21.29,21.46,20.19,21,38285288
2019-07-19T17:30,20.98,21.26,20.25,20.87,13904636
2019-07-22T13:30,20.57,22.13,20.52,21.81,16496284
2019-07-22T17:30,21.81,22.11,21.58,21.92,4821544
2019-07-23T13:30,22.08,22.36,21.12,21.74,8015444
2019-07-23T17:30,21.75,21.83,21.54,21.67,1935376
2019-07-24T13:30,21.7,21.96,21.38,21.59,3176388
