date,open,high,low,close,volume
2016-01-04T14:30,52.14,53.23,52.14,52.92,774342
2016-01-04T18:30,52.92,53.35,52.82,53.07,935641
2016-01-05T14:30,53.06,53.24,52.57,52.78,581998
2016-01-05T18:30,52.78,53.15,52.73,53.13,655729
2016-01-06T14:30,52.93,53.86,52.8,53.79,617966
2016-01-06T18:30,53.8,53.82,53.51,53.63,681820
2016-01-07T14:30,53.1,53.54,53.01,53.34,563213
2016-01-07T18:30,53.33,53.65,53.15,53.5,703740
2016-01-08T14:30,53.64,54.09,53.51,53.75,641917
2016-01-08T18:30,53.75,54.04,53.48,53.65,788602
2016-01-11T14:30,53.71,54.78,53.66,54.63,851044
2016-01-11T18:30,54.63,54.98,54.48,54.72,1007200
2016-01-12T14:30,55.23,55.39,54.47,54.61,1011947
2016-01-12T18:30,54.61,54.74,54.26,54.38,875737
2016-01-13T14:30,54.47,54.71,54.02,54.33,572832
2016-01-13T18:30,54.33,54.41,53.91,54.07,511440
2016-01-14T14:30,54.29,54.63,53.84,54.52,645669
2016-01-14T18:30,54.52,54.83,54.49,54.57,1117521
2016-01-15T14:30,53.85,54.48,53.46,53.53,961964
2016-01-15T18:30,53.51,53.61,53.07,53.15,816318
2016-01-19T14:30,53.43,53.82,52.46,52.47,632641
2016-01-19T18:30,52.49,52.75,52.25,52.3,982965
2016-01-20T14:30,51.74,51.74,48.67,49.52,1284310
2016-01-20T18:30,49.51,51.26,49.51,50.59,794465
2016-01-21T14:30,50.79,51.22,50.31,50.39,749121
2016-01-21T18:30,50.37,50.83,50.05,50.48,735724
2016-01-22T14:30,50.95,51.8,50.86,51.73,378802
2016-01-22T18:30,51.73,52.13,51.72,52.07,500969
2016-01-25T14:30,52.07,53.08,51.74,53.03,616827
2016-01-25T18:30,53.03,53.22,52.66,52.71,767718
2016-01-26T14:30,52.84,54.27,52.75,54.12,882300
2016-01-26T18:30,54.12,54.69,54.08,54.69,1136699
2016-01-27T14:30,54.38,54.59,53.74,54.08,775643
2016-01-27T18:30,54.08,54.27,53.28,53.65,760464
2016-01-28T14:30,54,56.27,53.68,55.56,835157
2016-01-28T18:30,55.55,55.64,55.33,55.34,1331376
2016-01-29T14:30,55.55,55.9,54.78,55.6,1198346
2016-01-29T18:30,55.6,55.86,55.36,55.76,883412
2016-02-01T14:30,55.72,55.81,54.84,55.51,778332
2016-02-01T18:30,55.47,55.71,55.37,55.47,698805
2016-02-02T14:30,55.36,55.77,54.84,55.64,637114
2016-02-02T18:30,55.64,55.67,55.42,55.44,312629
2016-02-03T14:30,55.68,56.15,55.62,55.93,912608
2016-02-03T18:30,55.94,56.4,55.65,56.28,842023
2016-02-04T14:30,55.99,57.09,55.61,56.95,481790
2016-02-04T18:30,56.97,56.98,56.64,56.66,527040
2016-02-05T14:30,56.07,56.76,56.07,56.7,670197
2016-02-05T18:30,56.69,57.28,56.66,56.93,584768
2016-02-08T14:30,56.47,56.61,54.27,54.37,1814238
2016-02-08T18:30,54.4,54.89,54.13,54.66,780674
2016-02-09T14:30,54.1,54.59,53.18,53.3,1021206
2016-02-09T18:30,53.32,54.27,53.31,53.73,809155
2016-02-10T14:30,53.94,54.71,53.28,54.48,761745
2016-02-10T18:30,54.47,54.53,53.94,54.27,821048
2016-02-11T14:30,53.74,54.25,53.23,53.88,674075
2016-02-11T18:30,53.87,54.06,53.63,53.67,957450
2016-02-12T14:30,54.4,54.83,53.97,54.79,472022
2016-02-12T18:30,54.79,55.32,54.7,55.18,484557
2016-02-16T14:30,55.51,56,55.07,55.67,399688
