date,open,high,low,close,volume
2016-01-04T14:30,100.69,100.9,98.99,99.67,898399
2016-01-04T18:30,99.66,100.41,99.36,100.37,645717
2016-01-05T14:30,100.4,101.36,100.14,100.77,573579
2016-01-05T18:30,100.77,101.39,100.46,100.69,577583
2016-01-06T14:30,97.94,98.86,95.02,96.03,2326874
2016-01-06T18:30,96.03,96.97,95.59,96.38,1359183
2016-01-07T14:30,94.44,96.2,93.91,94.05,1034605
2016-01-07T18:30,94.05,94.4,93.59,93.92,795986
2016-01-08T14:30,94.08,94.34,93.15,93.64,607171
2016-01-08T18:30,93.63,94.13,92.82,93,538667
2016-01-11T14:30,93.34,93.74,92.66,92.69,808799
2016-01-11T18:30,92.7,93.8,92.4,93.3,591154
2016-01-12T14:30,94.28,94.75,93.38,93.73,708082
2016-01-12T18:30,93.66,94.48,93.29,94.29,553193
2016-01-13T14:30,95.11,95.21,93.18,93.18,563156
2016-01-13T18:30,93.16,93.29,91.87,91.96,741594
2016-01-14T14:30,92.28,93.43,91.39,93.25,576704
2016-01-14T18:30,93.26,94,93.01,93.44,574739
2016-01-15T14:30,92.3,92.67,89.71,90.6,1254502
2016-01-15T18:30,90.6,91.67,90.58,91.47,739683
2016-01-19T14:30,92.74,92.82,91.44,91.62,562473
2016-01-19T18:30,91.55,91.7,90.51,91.27,724845
2016-01-20T14:30,90.02,90.59,89.17,90.04,963950
2016-01-20T18:30,90.02,92.33,89.98,91.37,680226
2016-01-21T14:30,91.06,91.62,89.71,90.61,917203
2016-01-21T18:30,90.63,91.22,89.97,90.82,621667
2016-01-22T14:30,92.7,95.25,92.4,93.3,946484
2016-01-22T18:30,93.3,93.72,92.97,93.63,507778
2016-01-25T14:30,93.18,93.54,92.37,93.27,597852
2016-01-25T18:30,93.23,93.34,91.93,92.08,481983
2016-01-26T14:30,92.22,92.89,91.96,92.54,647895
2016-01-26T18:30,92.52,92.88,92,92.86,435395
2016-01-27T14:30,92.22,93.4,92.05,92.88,525221
2016-01-27T18:30,92.86,93.16,91.02,91.67,563859
2016-01-28T14:30,92.82,93.82,92.2,92.72,490180
2016-01-28T18:30,92.76,93.43,92.64,92.76,440029
2016-01-29T14:30,93.38,94.37,92.74,94.24,639084
2016-01-29T18:30,94.26,96.3,94.18,96.19,1081089
2016-02-01T14:30,95.03,95.89,94.07,95.41,575566
2016-02-01T18:30,95.42,96,95.09,95.78,455045
2016-02-02T14:30,95.01,95.01,93.6,94.23,585369
2016-02-02T18:30,94.2,94.26,93.36,93.58,605427
2016-02-03T14:30,95.41,96.23,92.88,93.84,871002
2016-02-03T18:30,93.84,95.67,93.56,95.66,606246
2016-02-04T14:30,95.83,97.82,95.54,97.1,754523
2016-02-04T18:30,97.15,97.42,96.47,97.35,522154
2016-02-05T14:30,97.11,97.11,94.75,95.17,675923
2016-02-05T18:30,95.18,95.18,94.24,94.68,545381
2016-02-08T14:30,93.68,94.28,92.08,92.13,771677
2016-02-08T18:30,92.11,92.84,91.36,92.41,749026
2016-02-09T14:30,91.78,94.65,91.15,94.07,766732
2016-02-09T18:30,94.09,96.05,93.97,95.65,843750
2016-02-10T14:30,95.98,97.79,95.42,95.82,589291
2016-02-10T18:30,95.84,96.01,94.59,94.7,565769
2016-02-11T14:30,92.77,93.28,91.54,92.15,604058
2016-02-11T18:30,92.11,92.93,91.45,92.11,754765
2016-02-12T14:30,93.6,95.36,92.78,94.59,508557
2016-02-12T18:30,94.57,95.17,94.44,95.08,547303
2016-02-16T14:30,96.09,96.91,94.87,96.83,502330
2016-02-16T18:30,96.82,97.1,96.65,96.91,445973
2016-02-17T14:30,98.06,98.55,97.71,98.44,703574
2016-02-17T18:30,98.39,98.6,97.97,98.05,556803
2016-02-18T14:30,97.77,98.1,96.68,96.72,487728
2016-02-18T18:30,96.75,97.4,96.61,96.99,425073
2016-02-19T14:30,96.58,96.61,95.22,96.09,817940
2016-02-19T18:30,96.13,96.51,95.99,96.09,728446
2016-02-22T14:30,97.45,97.62,95.29,96.22,1175209
2016-02-22T18:30,96.22,96.46,95.77,96.4,959109
2016-02-23T14:30,92.41,92.86,89.28,90.26,3765588
2016-02-23T18:30,90.3,90.3,89.17,89.27,2358974
2016-02-24T14:30,88.65,90.43,87.95,90.17,1786225
2016-02-24T18:30,90.18,91.24,89.85,91.11,1040680
2016-02-25T14:30,91.49,91.68,90.6,91.62,644054
2016-02-25T18:30,91.63,92.47,91.47,92.44,505868
2016-02-26T14:30,93.15,94.87,92.94,94.85,856416
2016-02-26T18:30,94.84,95.03,94.04,94.76,835746
2016-02-29T14:30,94.48,95.25,93.14,93.4,687505
2016-02-29T18:30,93.38,93.51,91.45,91.47,843906
2016-03-01T14:30,92.35,94.14,91.58,94.12,834916
2016-03-01T18:30,94.12,94.65,93.89,94.39,735886
2016-03-02T14:30,93.89,94.28,92.84,93.33,653814
2016-03-02T18:30,93.35,93.43,92.9,93.34,612422
2016-03-03T14:30,93.4,94,93.16,93.67,530185
2016-03-03T18:30,93.67,94.07,93.65,93.84,518899
2016-03-04T14:30,94.26,95.53,93.45,95.39,619018
2016-03-04T18:30,95.4,95.51,94.7,94.83,444648
2016-03-07T14:30,94.26,95.13,93.93,94.42,474487
2016-03-07T18:30,94.45,94.5,93.88,94.48,517838
2016-03-08T14:30,93.6,94,93.07,93.94,581401
2016-03-08T18:30,93.94,93.97,92.94,93.02,626058
2016-03-09T14:30,93.41,93.93,92.69,92.76,909253
2016-03-09T18:30,92.77,93.45,92.68,92.94,934124
2016-03-10T14:30,93.49,94.76,93.04,93.53,894705
2016-03-10T18:30,93.52,94.12,92.64,93.86,665525
2016-03-11T14:30,94.86,95.58,94.8,95.19,493683
2016-03-11T18:30,95.2,95.4,94.97,95.17,407228
2016-03-14T13:30,93.31,93.31,92.09,92.56,1176778
2016-03-14T17:30,92.55,92.82,92.16,92.16,877420
2016-03-15T13:30,92.06,93.1,91.61,92.71,786179
2016-03-15T17:30,92.71,93.23,92.71,93.09,507255
