date,open,high,low,close,volume
2016-01-04T14:30,13.51,13.73,13.43,13.72,3714163
2016-01-04T18:30,13.72,13.76,13.65,13.75,3028030
2016-01-05T14:30,13.7,13.78,13.48,13.76,2773652
2016-01-05T18:30,13.77,13.85,13.73,13.84,2272975
2016-01-06T14:30,13.71,13.88,13.64,13.85,3214474
2016-01-06T18:30,13.84,13.9,13.75,13.85,2984351
2016-01-07T14:30,13.67,13.85,13.66,13.69,2943183
2016-01-07T18:30,13.68,13.71,13.6,13.67,2236769
2016-01-08T14:30,13.71,13.75,13.49,13.71,3584554
2016-01-08T18:30,13.71,13.71,13.61,13.66,3097812
2016-01-11T14:30,13.74,13.94,13.67,13.85,4889206
2016-01-11T18:30,13.85,13.85,13.71,13.78,2942103
2016-01-12T14:30,13.85,13.85,13.55,13.62,4060032
2016-01-12T18:30,13.62,13.76,13.57,13.73,2429237
2016-01-13T14:30,13.74,13.84,13.59,13.63,3417487
2016-01-13T18:30,13.64,13.67,13.44,13.53,3744211
2016-01-14T14:30,13.53,13.65,13.36,13.58,4610979
2016-01-14T18:30,13.58,13.81,13.56,13.72,3751189
2016-01-15T14:30,13.44,13.75,13.25,13.29,5460228
2016-01-15T18:30,13.29,13.53,13.27,13.5,4364494
2016-01-19T14:30,13.58,13.73,13.53,13.6,4514670
2016-01-19T18:30,13.61,13.65,13.5,13.59,3572677
2016-01-20T14:30,13.47,13.49,12.91,12.99,5304211
2016-01-20T18:30,12.99,13.27,12.95,13.17,5021063
2016-01-21T14:30,13.21,13.53,13.06,13.39,4993402
2016-01-21T18:30,13.39,13.5,13.28,13.47,3574653
2016-01-22T14:30,13.52,13.71,13.5,13.7,3680727
2016-01-22T18:30,13.7,13.81,13.65,13.78,2849995
2016-01-25T14:30,13.76,13.81,13.37,13.44,3668803
2016-01-25T18:30,13.45,13.47,13.34,13.35,3572166
2016-01-26T14:30,13.39,13.76,13.38,13.71,3350074
2016-01-26T18:30,13.71,13.73,13.57,13.68,2966053
2016-01-27T14:30,13.75,13.97,13.58,13.94,2451896
2016-01-27T18:30,13.94,13.95,13.63,13.79,2848278
2016-01-28T14:30,13.79,14.11,13.69,14.1,3121664
2016-01-28T18:30,14.1,14.22,14.08,14.11,3339098
2016-01-29T14:30,14.25,14.58,14.23,14.49,4912106
2016-01-29T18:30,14.5,14.53,14.4,14.52,4085882
2016-02-01T14:30,14.45,14.71,14.38,14.67,3851459
2016-02-01T18:30,14.67,14.8,14.66,14.74,5051514
2016-02-02T14:30,14.6,14.77,14.45,14.73,4954427
2016-02-02T18:30,14.73,14.82,14.68,14.82,4382360
2016-02-03T14:30,14.86,15.35,14.82,15.31,7924753
2016-02-03T18:30,15.31,15.59,15.22,15.53,6105179
2016-02-04T14:30,15.56,15.93,15.54,15.83,8391969
2016-02-04T18:30,15.82,15.91,15.75,15.85,5207859
2016-02-05T14:30,15.95,16.12,15.74,16.11,5345653
2016-02-05T18:30,16.11,16.19,16.02,16.16,4586026
2016-02-08T14:30,16.1,16.28,15.78,15.92,5003081
2016-02-08T18:30,15.92,15.97,15.82,15.92,3751395
2016-02-09T14:30,15.78,15.92,15.61,15.64,4181277
2016-02-09T18:30,15.64,15.75,15.62,15.7,3905409
2016-02-10T14:30,15.39,15.51,15.16,15.45,6848964
2016-02-10T18:30,15.46,15.59,15.43,15.44,3700408
2016-02-11T14:30,15.28,15.42,14.89,15.08,5235015
2016-02-11T18:30,15.07,15.24,15.04,15.05,3583184
2016-02-12T14:30,15.04,15.2,14.88,15.02,4362590
2016-02-12T18:30,15.02,15.13,14.99,15.12,3579752
2016-02-16T14:30,15.28,15.36,15.11,15.26,4497876
2016-02-16T18:30,15.26,15.45,15.21,15.39,3533051
2016-02-17T14:30,15.49,15.52,15.26,15.46,3985985
2016-02-17T18:30,15.46,15.5,15.39,15.42,2739406
2016-02-18T14:30,15.43,15.7,15.42,15.64,3286856
2016-02-18T18:30,15.64,15.7,15.59,15.61,3374599
2016-02-19T14:30,15.54,15.56,15.36,15.47,3305245
2016-02-19T18:30,15.47,15.5,15.4,15.5,2639048
2016-02-22T14:30,15.63,15.72,15.49,15.67,3068366
2016-02-22T18:30,15.67,15.75,15.66,15.72,3242401
2016-02-23T14:30,15.42,15.69,15.39,15.48,4574950
2016-02-23T18:30,15.48,15.52,15.44,15.48,3588910
2016-02-24T14:30,15.49,15.63,15.42,15.56,4739785
2016-02-24T18:30,15.55,15.81,15.55,15.76,2553254
2016-02-25T14:30,15.75,15.86,15.66,15.77,2490051
2016-02-25T18:30,15.76,15.87,15.75,15.87,2559261
2016-02-26T14:30,15.8,15.95,15.46,15.83,9528497
2016-02-26T18:30,15.83,15.88,15.74,15.74,2893381
2016-02-29T14:30,15.75,15.95,15.61,15.79,4517275
2016-02-29T18:30,15.79,15.85,15.62,15.62,2845977
2016-03-01T14:30,15.78,15.86,15.49,15.7,5019846
2016-03-01T18:30,15.7,15.84,15.52,15.76,4512403
2016-03-02T14:30,15.69,15.94,15.32,15.93,3548126
2016-03-02T18:30,15.93,16.06,15.91,16.04,3491252
2016-03-03T14:30,16.08,16.31,15.89,16.14,3928246
2016-03-03T18:30,16.14,16.43,16.11,16.41,4431964
2016-03-04T14:30,16.31,16.69,16.24,16.61,4025207
2016-03-04T18:30,16.61,16.67,16.55,16.56,3403810
2016-03-07T14:30,16.62,16.85,16.53,16.83,2755554
2016-03-07T18:30,16.81,16.9,16.75,16.83,3591818
2016-03-08T14:30,16.82,17.01,16.57,16.99,4441843
2016-03-08T18:30,16.99,17.03,16.92,16.99,3639956
2016-03-09T14:30,16.91,17.05,16.85,16.97,3527595
2016-03-09T18:30,16.97,17.03,16.95,16.96,2750544
2016-03-10T14:30,17,17.18,16.93,17.18,3712910
2016-03-10T18:30,17.17,17.3,17.17,17.25,3651303
2016-03-11T14:30,17.34,17.36,17.14,17.16,2706193
2016-03-11T18:30,17.16,17.24,17.09,17.23,2472572
2016-03-14T13:30,17.21,17.31,17.12,17.2,2484427
2016-03-14T17:30,17.2,17.24,17.19,17.19,1919496
2016-03-15T13:30,17.17,17.25,17.01,17.12,2550677
2016-03-15T17:30,17.12,17.18,17.05,17.12,2104409
2016-03-16T13:30,17.07,17.07,16.89,16.97,2172061
2016-03-16T17:30,16.98,17.29,16.95,17.26,2639068
2016-03-17T13:30,17.3,17.37,17.15,17.33,2194874
2016-03-17T17:30,17.33,17.37,17.29,17.32,2408394
2016-03-18T13:30,17.36,17.43,17.23,17.25,5700385
2016-03-18T17:30,17.25,17.3,17.2,17.28,2747386
2016-03-21T13:30,17.25,17.41,17.21,17.39,2230942
2016-03-21T17:30,17.39,17.41,17.29,17.3,1801553
2016-03-22T13:30,17.32,17.43,17.19,17.42,1365285
2016-03-22T17:30,17.42,17.47,17.34,17.37,1914854
2016-03-23T13:30,17.36,17.51,17.29,17.47,2964898
2016-03-23T17:30,17.47,17.62,17.12,17.24,8125165
2016-03-24T13:30,17.23,17.45,17.05,17.43,3266144
2016-03-24T17:30,17.43,17.55,17.42,17.53,2404810
2016-03-28T13:30,17.5,17.61,17.34,17.4,1767321
2016-03-28T17:30,17.4,17.5,17.36,17.46,1990402
2016-03-29T13:30,17.49,17.59,17.3,17.59,3508024
2016-03-29T17:30,17.59,17.75,17.56,17.72,2511829
2016-03-30T13:30,17.74,17.75,17.57,17.63,2148432
2016-03-30T17:30,17.63,17.65,17.57,17.59,1679956
2016-03-31T13:30,17.64,17.74,17.64,17.7,2393750
2016-03-31T17:30,17.71,17.84,17.7,17.8,3794819
2016-04-01T13:30,17.74,17.84,17.54,17.63,2749898
2016-04-01T17:30,17.63,17.73,17.61,17.69,3021483
2016-04-04T13:30,17.71,17.75,17.62,17.65,2608337
2016-04-04T17:30,17.65,17.66,17.57,17.62,1575342
2016-04-05T13:30,17.53,17.54,17.19,17.19,2946159
2016-04-05T17:30,17.2,17.27,17.15,17.16,2306054
2016-04-06T13:30,17.05,17.18,16.92,17.04,4272588
2016-04-06T17:30,17.04,17.06,16.96,17.03,3310432
2016-04-07T13:30,17.03,17.17,16.99,17.05,2241730
2016-04-07T17:30,17.05,17.06,17.01,17.04,1915787
2016-04-08T13:30,17.16,17.39,17.16,17.31,2299504
2016-04-08T17:30,17.32,17.35,17.2,17.22,2297460
2016-04-11T13:30,17.23,17.4,17.17,17.26,1714572
2016-04-11T17:30,17.26,17.27,17.12,17.13,1527384
2016-04-12T13:30,17.13,17.43,17.08,17.35,4157143
2016-04-12T17:30,17.35,17.43,17.33,17.4,1694609
2016-04-13T13:30,17.42,17.42,17.18,17.3,1642504
2016-04-13T17:30,17.3,17.32,17.21,17.26,1502477
2016-04-14T13:30,17.25,17.43,17.23,17.39,2231771
2016-04-14T17:30,17.39,17.39,17.33,17.33,1320687
2016-04-15T13:30,17.29,17.34,17.16,17.19,4801516
2016-04-15T17:30,17.19,17.23,17.05,17.06,4089526
2016-04-18T13:30,16.95,17.14,16.81,17.1,2584960
2016-04-18T17:30,17.1,17.1,17.04,17.09,2124089
2016-04-19T13:30,17.15,17.36,17.08,17.27,2976803
2016-04-19T17:30,17.27,17.28,17.21,17.27,2165346
2016-04-20T13:30,17.27,17.32,17.1,17.11,1970647
2016-04-20T17:30,17.11,17.13,16.75,16.78,2399329
2016-04-21T13:30,16.75,16.79,16.51,16.53,3119897
2016-04-21T17:30,16.53,16.62,16.47,16.56,2341647
2016-04-22T13:30,16.66,16.91,16.64,16.83,2142129
2016-04-22T17:30,16.84,16.95,16.82,16.92,2240612
2016-04-25T13:30,16.82,16.99,16.75,16.97,2096607
2016-04-25T17:30,16.97,16.97,16.9,16.95,1582175
2016-04-26T13:30,17.03,17.24,16.99,17.2,3921091
2016-04-26T17:30,17.2,17.2,17.11,17.17,1393501
2016-04-27T13:30,17.21,17.48,17.21,17.45,2216274
2016-04-27T17:30,17.45,17.67,17.32,17.55,2529807
2016-04-28T13:30,17.39,17.63,17.32,17.47,2506846
2016-04-28T17:30,17.47,17.51,17.37,17.44,1410114
2016-04-29T13:30,17.32,17.46,17.17,17.25,2323959
2016-04-29T17:30,17.25,17.42,17.17,17.41,2258682
2016-05-02T13:30,17.5,17.55,17.28,17.55,1946033
2016-05-02T17:30,17.55,17.56,17.4,17.42,1451992
2016-05-03T13:30,17.38,17.46,17.15,17.2,2874446
2016-05-03T17:30,17.2,17.29,17.2,17.26,3016366
2016-05-04T13:30,17.25,17.62,17.25,17.56,3108828
2016-05-04T17:30,17.56,17.6,17.47,17.48,2015127
2016-05-05T13:30,17.46,17.77,17.44,17.56,3363864
2016-05-05T17:30,17.56,17.68,17.53,17.55,2690615
2016-05-06T13:30,17.44,17.84,17.44,17.69,3418167
2016-05-06T17:30,17.69,17.75,17.62,17.7,1986717
2016-05-09T13:30,17.71,17.76,17.5,17.54,2652258
2016-05-09T17:30,17.54,17.58,17.47,17.49,2008049
2016-05-10T13:30,17.53,17.57,17.42,17.42,2568811
2016-05-10T17:30,17.42,17.53,17.39,17.46,2292961
2016-05-11T13:30,17.48,17.69,17.42,17.65,1920657
2016-05-11T17:30,17.65,17.73,17.62,17.7,1585573
2016-05-12T13:30,17.69,17.81,17.51,17.8,2635844
2016-05-12T17:30,17.8,17.82,17.72,17.76,1931986
2016-05-13T13:30,17.71,17.72,17.48,17.49,1466421
2016-05-13T17:30,17.49,17.5,17.42,17.5,1482707
2016-05-16T13:30,17.45,17.54,17.29,17.36,2156550
2016-05-16T17:30,17.36,17.42,17.32,17.39,1807742
2016-05-17T13:30,17.39,17.44,17.21,17.23,1887274
2016-05-17T17:30,17.23,17.24,17.1,17.19,1908501
2016-05-18T13:30,17.13,17.19,17.02,17.18,2155989
2016-05-18T17:30,17.18,17.18,16.86,16.94,3406157
2016-05-19T13:30,16.82,17.13,16.8,17.05,2196922
2016-05-19T17:30,17.05,17.16,17.05,17.11,1764633
2016-05-20T13:30,17.17,17.18,17.02,17.12,2192995
2016-05-20T17:30,17.12,17.18,17.08,17.17,1379106
2016-05-23T13:30,17.19,17.22,17.01,17.04,1725755
2016-05-23T17:30,17.04,17.06,16.88,16.89,1998578
2016-05-24T13:30,16.88,17.01,16.88,16.92,2330870
2016-05-24T17:30,16.92,17.02,16.91,17.01,2522739
2016-05-25T13:30,16.83,17,16.66,16.99,4926458
2016-05-25T17:30,16.99,17.04,16.95,16.97,1915111
2016-05-26T13:30,16.98,17.16,16.94,17.12,1747361
2016-05-26T17:30,17.12,17.18,17.09,17.11,1555958
2016-05-27T13:30,17.13,17.21,17.06,17.19,1342608
2016-05-27T17:30,17.18,17.19,17.1,17.18,1028496
2016-05-31T13:30,17.2,17.23,17.09,17.1,1685067
2016-05-31T17:30,17.1,17.18,17.01,17.16,2557532
2016-06-01T13:30,17.17,17.27,17.12,17.18,1827532
2016-06-01T17:30,17.18,17.27,17.15,17.25,1984931
2016-06-02T13:30,17.18,17.34,17.12,17.24,1813921
2016-06-02T17:30,17.24,17.39,17.22,17.39,2142111
2016-06-03T13:30,17.46,17.68,17.46,17.54,2300858
2016-06-03T17:30,17.54,17.65,17.48,17.51,1942698
2016-06-06T13:30,17.55,17.65,17.44,17.51,1763370
2016-06-06T17:30,17.52,17.6,17.49,17.53,1178075
2016-06-07T13:30,17.57,17.58,17.45,17.48,1419228
2016-06-07T17:30,17.48,17.49,17.33,17.38,1128386
2016-06-08T13:30,17.41,17.53,17.37,17.48,1058587
2016-06-08T17:30,17.48,17.56,17.47,17.55,1288235
2016-06-09T13:30,17.55,17.6,17.33,17.52,2481900
2016-06-09T17:30,17.53,17.63,17.5,17.6,1459408
2016-06-10T13:30,17.52,17.63,17.21,17.22,3517989
2016-06-10T17:30,17.22,17.37,17.19,17.33,2269551
2016-06-13T13:30,17.36,17.45,17.31,17.35,1876044
