date,open,high,low,close,volume
2016-01-04T14:30,114.54,115.23,112.46,113.43,1750771
2016-01-04T18:30,113.45,114.15,112.62,114.1,1076029
2016-01-05T14:30,114.53,115.36,111.82,112.01,2085805
2016-01-05T18:30,112.01,113.35,112.01,113.28,1398518
2016-01-06T14:30,111.04,113.5,110.05,112.47,1053292
2016-01-06T18:30,112.4,112.88,111.81,112.44,795700
2016-01-07T14:30,110.52,111.25,108.64,108.67,1050195
2016-01-07T18:30,108.63,109.23,107.68,108.43,841694
2016-01-08T14:30,109.62,110.04,105.94,106.43,1307080
2016-01-08T18:30,106.41,107,105.08,105.22,1045712
2016-01-11T14:30,105.89,106.53,104.23,104.32,1069219
2016-01-11T18:30,104.29,105.52,103.19,105.03,1051688
2016-01-12T14:30,105.84,106.85,105.32,105.4,1068773
2016-01-12T18:30,105.44,106.13,104.04,105.69,732146
2016-01-13T14:30,106.2,106.65,100.67,100.83,1507930
2016-01-13T18:30,100.85,102.67,99.49,100.46,1997490
2016-01-14T14:30,100.82,101.7,97.17,100.67,1344899
2016-01-14T18:30,100.68,103.42,100.18,101.75,1269362
2016-01-15T14:30,97.9,98.25,94.04,97.41,3045084
2016-01-15T18:30,97.43,97.43,95.57,97.06,1527990
2016-01-19T14:30,99,100.85,98.37,99.55,1730344
2016-01-19T18:30,99.56,99.93,98.31,99.48,1462416
2016-01-20T14:30,97.98,98.01,94.52,96.85,1416751
2016-01-20T18:30,96.83,101.9,96.82,100.39,1535700
2016-01-21T14:30,100.49,101.65,99.36,100.13,1161609
2016-01-21T18:30,100.16,101.07,99.43,100.5,927525
2016-01-22T14:30,102.45,103.18,100.72,100.78,915114
2016-01-22T18:30,100.75,101.43,100.16,101.18,653408
2016-01-25T14:30,100.95,101.88,99.62,100.77,1255743
2016-01-25T18:30,100.83,101.02,99.16,99.36,536340
2016-01-26T14:30,98.86,100.06,96.68,99.83,1079742
2016-01-26T18:30,99.83,99.83,98.32,99.12,562737
2016-01-27T14:30,97.2,98.23,95.74,95.85,1495194
2016-01-27T18:30,95.85,96.66,93.51,94.02,1700752
2016-01-28T14:30,95.67,95.86,91.83,92.85,1448317
2016-01-28T18:30,92.91,93.48,92.53,93.2,993490
2016-01-29T14:30,93.72,94.89,92.69,93.8,853140
2016-01-29T18:30,93.81,95.65,93.69,95.4,927366
2016-02-01T14:30,94.61,95.81,93.24,95.06,1260979
2016-02-01T18:30,95.01,97.22,94.7,96.47,1314589
2016-02-02T14:30,95.81,96.15,91.95,93.11,1436166
2016-02-02T18:30,93.15,93.41,92.2,93.23,1287708
2016-02-03T14:30,93.37,93.58,87.29,89.81,2063700
2016-02-03T18:30,89.75,91.77,89.23,90.95,1097709
2016-02-04T14:30,90.66,93.48,89.26,93.23,1110592
2016-02-04T18:30,93.28,94.65,92.52,94.36,1135210
2016-02-05T14:30,93.8,93.8,87.73,87.87,3216906
2016-02-05T18:30,87.83,89.03,86.81,88.35,2235121
2016-02-08T14:30,86.3,86.3,83.5,84.73,2913411
2016-02-08T18:30,84.7,87.15,84.1,86.45,1839789
2016-02-09T14:30,85.25,87.9,84.29,85.42,2428762
2016-02-09T18:30,85.34,89.17,84.95,87.54,1802804
2016-02-10T14:30,88.18,91.16,87.86,89.25,1968417
2016-02-10T18:30,89.27,91.11,88.6,89.14,2629320
2016-02-11T14:30,94.55,99.13,91.51,96.99,7910518
2016-02-11T18:30,96.91,98.15,94.77,97.65,2736208
2016-02-12T14:30,98.9,100.32,94.65,94.9,2701666
2016-02-12T18:30,94.94,97.37,93.86,96.58,2061001
2016-02-16T14:30,97.62,98.71,95.53,97.12,1813562
2016-02-16T18:30,97.11,99.6,97.06,99.59,1670376
2016-02-17T14:30,101.97,106.37,101.73,104.57,3109983
2016-02-17T18:30,104.6,105.01,103.9,104.72,1406776
2016-02-18T14:30,103.89,105.35,101.57,102.51,2086606
2016-02-18T18:30,102.54,102.62,101.33,101.51,1191901
2016-02-19T14:30,101,102.61,99.12,102.03,1175871
2016-02-19T18:30,102.04,102.73,101.58,102.64,743517
2016-02-22T14:30,100.72,102.24,99.76,101.42,1367170
2016-02-22T18:30,101.39,101.82,100.69,101.03,809394
2016-02-23T14:30,100.69,101.67,97.55,99.42,1488447
2016-02-23T18:30,99.42,99.54,98.25,98.37,808176
2016-02-24T14:30,97.44,98.16,94.9,98.04,1875937
2016-02-24T18:30,98.07,99.52,97.74,98.64,883976
2016-02-25T14:30,99.18,99.36,97.01,98.16,1177353
2016-02-25T18:30,98.21,99.42,98.17,99.3,738798
2016-02-26T14:30,100.01,101.21,98.6,99.41,840330
2016-02-26T18:30,99.49,99.86,99.02,99.63,561877
2016-02-29T14:30,98.41,100.31,98.24,99.27,748626
2016-02-29T18:30,99.22,99.74,98.34,98.37,672692
2016-03-01T14:30,99.2,101.62,97.15,101.54,1304983
2016-03-01T18:30,101.55,102.84,101.45,102.18,821232
2016-03-02T14:30,101.85,102.19,99.98,100.92,1015284
2016-03-02T18:30,100.92,101.05,99.8,100.77,605314
2016-03-03T14:30,100.53,103.02,99.4,102.57,1452900
2016-03-03T18:30,102.57,103.16,102.28,102.48,748419
2016-03-04T14:30,102.83,102.94,101.2,102.3,928865
2016-03-04T18:30,102.32,103.04,101.65,102.48,725281
2016-03-07T14:30,101.57,101.89,99.46,100.8,1194802
2016-03-07T18:30,100.74,101,98.98,99.55,1071798
2016-03-08T14:30,99.35,100.69,97.84,100.26,1348492
2016-03-08T18:30,100.26,100.53,99.03,99.27,838734
2016-03-09T14:30,99.53,99.6,97.97,99.13,922142
2016-03-09T18:30,99.11,100.57,99.03,100.06,909952
2016-03-10T14:30,102.8,105.51,101.47,102.66,2630501
2016-03-10T18:30,102.62,103.88,102.31,103.54,1040260
2016-03-11T14:30,104.66,107.88,104.36,107.2,1859447
2016-03-11T18:30,107.2,108.88,107.03,108.8,1779083
2016-03-14T13:30,107.49,112.32,107.37,110.66,2360098
2016-03-14T17:30,110.64,110.83,109.56,110.19,1344629
2016-03-15T13:30,109.4,111.35,108.74,110.07,1308545
2016-03-15T17:30,110.09,110.46,109.46,110.07,841059
2016-03-16T13:30,110.01,110.7,105.27,105.79,2248812
2016-03-16T17:30,105.78,108.79,105.51,108.21,1724355
2016-03-17T13:30,108.49,108.96,105.69,106.03,1493997
2016-03-17T17:30,106.03,106.27,105.32,105.55,1162754
2016-03-18T13:30,105.94,105.94,103.93,104,2120821
2016-03-18T17:30,103.98,104.5,103.19,104.32,1450500
2016-03-21T13:30,104.27,104.66,102.64,103.67,1275993
2016-03-21T17:30,103.64,105.58,103.63,104.94,911480
2016-03-22T13:30,102.33,103.77,102.1,103.29,1680106
2016-03-22T17:30,103.27,103.5,102.51,103.11,842678
2016-03-23T13:30,103.51,103.87,102.6,103.66,858564
2016-03-23T17:30,103.73,103.77,102.86,103.18,713581
2016-03-24T13:30,102.38,102.6,100.82,101.53,996080
2016-03-24T17:30,101.5,102.35,101.42,101.95,552495
2016-03-28T13:30,102.27,102.27,99.84,99.88,1346729
2016-03-28T17:30,99.88,101.14,99.73,100.91,929166
2016-03-29T13:30,100.78,101.66,99.37,101.52,1309990
2016-03-29T17:30,101.54,102.21,101.21,101.54,994039
2016-03-30T13:30,102.47,103.37,101.78,102.15,906879
2016-03-30T17:30,102.2,102.44,101.93,102.05,415111
2016-03-31T13:30,102.21,102.5,100.98,101.42,1205183
2016-03-31T17:30,101.43,102.5,101.23,102.05,1205496
2016-04-01T13:30,101.1,102.99,100.41,102.52,1450500
2016-04-01T17:30,102.53,102.72,102.13,102.43,946838
2016-04-04T13:30,102.55,102.84,98.22,99.74,2365149
2016-04-04T17:30,99.75,100.05,99.37,99.55,1023856
2016-04-05T13:30,99.04,99.16,96.96,98.46,2333960
2016-04-05T17:30,98.51,99.38,98.24,98.5,1373086
