date,open,high,low,close,volume
2016-01-04T14:30,8.104,8.116,8.034,8.092,18621909
2016-01-04T18:30,8.092,8.18,8.081,8.168,11595313
2016-01-05T14:30,8.162,8.18,7.894,7.926,28988244
2016-01-05T18:30,7.923,8.034,7.923,8.011,15185110
2016-01-06T14:30,7.923,7.923,7.713,7.728,31661941
2016-01-06T18:30,7.73,7.736,7.625,7.66,24492097
2016-01-07T14:30,7.537,7.619,7.397,7.406,32216163
2016-01-07T18:30,7.403,7.45,7.362,7.415,22691610
2016-01-08T14:30,7.625,7.654,7.409,7.43,27419058
2016-01-08T18:30,7.429,7.45,7.304,7.327,15481521
2016-01-11T14:30,7.479,7.49,7.368,7.368,19478438
2016-01-11T18:30,7.368,7.479,7.333,7.455,15912720
2016-01-12T14:30,7.607,7.619,7.35,7.376,27904701
2016-01-12T18:30,7.374,7.537,7.374,7.508,16000123
2016-01-13T14:30,7.42,7.502,7.117,7.143,66388490
2016-01-13T18:30,7.143,7.157,7.046,7.128,30964123
2016-01-14T14:30,7.122,7.175,6.906,7.121,40487570
2016-01-14T18:30,7.12,7.193,7.087,7.128,17081734
2016-01-15T14:30,6.9,7.011,6.766,6.895,42501581
2016-01-15T18:30,6.895,7,6.883,6.994,22906335
2016-01-19T14:30,7.099,7.105,6.941,7.008,24505496
2016-01-19T18:30,7.008,7.029,6.906,6.988,13351414
2016-01-20T14:30,6.889,6.965,6.702,6.786,32676059
2016-01-20T18:30,6.784,7.052,6.778,6.948,23553179
2016-01-21T14:30,7.017,7.175,6.93,7.041,26540990
2016-01-21T18:30,7.041,7.087,6.97,7.011,20951651
2016-01-22T14:30,7.163,7.222,7.029,7.049,26778937
2016-01-22T18:30,7.046,7.099,7.041,7.096,12855649
2016-01-25T14:30,7.187,7.198,6.97,7.076,24946259
2016-01-25T18:30,7.072,7.084,6.994,7.006,12876258
2016-01-26T14:30,7.093,7.184,7.035,7.166,26571951
2016-01-26T18:30,7.166,7.175,7.105,7.163,18174972
2016-01-27T14:30,7.128,7.157,7.01,7.11,22180116
2016-01-27T18:30,7.107,7.143,6.939,7.01,18348038
2016-01-28T14:30,7.116,7.134,6.625,6.894,55822486
2016-01-28T18:30,6.892,6.986,6.862,6.933,17966500
2016-01-29T14:30,6.998,7.01,6.891,6.941,24510023
2016-01-29T18:30,6.944,7.063,6.921,7.039,20678330
2016-02-01T14:30,7.051,7.14,6.939,7.092,19984027
2016-02-01T18:30,7.089,7.181,7.075,7.14,15358569
