date,open,high,low,close,volume
2016-01-04T14:30,13.53,13.66,13.42,13.49,5583168
2016-01-04T18:30,13.49,13.58,13.42,13.57,3601674
2016-01-05T14:30,13.58,13.69,13.46,13.51,4605939
2016-01-05T18:30,13.51,13.63,13.51,13.6,2810498
2016-01-06T14:30,13.33,13.47,13.26,13.44,3773062
2016-01-06T18:30,13.44,13.47,13.36,13.41,3335643
2016-01-07T14:30,13.14,13.24,12.99,13.02,4147146
2016-01-07T18:30,13.02,13.08,12.97,12.99,4365051
2016-01-08T14:30,13.03,13.15,12.84,12.92,4049061
2016-01-08T18:30,12.92,12.98,12.74,12.76,2940012
2016-01-11T14:30,12.81,12.92,12.55,12.55,5002911
2016-01-11T18:30,12.55,12.67,12.51,12.62,4941100
2016-01-12T14:30,12.76,12.78,12.47,12.47,4246667
2016-01-12T18:30,12.47,12.71,12.45,12.68,3599361
2016-01-13T14:30,12.79,12.81,12.2,12.21,6848777
2016-01-13T18:30,12.21,12.24,12.03,12.03,10878497
2016-01-14T14:30,12.14,12.36,11.86,12.29,9494071
2016-01-14T18:30,12.3,12.37,12.22,12.25,5274075
2016-01-15T14:30,11.83,11.96,11.63,11.74,6246647
2016-01-15T18:30,11.74,11.92,11.74,11.88,3473468
2016-01-19T14:30,12.11,12.11,11.72,11.77,4855946
2016-01-19T18:30,11.76,11.82,11.61,11.71,4003945
2016-01-20T14:30,11.47,11.52,11.07,11.2,11625799
2016-01-20T18:30,11.19,11.6,11.18,11.47,6536850
2016-01-21T14:30,11.63,11.97,11.08,11.22,11263195
2016-01-21T18:30,11.22,11.24,10.91,10.93,9364927
2016-01-22T14:30,11.17,11.23,10.87,11.04,11957921
2016-01-22T18:30,11.05,11.13,11,11.06,7349344
2016-01-25T14:30,10.95,11.02,10.39,10.52,12520507
2016-01-25T18:30,10.51,10.55,10.34,10.42,11448168
2016-01-26T14:30,10.51,10.69,10.45,10.61,9137411
2016-01-26T18:30,10.61,10.64,10.52,10.57,5722826
2016-01-27T14:30,10.52,11.02,10.49,10.9,6313560
2016-01-27T18:30,10.9,10.94,10.63,10.7,4828574
