date,open,high,low,close,volume
2016-01-04T14:30,23.15,23.2,22.8,23.05,5863120
2016-01-04T18:30,23.05,23.09,22.89,23.05,5134066
2016-01-05T14:30,22.96,23.19,22.93,23.06,5785053
2016-01-05T18:30,23.06,23.15,23.02,23.05,3793064
2016-01-06T14:30,22.97,23.43,22.69,23.2,8711997
2016-01-06T18:30,23.2,23.29,23.08,23.17,5684506
2016-01-07T14:30,22.72,23.01,22.6,22.67,10133998
2016-01-07T18:30,22.67,22.71,22.44,22.45,4979622
2016-01-08T14:30,22.6,22.84,22.4,22.68,6867170
2016-01-08T18:30,22.67,22.7,22.4,22.46,4177964
2016-01-11T14:30,22.6,22.68,22.32,22.33,4778799
2016-01-11T18:30,22.33,22.53,22.21,22.44,4215217
2016-01-12T14:30,22.57,22.95,22.43,22.82,5531793
2016-01-12T18:30,22.82,23.03,22.74,22.91,5201412
2016-01-13T14:30,22.85,23.09,22.67,22.68,5970404
2016-01-13T18:30,22.68,22.71,22.34,22.44,5808882
2016-01-14T14:30,22.57,23.48,22.43,23.41,8354331
2016-01-14T18:30,23.41,23.43,22.99,23.02,6912637
2016-01-15T14:30,22.34,22.86,22.3,22.55,8550289
2016-01-15T18:30,22.55,22.83,22.53,22.63,5582314
2016-01-19T14:30,23.04,23.21,22.81,22.93,6954144
2016-01-19T18:30,22.93,23,22.63,22.86,5303898
2016-01-20T14:30,22.51,22.68,21.63,22,11034481
2016-01-20T18:30,22,22.41,21.93,22.24,10091541
2016-01-21T14:30,22.31,22.51,22.03,22.24,13671347
2016-01-21T18:30,22.25,22.34,22.02,22.13,6339472
2016-01-22T14:30,22.55,22.78,22.51,22.65,7977879
2016-01-22T18:30,22.66,22.95,22.63,22.87,7896156
2016-01-25T14:30,22.72,22.8,22.54,22.74,5825353
2016-01-25T18:30,22.75,22.77,22.52,22.54,5723864
2016-01-26T14:30,22.61,23.32,22.61,23.31,5030933
2016-01-26T18:30,23.32,23.36,23.08,23.32,3895687
2016-01-27T14:30,23.31,23.68,23.13,23.44,4093072
2016-01-27T18:30,23.45,23.51,22.96,23.06,5383032
2016-01-28T14:30,23.23,23.34,22.55,22.61,6123585
2016-01-28T18:30,22.62,22.79,22.52,22.66,7140574
2016-01-29T14:30,22.93,23.31,22.83,23.19,5396595
2016-01-29T18:30,23.2,23.46,23.17,23.35,6117593
2016-02-01T14:30,23.27,23.4,23.11,23.35,4110853
2016-02-01T18:30,23.35,23.53,23.29,23.39,4135311
2016-02-02T14:30,23.06,23.11,22.68,22.8,4783474
2016-02-02T18:30,22.8,22.81,22.51,22.54,4957439
2016-02-03T14:30,22.77,22.93,22.43,22.79,9350400
2016-02-03T18:30,22.78,23.07,22.67,22.98,6048451
2016-02-04T14:30,23.09,23.42,22.6,22.73,8794607
2016-02-04T18:30,22.73,22.8,22.5,22.61,7174933
2016-02-05T14:30,22.57,22.86,21.68,22.12,8197280
2016-02-05T18:30,22.11,22.11,21.68,21.73,7970809
2016-02-08T14:30,21.47,21.51,20.98,21.03,8465843
2016-02-08T18:30,21.03,21.46,20.9,21.32,8378451
2016-02-09T14:30,19.84,21.44,19.65,20.64,23244579
2016-02-09T18:30,20.64,21.17,20.61,20.92,7320910
2016-02-10T14:30,20.72,21.76,20.27,21.64,15141184
2016-02-10T18:30,21.63,21.77,21.09,21.1,9526672
2016-02-11T14:30,20.68,21.33,20.68,21.2,8912481
2016-02-11T18:30,21.2,21.61,21.14,21.41,9289464
2016-02-12T14:30,21.7,21.8,20.99,21.2,6825046
2016-02-12T18:30,21.21,21.32,21.1,21.29,5498232
2016-02-16T14:30,21.62,22.09,21.39,22.04,5035407
2016-02-16T18:30,22.04,22.21,22.01,22.21,4133228
2016-02-17T14:30,22.54,23.19,22.3,23.14,9768810
2016-02-17T18:30,23.14,23.15,22.86,22.94,4659082
2016-02-18T14:30,22.88,23.02,22.5,22.82,6563550
2016-02-18T18:30,22.81,22.98,22.77,22.89,3988950
2016-02-19T14:30,22.67,23.22,22.6,23.08,7218888
2016-02-19T18:30,23.08,23.13,23.02,23.08,3120207
2016-02-22T14:30,23.26,23.95,23.26,23.64,5357045
2016-02-22T18:30,23.65,23.74,23.52,23.71,4448317
2016-02-23T14:30,23.54,23.78,23.45,23.57,5347614
2016-02-23T18:30,23.57,23.58,23.35,23.37,4942803
2016-02-24T14:30,23.16,23.48,22.93,23.41,5705384
2016-02-24T18:30,23.42,23.74,23.4,23.69,2688073
2016-02-25T14:30,23.83,23.83,23.29,23.49,4627866
2016-02-25T18:30,23.5,23.75,23.48,23.74,3179546
2016-02-26T14:30,23.84,23.94,23.6,23.65,4133309
2016-02-26T18:30,23.65,23.69,23.47,23.48,3939223
2016-02-29T14:30,23.52,23.6,23.39,23.52,4520014
2016-02-29T18:30,23.52,23.52,23.31,23.42,4054684
2016-03-01T14:30,23.58,23.89,23.52,23.88,3853071
2016-03-01T18:30,23.88,24.2,23.88,24.1,5315324
2016-03-02T14:30,24.22,24.22,23.82,23.91,4236633
2016-03-02T18:30,23.92,23.95,23.78,23.92,2974019
2016-03-03T14:30,23.85,24.14,23.83,23.97,4046174
2016-03-03T18:30,23.97,24.16,23.97,24.14,3017021
2016-03-04T14:30,24.16,24.22,23.73,24.07,4409127
2016-03-04T18:30,24.07,24.16,23.91,24.1,3684770
2016-03-07T14:30,23.94,24.54,23.94,24.37,4843766
2016-03-07T18:30,24.37,24.49,24.28,24.32,3781630
2016-03-08T14:30,24.23,24.46,23.87,24.12,5399110
2016-03-08T18:30,24.11,24.17,23.88,23.93,4412979
2016-03-09T14:30,24.08,24.23,23.9,24.06,4501407
2016-03-09T18:30,24.05,24.21,24.05,24.15,2976680
2016-03-10T14:30,24.17,24.27,23.71,23.87,4648184
2016-03-10T18:30,23.85,24.07,23.84,23.94,3958334
2016-03-11T14:30,24.06,24.36,23.83,24.29,5771697
2016-03-11T18:30,24.29,24.37,24.23,24.34,2171971
2016-03-14T13:30,24.21,24.31,24.08,24.27,2421511
2016-03-14T17:30,24.26,24.35,24.21,24.25,1841716
2016-03-15T13:30,24.09,24.41,24.01,24.15,2964536
2016-03-15T17:30,24.15,24.26,24.15,24.26,2471916
2016-03-16T13:30,23.9,24.6,23.9,24.27,3512227
2016-03-16T17:30,24.26,24.63,24.21,24.52,6425518
2016-03-17T13:30,24.22,24.76,24.22,24.75,4886309
2016-03-17T17:30,24.74,24.88,24.55,24.57,3928892
2016-03-18T13:30,24.63,24.76,24.32,24.58,7605315
2016-03-18T17:30,24.58,24.65,24.52,24.6,5025596
2016-03-21T13:30,24.65,24.85,24.38,24.44,2354649
2016-03-21T17:30,24.44,24.47,24.36,24.38,2973840
2016-03-22T13:30,24.3,24.51,24.22,24.5,4395663
2016-03-22T17:30,24.5,24.54,24.35,24.38,2078571
2016-03-23T13:30,24.39,24.46,24.17,24.31,3621071
2016-03-23T17:30,24.31,24.34,24.21,24.23,2094800
2016-03-24T13:30,24.17,24.27,24.02,24.15,3029900
2016-03-24T17:30,24.16,24.24,24.12,24.18,2215414
2016-03-28T13:30,24.35,24.49,24.21,24.4,2808738
2016-03-28T17:30,24.4,24.5,24.3,24.31,2743432
2016-03-29T13:30,24.2,24.25,24.01,24.17,4892947
2016-03-29T17:30,24.17,24.36,24.17,24.26,3213235
2016-03-30T13:30,24.38,24.48,24.24,24.29,3216916
2016-03-30T17:30,24.29,24.41,24.24,24.33,2287663
2016-03-31T13:30,24.39,24.44,24.27,24.35,3904592
2016-03-31T17:30,24.35,24.38,24.24,24.31,3715529
2016-04-01T13:30,24.28,25.04,24.12,25,7381085
2016-04-01T17:30,25,25.01,24.88,24.92,3943713
2016-04-04T13:30,24.91,25.18,24.8,24.95,3166740
2016-04-04T17:30,24.95,25.03,24.89,24.92,2932518
2016-04-05T13:30,24.73,24.96,24.61,24.72,3599812
2016-04-05T17:30,24.72,24.81,24.66,24.72,2310374
2016-04-06T13:30,24.71,25.11,24.71,25.01,3358770
2016-04-06T17:30,25,25.21,24.99,25.18,3521121
2016-04-07T13:30,24.59,25.12,24.59,24.99,4206972
2016-04-07T17:30,24.99,24.99,24.73,24.89,5941555
2016-04-08T13:30,25.19,25.34,24.99,25,5713809
2016-04-08T17:30,25,25.08,24.88,24.92,3136958
2016-04-11T13:30,25.06,25.25,24.92,25.06,3339718
2016-04-11T17:30,25.06,25.12,24.85,24.87,2464256
2016-04-12T13:30,24.97,25.6,24.97,25.54,7502208
2016-04-12T17:30,25.54,25.7,25.48,25.54,4901555
2016-04-13T13:30,25.72,26.17,25.7,25.92,6875724
2016-04-13T17:30,25.92,26.08,25.89,25.98,4149142
2016-04-14T13:30,26.13,26.15,25.84,26.04,3787869
2016-04-14T17:30,26.03,26.08,25.91,26.02,4533208
2016-04-15T13:30,25.98,26.26,25.88,26.12,6374328
2016-04-15T17:30,26.12,26.21,26.04,26.15,4870338
2016-04-18T13:30,26.09,26.68,26.01,26.54,6451983
2016-04-18T17:30,26.54,26.56,26.46,26.49,4465501
2016-04-19T13:30,26.56,26.89,26.4,26.45,5059787
2016-04-19T17:30,26.45,26.57,26.39,26.42,3517489
2016-04-20T13:30,26.14,26.52,25.97,26.36,5479329
2016-04-20T17:30,26.36,26.38,26.21,26.23,5131375
2016-04-21T13:30,26.16,26.69,26.16,26.52,4228370
2016-04-21T17:30,26.51,26.55,26.37,26.44,3067463
2016-04-22T13:30,26.49,26.93,26.49,26.77,4041407
2016-04-22T17:30,26.77,26.97,26.75,26.97,2726074
2016-04-25T13:30,26.94,27.09,26.83,27.04,4510879
2016-04-25T17:30,27.04,27.14,27.01,27.08,2671807
2016-04-26T13:30,27.13,27.24,26.82,26.96,3475294
