date,open,high,low,close,volume
2016-01-04T14:30,60.03,60.15,58.55,58.94,1217589
2016-01-04T18:30,58.92,59.1,58.5,59.1,1309676
2016-01-05T14:30,59.52,60.03,59.26,59.56,1121240
2016-01-05T18:30,59.56,60.11,59.55,59.99,1046344
2016-01-06T14:30,59.37,60.44,58.84,60.18,1016707
2016-01-06T18:30,60.2,60.49,59.69,60.19,1626215
2016-01-07T14:30,59.04,59.79,58.01,58.19,1164801
2016-01-07T18:30,58.18,58.32,57.64,57.9,1062279
2016-01-08T14:30,58.4,59.08,57.58,57.92,939826
2016-01-08T18:30,57.92,58.19,56.66,56.77,838028
2016-01-11T14:30,56.89,57.56,54.64,54.66,1200292
2016-01-11T18:30,54.69,55.65,54.49,55.22,1466312
2016-01-12T14:30,55.42,55.84,53.81,54.12,1329121
2016-01-12T18:30,54.12,55.31,53.97,55.25,1576553
2016-01-13T14:30,55.39,55.59,53.87,53.97,1598470
2016-01-13T18:30,53.97,54.1,52.95,53.25,1963070
2016-01-14T14:30,53.35,54.54,52.8,54.32,955517
2016-01-14T18:30,54.34,54.71,53.82,54.16,942821
2016-01-15T14:30,52.97,53.41,52.45,53.04,1603809
2016-01-15T18:30,53.04,53.96,52.76,53.91,1621223
2016-01-19T14:30,54.48,55.21,54.06,54.56,1207663
2016-01-19T18:30,54.56,54.76,53.85,54.11,1252453
2016-01-20T14:30,53.12,53.17,51.72,52.43,1210155
2016-01-20T18:30,52.41,55.09,52.41,54.79,2090880
2016-01-21T14:30,54.79,55.45,53.84,54.73,1211930
2016-01-21T18:30,54.71,54.79,53.9,54.09,1162891
2016-01-22T14:30,54.83,55.47,54.54,55.14,891550
2016-01-22T18:30,55.15,55.73,54.9,55.55,710988
2016-01-25T14:30,55.49,55.86,54.6,55.04,823950
2016-01-25T18:30,55.02,55.08,54.32,54.41,1125514
2016-01-26T14:30,54.49,55.1,53.86,54.9,745611
2016-01-26T18:30,54.92,55.61,54.65,55.4,1656141
2016-01-27T14:30,54.87,55.05,53.31,54.45,1435221
2016-01-27T18:30,54.45,54.5,52.64,53.38,1226575
2016-01-28T14:30,53.82,54.19,52.99,53.14,862499
2016-01-28T18:30,53.15,53.25,52.43,52.7,930941
2016-01-29T14:30,53,54.47,52.73,54.3,1085301
2016-01-29T18:30,54.31,55.66,54.11,55.64,1010268
2016-02-01T14:30,55.2,56.38,54.97,56.36,918159
2016-02-01T18:30,56.33,56.66,56.06,56.28,858315
2016-02-02T14:30,55.48,55.48,53.46,53.46,916476
2016-02-02T18:30,53.45,53.59,53.11,53.38,918640
2016-02-03T14:30,53.81,54.75,52.91,53.44,1156052
2016-02-03T18:30,53.44,54.42,53.02,54.1,650953
2016-02-04T14:30,53.89,54.65,53.67,54.38,500742
2016-02-04T18:30,54.31,54.53,53.97,54.47,489744
2016-02-05T14:30,54.12,54.46,52.75,52.96,565448
2016-02-05T18:30,52.94,52.95,52.46,52.64,641154
2016-02-08T14:30,51.74,51.74,48.41,49.1,1256795
2016-02-08T18:30,49.1,49.91,48.47,49.61,886722
2016-02-09T14:30,48.73,50.86,48.73,49.45,982840
2016-02-09T18:30,49.52,50.1,49.09,49.54,659335
2016-02-10T14:30,49.85,51.49,49.85,51.14,992476
2016-02-10T18:30,51.13,51.72,50.99,51.46,1566218
2016-02-11T14:30,50.21,51.74,49.79,51.42,736460
2016-02-11T18:30,51.42,52.34,51.01,51.86,1182654
2016-02-12T14:30,52.54,53.06,51.79,52.94,662889
2016-02-12T18:30,52.95,53.68,52.85,53.67,1150018
2016-02-16T14:30,54.09,54.64,53.48,54.5,643563
2016-02-16T18:30,54.51,54.99,54.46,54.85,660224
2016-02-17T14:30,55.47,55.85,54.66,55.52,825060
2016-02-17T18:30,55.53,55.91,55.29,55.9,761865
2016-02-18T14:30,56.21,56.26,55.22,55.37,703031
2016-02-18T18:30,55.42,55.59,54.74,54.78,756476
2016-02-19T14:30,54.72,55.8,54.1,55.56,714653
2016-02-19T18:30,55.56,55.94,55.48,55.85,789241
2016-02-22T14:30,56.31,58.13,56.31,57.96,758769
2016-02-22T18:30,57.95,58.21,57.63,58.04,615668
2016-02-23T14:30,57.64,58.28,57.25,57.42,576649
2016-02-23T18:30,57.45,57.63,57.11,57.19,575237
2016-02-24T14:30,56.63,57.79,56.4,57.55,464488
2016-02-24T18:30,57.56,58.6,57.45,58.43,573798
2016-02-25T14:30,58.73,59.47,58.35,58.52,508040
2016-02-25T18:30,58.56,58.91,58.5,58.88,397561
2016-02-26T14:30,59.05,59.28,57.87,58.14,562415
2016-02-26T18:30,58.15,58.26,57.75,58.16,390307
2016-02-29T14:30,57.95,58.69,57.92,58.3,482110
2016-02-29T18:30,58.28,58.38,57.33,57.53,713511
2016-03-01T14:30,58.38,58.88,57.36,58.66,495290
2016-03-01T18:30,58.68,59.22,58.59,59.19,439650
2016-03-02T14:30,59.23,59.24,58.22,58.67,466334
2016-03-02T18:30,58.68,58.76,58.17,58.73,357416
2016-03-03T14:30,58.49,58.8,57.93,58.8,561713
2016-03-03T18:30,58.8,59.47,58.8,59.44,366200
2016-03-04T14:30,59.35,59.64,58.75,59.57,632543
2016-03-04T18:30,59.58,59.93,59.09,59.73,654888
2016-03-07T14:30,59.42,59.48,58.15,58.15,680442
2016-03-07T18:30,58.11,58.13,56.75,57.1,1430979
2016-03-08T14:30,56.75,56.98,55.63,56.5,896624
2016-03-08T18:30,56.48,56.54,55.64,55.67,1134930
2016-03-09T14:30,55.74,56.06,55.3,55.59,519456
2016-03-09T18:30,55.6,56,55.57,56,560716
2016-03-10T14:30,56.31,56.99,55.98,56.15,769479
2016-03-10T18:30,56.18,56.83,55.97,56.5,573789
2016-03-11T14:30,56.91,57.6,56.53,57.03,660384
2016-03-11T18:30,57.03,57.11,56.61,56.8,514191
2016-03-14T13:30,56.55,56.86,55.7,55.7,713972
2016-03-14T17:30,55.7,55.85,55.57,55.64,790961
2016-03-15T13:30,55.38,56.27,55.08,55.38,933181
2016-03-15T17:30,55.38,55.59,55.09,55.17,865535
2016-03-16T13:30,54.95,55.71,54.86,55.41,592893
2016-03-16T17:30,55.41,55.99,55.37,55.79,724610
2016-03-17T13:30,55.89,56.22,55.58,56.2,651288
2016-03-17T17:30,56.18,56.59,56.13,56.53,791326
2016-03-18T13:30,55.55,56.41,55.54,55.83,1081175
2016-03-18T17:30,55.84,56.11,55.6,56.03,544889
2016-03-21T13:30,56.06,56.74,55.93,56.33,545175
2016-03-21T17:30,56.35,56.47,56.05,56.15,496934
2016-03-22T13:30,55.64,56.32,55.27,56.12,781410
2016-03-22T17:30,56.1,56.63,56.06,56.27,730112
2016-03-23T13:30,56.24,57.07,55.74,56.69,741796
2016-03-23T17:30,56.68,56.88,56.29,56.32,1135896
2016-03-24T13:30,55.92,56.52,55.42,56.43,676746
2016-03-24T17:30,56.45,56.84,56.34,56.82,543083
2016-03-28T13:30,56.83,57.17,56.22,56.66,420338
2016-03-28T17:30,56.65,57.02,56.65,56.74,548698
2016-03-29T13:30,56.78,58.83,56.67,58.82,728060
2016-03-29T17:30,58.82,60.82,58.78,59.45,2484329
2016-03-30T13:30,59.5,59.81,58.68,58.77,604184
2016-03-30T17:30,58.76,59.57,58.72,59.28,532124
2016-03-31T13:30,59.27,61.8,59.27,61.79,1127249
2016-03-31T17:30,61.76,61.89,61.48,61.64,1124130
2016-04-01T13:30,60.92,61.28,60.41,60.92,651387
2016-04-01T17:30,60.92,61.53,60.92,61.5,614827
2016-04-04T13:30,61.69,62.09,60.9,61.44,893025
2016-04-04T17:30,61.43,61.43,61.03,61.16,777812
2016-04-05T13:30,60.72,61.91,60.62,61.5,795765
2016-04-05T17:30,61.51,62.23,61.31,61.52,947965
2016-04-06T13:30,63.52,67.67,63.52,67.11,2913601
2016-04-06T17:30,67.14,67.25,66.69,66.91,1520030
2016-04-07T13:30,66.9,68.85,66.7,68.21,1765680
2016-04-07T17:30,68.22,68.23,67.27,67.72,1132560
2016-04-08T13:30,67.87,68.44,67.41,68.09,700166
2016-04-08T17:30,68.07,68.43,67.85,68.17,778339
2016-04-11T13:30,68.85,69.88,68.45,68.57,979139
2016-04-11T17:30,68.57,68.88,68.09,68.25,1053502
2016-04-12T13:30,68.32,68.57,67.29,67.58,899030
2016-04-12T17:30,67.59,68.21,67.45,67.79,1684888
2016-04-13T13:30,67.95,70.04,67.92,70.02,1417982
2016-04-13T17:30,70.03,71.56,70,71.45,1467612
2016-04-14T13:30,71.52,71.93,71.13,71.15,1584853
2016-04-14T17:30,71.14,71.45,70.94,71.11,895727
2016-04-15T13:30,71.16,71.75,70.87,71.44,703695
2016-04-15T17:30,71.44,71.67,71.26,71.49,665495
2016-04-18T13:30,71.57,72.57,71.49,72.19,657411
2016-04-18T17:30,72.2,72.84,72.1,72.63,775768
2016-04-19T13:30,73.14,73.2,71.64,71.95,1064497
2016-04-19T17:30,71.95,72.58,71.94,72.31,890233
2016-04-20T13:30,72.89,72.93,71.35,71.6,2733433
2016-04-20T17:30,71.61,72.06,71.5,71.75,1694831
2016-04-21T13:30,71.5,71.61,69.72,70.41,1297328
2016-04-21T17:30,70.41,70.64,69.7,70.11,1418337
2016-04-22T13:30,70.12,70.24,68.85,69.21,1562940
2016-04-22T17:30,69.2,69.87,68.95,69.87,4108170
2016-04-25T13:30,69.87,70.16,69.13,69.28,1150382
2016-04-25T17:30,69.27,69.32,69.02,69.21,914920
2016-04-26T13:30,69.3,69.8,68.79,68.88,1103288
2016-04-26T17:30,68.88,69.19,68.52,69.1,1014455
2016-04-27T13:30,69.4,71.71,69.12,70.7,1554758
2016-04-27T17:30,70.69,70.77,70.17,70.58,1086319
2016-04-28T13:30,70.59,70.68,69.35,69.6,706221
2016-04-28T17:30,69.59,69.62,68.52,68.75,709412
2016-04-29T13:30,68.59,69,67.7,68.19,859423
2016-04-29T17:30,68.2,68.26,67.67,68.14,1030688
2016-05-02T13:30,68.62,69.14,68.16,69.01,739591
