date,open,high,low,close,volume
2016-01-04T14:30,8.087,8.143,8.01,8.101,7975963
2016-01-04T18:30,8.101,8.129,7.996,8.101,6038577
2016-01-05T14:30,8.15,8.227,8.087,8.181,6551634
2016-01-05T18:30,8.178,8.227,8.132,8.171,5330919
2016-01-06T14:30,8.045,8.045,7.857,7.937,8245705
2016-01-06T18:30,7.937,7.947,7.822,7.878,7069831
2016-01-07T14:30,7.717,7.717,7.542,7.581,13147766
2016-01-07T18:30,7.577,7.619,7.486,7.521,9742206
2016-01-08T14:30,7.563,7.626,7.417,7.512,8182546
2016-01-08T18:30,7.507,7.535,7.368,7.389,7956662
2016-01-11T14:30,7.445,7.5,7.34,7.34,8854716
2016-01-11T18:30,7.347,7.507,7.333,7.445,7371576
2016-01-12T14:30,7.514,7.603,7.382,7.424,9461103
2016-01-12T18:30,7.424,7.591,7.417,7.556,6620856
2016-01-13T14:30,7.563,7.63,7.326,7.333,11434544
2016-01-13T18:30,7.333,7.452,7.291,7.389,16795566
2016-01-14T14:30,7.403,7.556,7.361,7.455,14570426
2016-01-14T18:30,7.459,7.479,7.417,7.417,11357115
2016-01-15T14:30,7.109,7.249,6.991,6.994,11956572
2016-01-15T18:30,6.994,7.123,6.977,7.06,10174671
2016-01-19T14:30,7.172,7.179,6.795,6.879,14634794
2016-01-19T18:30,6.875,6.914,6.774,6.823,9906771
2016-01-20T14:30,6.669,6.701,6.453,6.516,14827131
2016-01-20T18:30,6.521,6.725,6.509,6.669,11274063
2016-01-21T14:30,6.711,6.991,6.638,6.921,12439483
2016-01-21T18:30,6.914,6.984,6.907,6.942,11538873
2016-01-22T14:30,7.067,7.151,6.844,6.868,8652456
2016-01-22T18:30,6.872,6.886,6.795,6.837,7434635
2016-01-25T14:30,6.83,6.848,6.607,6.607,5866809
2016-01-25T18:30,6.607,6.683,6.6,6.627,7655121
2016-01-26T14:30,6.662,6.844,6.641,6.806,5017923
2016-01-26T18:30,6.802,6.809,6.725,6.739,4296651
2016-01-27T14:30,6.732,6.907,6.732,6.886,4863925
2016-01-27T18:30,6.885,6.9,6.68,6.711,4107291
2016-01-28T14:30,6.809,6.823,6.62,6.673,6075043
2016-01-28T18:30,6.676,6.697,6.579,6.62,6023526
2016-01-29T14:30,6.676,6.767,6.565,6.767,34543106
2016-01-29T18:30,6.767,6.788,6.704,6.781,9449441
2016-02-01T14:30,6.739,6.921,6.697,6.865,8996347
2016-02-01T18:30,6.872,6.991,6.865,6.956,11299825
2016-02-02T14:30,6.865,6.963,6.795,6.907,10127214
2016-02-02T18:30,6.9,6.921,6.823,6.9,9905192
2016-02-03T14:30,6.851,6.879,6.516,6.708,8315395
2016-02-03T18:30,6.704,6.788,6.669,6.746,6222752
2016-02-04T14:30,6.704,6.938,6.704,6.868,6003142
2016-02-04T18:30,6.865,6.9,6.837,6.886,4939734
2016-02-05T14:30,6.865,7.067,6.816,7.001,6756086
2016-02-05T18:30,6.998,7.012,6.889,6.914,8292796
2016-02-08T14:30,6.816,6.85,6.516,6.533,7506146
2016-02-08T18:30,6.533,6.579,6.432,6.544,7387132
2016-02-09T14:30,6.495,6.579,6.39,6.397,7649981
2016-02-09T18:30,6.397,6.516,6.397,6.425,10972901
2016-02-10T14:30,6.439,6.61,6.418,6.558,5206462
2016-02-10T18:30,6.558,6.579,6.474,6.484,6482600
2016-02-11T14:30,6.383,6.425,6.229,6.254,7838253
2016-02-11T18:30,6.25,6.362,6.222,6.292,5754001
2016-02-12T14:30,6.348,6.558,6.306,6.53,6022290
2016-02-12T18:30,6.53,6.593,6.516,6.579,2989741
2016-02-16T14:30,6.676,6.844,6.6,6.842,5239278
2016-02-16T18:30,6.84,6.875,6.816,6.858,5053990
2016-02-17T14:30,6.9,7.046,6.893,7.015,6054386
2016-02-17T18:30,7.018,7.053,6.991,7.04,5283475
2016-02-18T14:30,7.06,7.361,7.053,7.35,10760238
2016-02-18T18:30,7.35,7.452,7.312,7.347,7340002
2016-02-19T14:30,7.326,7.328,7.019,7.183,10031081
2016-02-19T18:30,7.183,7.221,7.158,7.207,3746339
2016-02-22T14:30,7.333,7.507,7.277,7.396,5892992
2016-02-22T18:30,7.402,7.466,7.389,7.452,4125758
2016-02-23T14:30,7.403,7.424,7.214,7.277,5949514
2016-02-23T18:30,7.277,7.284,7.158,7.2,6102953
2016-02-24T14:30,7.179,7.514,7.053,7.483,9949959
2016-02-24T18:30,7.486,7.584,7.42,7.542,10490781
2016-02-25T14:30,7.102,7.305,6.949,7.2,20711572
2016-02-25T18:30,7.2,7.27,7.137,7.228,13978535
2016-02-26T14:30,7.291,7.675,7.249,7.623,14194449
2016-02-26T18:30,7.619,7.633,7.417,7.431,7962305
2016-02-29T14:30,7.431,7.577,7.403,7.542,6514467
2016-02-29T18:30,7.545,7.556,7.452,7.459,5206031
2016-03-01T14:30,7.57,7.696,7.452,7.668,10384941
2016-03-01T18:30,7.668,7.675,7.612,7.626,5260700
2016-03-02T14:30,7.612,7.724,7.521,7.63,6995933
2016-03-02T18:30,7.63,7.654,7.612,7.612,4671234
2016-03-03T14:30,7.661,7.888,7.654,7.78,7996516
2016-03-03T18:30,7.776,7.804,7.689,7.766,6568306
2016-03-04T14:30,7.787,7.905,7.766,7.86,7312616
2016-03-04T18:30,7.86,7.878,7.752,7.801,7258780
2016-03-07T14:30,7.754,8.051,7.733,8.04,6655066
2016-03-07T18:30,8.04,8.044,7.931,7.987,5085477
2016-03-08T14:30,7.909,7.952,7.74,7.913,6377873
2016-03-08T18:30,7.916,7.959,7.789,7.803,4989439
2016-03-09T14:30,7.832,8.072,7.832,8.044,6731056
2016-03-09T18:30,8.044,8.086,8.001,8.019,4635424
2016-03-10T14:30,8.051,8.164,7.871,7.984,7854364
2016-03-10T18:30,7.984,8.086,7.916,8.065,5758160
2016-03-11T14:30,8.135,8.192,8.086,8.114,6046001
2016-03-11T18:30,8.114,8.262,8.093,8.255,5733052
2016-03-14T13:30,8.213,8.27,8.022,8.1,6334316
2016-03-14T17:30,8.1,8.135,8.065,8.093,6580319
2016-03-15T13:30,8.072,8.086,7.909,8.001,5479864
2016-03-15T17:30,8.001,8.051,7.98,8.047,4685468
2016-03-16T13:30,8.058,8.199,8.015,8.103,4892618
2016-03-16T17:30,8.104,8.241,8.044,8.206,6337259
2016-03-17T13:30,8.199,8.651,8.185,8.245,9839198
2016-03-17T17:30,8.247,8.326,8.241,8.284,7272292
2016-03-18T13:30,8.354,8.531,8.319,8.457,10031599
2016-03-18T17:30,8.457,8.63,8.425,8.623,10543986
2016-03-21T13:30,8.559,8.644,8.46,8.559,5741623
