date,open,high,low,close,volume
2016-01-04T14:30,65.03,65.42,63.88,64.56,469353
2016-01-04T18:30,64.56,64.72,64.19,64.55,313664
2016-01-05T14:30,64.58,65.27,64.33,64.68,465046
2016-01-05T18:30,64.62,65.3,64.6,65.23,475810
2016-01-06T14:30,64.25,64.92,64.15,64.37,231124
2016-01-06T18:30,64.41,64.62,63.79,64.19,339648
2016-01-07T14:30,63.24,63.29,61.97,62.15,428300
2016-01-07T18:30,62.12,62.72,61.93,62.36,376864
2016-01-08T14:30,62.43,62.91,61.88,61.94,389005
2016-01-08T18:30,61.94,62.29,61.59,61.72,341098
2016-01-11T14:30,62.33,62.83,60.89,60.89,492125
2016-01-11T18:30,60.9,61.13,60.61,60.96,776718
2016-01-12T14:30,62.53,63.73,60.97,61.09,914249
2016-01-12T18:30,61.08,61.42,60.97,61.27,929513
2016-01-13T14:30,61.46,63.8,60.15,60.16,411054
2016-01-13T18:30,60.17,60.21,59.2,59.49,939198
2016-01-14T14:30,59.96,60.41,58.47,59.71,1175234
2016-01-14T18:30,59.71,59.79,59.25,59.34,969335
2016-01-15T14:30,57.99,58.69,57.55,58.26,851543
2016-01-15T18:30,58.25,59.3,58.24,59,1101985
2016-01-19T14:30,59.76,59.97,58.63,59.1,593227
2016-01-19T18:30,59.14,59.51,58.41,59.07,602526
2016-01-20T14:30,58.26,58.86,57.91,58.35,865206
2016-01-20T18:30,58.38,59.93,58.36,59.45,1111834
2016-01-21T14:30,61.54,62.12,59.74,60.63,1722028
2016-01-21T18:30,60.66,61.08,60.23,60.63,874000
2016-01-22T14:30,61.26,62.41,61.07,61.65,772374
2016-01-22T18:30,61.68,62.01,61.52,61.75,809058
2016-01-25T14:30,62.17,63.19,61.56,63.11,979521
2016-01-25T18:30,63.12,63.24,62.11,62.29,760890
2016-01-26T14:30,62.36,65.03,62.36,64.47,896466
2016-01-26T18:30,64.42,64.68,63.84,64.62,712214
2016-01-27T14:30,64.7,65.43,64.16,64.33,485568
2016-01-27T18:30,64.35,65.01,62.98,63.33,756803
2016-01-28T14:30,63.71,64.21,62.62,63.44,478362
2016-01-28T18:30,63.47,63.81,63.13,63.58,428483
2016-01-29T14:30,63.58,65.12,63.58,65.06,425197
2016-01-29T18:30,65.08,65.83,64.94,65.8,753639
2016-02-01T14:30,65.21,66.47,65.15,65.91,474561
2016-02-01T18:30,65.91,66.47,65.75,66.35,505017
2016-02-02T14:30,66.22,66.75,64.66,64.85,616049
2016-02-02T18:30,64.87,65,64.61,64.87,432266
2016-02-03T14:30,65.19,65.73,64.32,65.18,446555
2016-02-03T18:30,65.12,65.64,64.91,65.46,359865
2016-02-04T14:30,65.41,67.73,65.41,67.47,641165
2016-02-04T18:30,67.47,68.04,67.38,67.89,713673
2016-02-05T14:30,67.56,67.95,66.98,67.65,416904
2016-02-05T18:30,67.64,67.85,67.17,67.66,528189
2016-02-08T14:30,67.31,67.65,66.12,67.19,570380
2016-02-08T18:30,67.25,68.19,66.94,68.06,528485
2016-02-09T14:30,67.46,68.85,67.43,68.17,428390
2016-02-09T18:30,68.24,68.71,67.87,67.99,498761
2016-02-10T14:30,68.43,69.36,66.56,67,636068
2016-02-10T18:30,67.03,67.03,66.38,66.53,542685
2016-02-11T14:30,65.97,66.35,64.94,65.68,388298
2016-02-11T18:30,65.69,66.68,65.31,66.23,550735
2016-02-12T14:30,67.03,67.79,66.96,67.37,575106
2016-02-12T18:30,67.37,67.75,67.28,67.56,401061
2016-02-16T14:30,68.12,68.73,67.07,68.63,360526
2016-02-16T18:30,68.65,68.98,68.35,68.58,337152
2016-02-17T14:30,68.87,70.39,68.66,69.44,431860
2016-02-17T18:30,69.45,70.23,69.42,70.01,565195
2016-02-18T14:30,69.98,70.26,69.54,69.62,516437
2016-02-18T18:30,69.65,70.45,69.53,70.24,929641
2016-02-19T14:30,69.74,70.31,68.61,69.86,730545
2016-02-19T18:30,69.83,70.01,69.59,69.65,474546
2016-02-22T14:30,70.61,71.54,70.1,70.16,283423
2016-02-22T18:30,70.16,70.43,69.91,70.21,352810
2016-02-23T14:30,70.14,70.36,68.98,69.83,372701
2016-02-23T18:30,69.79,69.79,69.06,69.13,280958
2016-02-24T14:30,68.72,69.03,67.59,68.4,472146
2016-02-24T18:30,68.38,69.07,68.21,68.82,253797
2016-02-25T14:30,68.97,69.57,68.66,69.54,405852
2016-02-25T18:30,69.56,70.06,69.48,70.03,215801
2016-02-26T14:30,70.35,71.32,70.25,70.99,370984
2016-02-26T18:30,70.99,71.08,70.76,70.85,275198
2016-02-29T14:30,70.86,70.88,69.54,70.01,480916
2016-02-29T18:30,69.92,70.06,69.25,69.25,281474
2016-03-01T14:30,69.56,70.87,69.48,70.57,333800
2016-03-01T18:30,70.59,70.76,70.44,70.52,477886
2016-03-02T14:30,70.55,70.89,69.99,70.48,276119
2016-03-02T18:30,70.48,70.55,69.9,70.2,324825
2016-03-03T14:30,70.28,71.4,70.28,71.14,321493
2016-03-03T18:30,71.18,71.46,70.96,71.28,288344
2016-03-04T14:30,71.39,72.73,70.54,72.47,297167
2016-03-04T18:30,72.47,72.58,71.98,72.07,351832
2016-03-07T14:30,71.48,72.57,71.3,72.4,290520
2016-03-07T18:30,72.37,72.62,72,72.57,418166
2016-03-08T14:30,72.06,72.19,71.04,71.52,457104
2016-03-08T18:30,71.53,71.66,70.89,71.07,284178
2016-03-09T14:30,71.37,72.28,70.94,72.19,318266
2016-03-09T18:30,72.21,72.45,72.11,72.39,394315
2016-03-10T14:30,72.79,73.5,72.47,72.89,720039
2016-03-10T18:30,72.86,73.76,72.8,73.51,494030
2016-03-11T14:30,73.84,74.66,72.69,74.35,789182
2016-03-11T18:30,74.32,74.84,74.22,74.77,498165
2016-03-14T13:30,74.34,74.91,73.93,74.66,639710
2016-03-14T17:30,74.7,75.09,74.44,74.55,522381
2016-03-15T13:30,74.24,74.24,73.64,73.94,277829
2016-03-15T17:30,73.95,74.3,73.91,74.19,359912
2016-03-16T13:30,73.82,74.83,73.82,74.18,195597
2016-03-16T17:30,74.19,75.17,73.88,74.82,350772
2016-03-17T13:30,74.87,76.38,74.57,76.11,360559
2016-03-17T17:30,76.11,76.8,76.1,76.67,524618
2016-03-18T13:30,76.85,78.61,75.88,78.51,848010
2016-03-18T17:30,78.51,78.86,78.26,78.71,745606
2016-03-21T13:30,78.24,78.92,77.88,78.72,659140
