date,open,high,low,close,volume
2016-01-04T14:30,96.69,97.88,96.59,96.99,412324
2016-01-04T18:30,96.98,97.55,96.69,97.52,293006
2016-01-05T14:30,97.72,98.38,96.45,96.5,554060
2016-01-05T18:30,96.49,97.17,96.48,96.79,327030
2016-01-06T14:30,95.8,97.05,95.76,96.02,486648
2016-01-06T18:30,96.02,96.12,95.21,95.88,406161
2016-01-07T14:30,94.45,95.6,93.94,94.1,349148
2016-01-07T18:30,94.12,94.47,93.73,94.1,388454
2016-01-08T14:30,94.46,95.74,92.96,92.97,432605
2016-01-08T18:30,93.01,93.51,92.15,92.25,605595
2016-01-11T14:30,92.82,93.42,91.72,91.72,310124
2016-01-11T18:30,91.79,91.95,90.83,91.72,757719
2016-01-12T14:30,92.3,93.6,90.51,90.51,309413
2016-01-12T18:30,90.54,91.73,90.01,91.35,490061
2016-01-13T14:30,91.25,91.96,89.6,89.65,380555
2016-01-13T18:30,89.64,89.7,87.84,88.69,630774
2016-01-14T14:30,88.93,89.41,87.59,88.88,497120
2016-01-14T18:30,88.93,89.16,88.41,88.62,710172
2016-01-15T14:30,86.85,87.52,86.18,87.01,912504
2016-01-15T18:30,86.99,88.28,86.53,88.13,664850
2016-01-19T14:30,89.18,89.24,87.07,87.16,466634
2016-01-19T18:30,87.16,87.5,85.93,87.21,751923
2016-01-20T14:30,85.34,86.87,84.4,85.62,915284
2016-01-20T18:30,85.57,87.88,85.52,87.07,731881
2016-01-21T14:30,87.26,87.7,86.15,86.79,513481
2016-01-21T18:30,86.84,87.17,86.17,86.47,389364
2016-01-22T14:30,87.22,89.4,87.22,88.96,536443
2016-01-22T18:30,88.96,89.94,88.74,89.55,517186
2016-01-25T14:30,89.97,89.97,88.48,88.54,314385
2016-01-25T18:30,88.56,88.84,87.95,88.06,276469
2016-01-26T14:30,88.21,90.07,87.72,90.06,309757
2016-01-26T18:30,90.06,90.13,89.22,89.42,359735
2016-01-27T14:30,89.49,91.22,88.34,89.95,592270
2016-01-27T18:30,89.93,90.76,88.98,89.52,604723
2016-01-28T14:30,89.77,90.24,87.25,87.57,355316
2016-01-28T18:30,87.62,87.79,86.73,87.1,317303
2016-01-29T14:30,87.45,88.1,86.84,88.07,362495
2016-01-29T18:30,88.17,89.26,87.76,89.14,357373
2016-02-01T14:30,88.14,90.12,88.11,88.68,353162
2016-02-01T18:30,88.64,89.51,88.22,89.06,397054
2016-02-02T14:30,88.15,88.61,86.46,86.78,553341
2016-02-02T18:30,86.81,87.08,86.36,86.73,611071
2016-02-03T14:30,87.19,87.37,84.66,85.39,375888
2016-02-03T18:30,85.42,86.41,84.84,86.38,295427
2016-02-04T14:30,85.81,86.88,85.15,85.84,362852
2016-02-04T18:30,85.84,86.13,85.51,85.93,213484
2016-02-05T14:30,85.65,85.81,84.49,85.07,407800
2016-02-05T18:30,85.06,85.08,83.75,84.23,332879
2016-02-08T14:30,83.37,83.38,78.46,78.47,994162
2016-02-08T18:30,78.55,80.66,77.59,80.11,1457286
2016-02-09T14:30,79.39,81.67,79.05,80.89,495426
2016-02-09T18:30,80.86,82.24,80.6,81.34,509675
2016-02-10T14:30,81.51,84.76,81.3,84.3,402491
2016-02-10T18:30,84.33,84.39,82.81,83.01,504676
2016-02-11T14:30,82.76,83.07,80.42,81.02,544764
2016-02-11T18:30,81.04,81.3,80.12,80.38,636281
2016-02-12T14:30,80.74,82.3,80.57,80.88,601407
2016-02-12T18:30,80.95,81.86,80.9,81.74,498351
2016-02-16T14:30,82.19,83.23,81.27,82.88,770297
2016-02-16T18:30,82.88,83.03,82.59,82.91,332972
2016-02-17T14:30,83,85.26,82.13,84.05,659828
2016-02-17T18:30,84,84.2,83.53,83.92,698217
2016-02-18T14:30,84.03,87.4,83.23,86.03,1152030
2016-02-18T18:30,86.02,86.66,85.78,86.21,801818
2016-02-19T14:30,86.15,86.76,84.11,85.98,604547
2016-02-19T18:30,85.95,86.3,85.47,86.26,644925
2016-02-22T14:30,86.73,88.81,86.61,87.73,753642
2016-02-22T18:30,87.68,88.04,87.49,87.69,386971
2016-02-23T14:30,87.32,88.07,86.81,87.34,305581
2016-02-23T18:30,87.37,87.37,86.53,86.8,234582
2016-02-24T14:30,85.93,86.64,85.37,86.5,415094
2016-02-24T18:30,86.51,87.5,86.24,87.42,321707
2016-02-25T14:30,87.66,89.14,86.61,87.01,288478
2016-02-25T18:30,87.02,87.88,86.95,87.83,249677
2016-02-26T14:30,87.95,88.47,87.57,88.42,238460
2016-02-26T18:30,88.38,88.38,87.61,88.1,339775
2016-02-29T14:30,87.91,88.24,87.05,87.96,212312
2016-02-29T18:30,87.88,88.08,87.14,87.15,445797
2016-03-01T14:30,88.02,88.53,86.44,88.24,560496
2016-03-01T18:30,88.23,88.66,87.9,88.19,497567
2016-03-02T14:30,87.88,88.2,86.57,86.9,416710
2016-03-02T18:30,86.87,87.38,86.84,87.17,382242
2016-03-03T14:30,87.07,88.98,87.01,88.4,624140
2016-03-03T18:30,88.39,88.82,88,88.8,580339
2016-03-04T14:30,89.11,89.75,87.18,89.65,740930
2016-03-04T18:30,89.65,90.16,88.91,89,556933
2016-03-07T14:30,88.72,90.36,88.68,89.68,364566
2016-03-07T18:30,89.68,89.69,88.57,88.71,526965
2016-03-08T14:30,88.05,88.29,87.51,87.95,549391
2016-03-08T18:30,87.95,88.05,87.45,87.55,294890
2016-03-09T14:30,87.89,88.74,87.28,88.53,462801
2016-03-09T18:30,88.49,88.63,88.03,88.19,372192
2016-03-10T14:30,88.47,88.89,87.66,87.91,620658
2016-03-10T18:30,87.94,88.55,87.76,88.44,283308
2016-03-11T14:30,88.99,92.55,88.68,92.14,829272
2016-03-11T18:30,92.13,92.13,91.45,91.62,619175
2016-03-14T13:30,91.5,92.14,90.96,91.64,362443
2016-03-14T17:30,91.68,91.71,91.26,91.29,230376
2016-03-15T13:30,90.69,90.86,89.47,89.66,338670
2016-03-15T17:30,89.69,89.78,89.1,89.31,309560
2016-03-16T13:30,89.32,90.98,89.1,90.11,325210
2016-03-16T17:30,90.09,90.93,89.81,90.53,330349
2016-03-17T13:30,90.55,90.87,88.49,88.99,488189
2016-03-17T17:30,88.98,89.46,88.83,89.14,429084
2016-03-18T13:30,89.53,91.83,89.3,90.99,612996
2016-03-18T17:30,90.96,91.39,90.83,91.01,300706
2016-03-21T13:30,90.89,90.92,89.74,90.26,268848
2016-03-21T17:30,90.3,90.59,90.13,90.53,242426
2016-03-22T13:30,90.33,90.97,89.72,90.69,342200
2016-03-22T17:30,90.69,90.8,90.06,90.36,316275
2016-03-23T13:30,90.58,90.89,90.1,90.6,341976
2016-03-23T17:30,90.57,90.65,90.33,90.42,278047
2016-03-24T13:30,89.76,90.27,88.99,89.92,262454
2016-03-24T17:30,89.89,90.49,89.81,90.44,199472
2016-03-28T13:30,90.76,90.99,89.57,90.53,275136
2016-03-28T17:30,90.53,90.99,90.42,90.56,271176
2016-03-29T13:30,90.7,91.25,90.03,90.98,503318
2016-03-29T17:30,90.95,91.91,90.95,91.84,258149
2016-03-30T13:30,92.01,94.25,91.85,93.67,506923
2016-03-30T17:30,93.63,93.91,93.46,93.52,286823
2016-03-31T13:30,92.72,93.18,91.76,92.72,376407
2016-03-31T17:30,92.75,93.25,92.4,92.92,424530
2016-04-01T13:30,92.6,93.41,92.02,92.83,245400
2016-04-01T17:30,92.85,94.17,92.76,93.94,310061
2016-04-04T13:30,94.13,94.74,93.35,93.83,178847
2016-04-04T17:30,93.79,93.88,93.44,93.83,358369
2016-04-05T13:30,92.98,94.08,92.94,93.41,446098
2016-04-05T17:30,93.4,93.4,92.89,93.07,226204
2016-04-06T13:30,92.96,95.25,92.83,95.01,876628
2016-04-06T17:30,95.01,95.04,94.55,94.91,494557
2016-04-07T13:30,94.19,95.27,93.94,94.46,239645
2016-04-07T17:30,94.52,94.57,93.53,94,267139
2016-04-08T13:30,94.69,94.98,93.92,94.2,202344
2016-04-08T17:30,94.23,94.47,93.82,94.03,242568
2016-04-11T13:30,94.1,94.47,93.11,93.29,241511
2016-04-11T17:30,93.31,93.79,93.03,93.34,273150
2016-04-12T13:30,93.35,93.83,92.84,92.99,301358
2016-04-12T17:30,92.99,93.48,92.85,93.29,603046
2016-04-13T13:30,93.71,93.93,93.13,93.64,259652
2016-04-13T17:30,93.64,94.1,93.55,93.83,460937
2016-04-14T13:30,93.79,94.77,93.52,94.49,315581
2016-04-14T17:30,94.49,94.81,94.27,94.43,272160
2016-04-15T13:30,94.61,94.85,93.81,94.48,336487
2016-04-15T17:30,94.5,94.99,94.16,94.85,276349
2016-04-18T13:30,94.79,95.62,94.25,94.6,496339
2016-04-18T17:30,94.54,94.67,94.2,94.25,874835
2016-04-19T13:30,94.65,95.04,94.04,94.4,394142
2016-04-19T17:30,94.44,94.48,94.18,94.37,302764
2016-04-20T13:30,94.66,94.66,93.83,94.37,474735
2016-04-20T17:30,94.38,94.89,94.34,94.41,458415
2016-04-21T13:30,94.25,96.8,93.91,95.87,999383
2016-04-21T17:30,95.86,96.28,95.81,96.01,1123109
2016-04-22T13:30,96.17,96.78,95,95.65,536085
2016-04-22T17:30,95.63,96.82,95.56,96.64,838781
2016-04-25T13:30,99.41,101.13,97.03,98.15,1396746
2016-04-25T17:30,98.21,99.33,97.52,99.26,893478
2016-04-26T13:30,99.57,100.81,99.39,99.75,997434
2016-04-26T17:30,99.75,100.71,99.3,100.55,766523
2016-04-27T13:30,100.77,100.77,99.43,99.45,493770
2016-04-27T17:30,99.51,100.92,99.46,100.78,583309
2016-04-28T13:30,99.98,101.8,99.63,100.37,430706
2016-04-28T17:30,100.34,100.55,99.4,99.67,271738
2016-04-29T13:30,99.56,99.77,98.64,99.28,279819
2016-04-29T17:30,99.26,99.69,98.67,99.44,416429
2016-05-02T13:30,99.98,100.19,99.17,99.61,350518
2016-05-02T17:30,99.61,100.01,99.56,99.87,358386
2016-05-03T13:30,98.96,99.59,98.56,99.51,492504
2016-05-03T17:30,99.54,99.97,99.32,99.47,339948
2016-05-04T13:30,98.76,99.55,98.22,98.46,432571
2016-05-04T17:30,98.43,98.74,98.18,98.53,307572
2016-05-05T13:30,98.48,99.39,98.14,98.47,344592
2016-05-05T17:30,98.52,99.03,98.51,98.78,280251
2016-05-06T13:30,98.21,98.9,97.48,98.29,425393
2016-05-06T17:30,98.33,98.92,98.21,98.63,265600
2016-05-09T13:30,98.34,99.77,97.6,99.3,300128
2016-05-09T17:30,99.28,99.65,99.08,99.15,210824
2016-05-10T13:30,99.54,100.43,99.03,100.17,373737
2016-05-10T17:30,100.09,100.58,100.01,100.51,303636
2016-05-11T13:30,100.68,101.91,100.51,101.45,395184
2016-05-11T17:30,101.4,101.44,100.52,100.56,290541
2016-05-12T13:30,100.73,100.92,99.07,99.21,187233
2016-05-12T17:30,99.17,100.13,98.82,99.78,287891
2016-05-13T13:30,99.65,100.77,99.65,100.53,312456
2016-05-13T17:30,100.51,100.83,100.24,100.62,724115
2016-05-16T13:30,100.64,101.61,100.18,101.13,448730
2016-05-16T17:30,101.13,101.3,100.92,101.12,382686
2016-05-17T13:30,101.08,101.37,99.88,100.44,329052
2016-05-17T17:30,100.44,100.59,99.28,100.09,447725
2016-05-18T13:30,100.12,100.5,99.19,100.5,268414
2016-05-18T17:30,100.53,100.6,99.34,100.17,261365
2016-05-19T13:30,99.68,101.02,99.25,99.71,249291
2016-05-19T17:30,99.73,100.23,99.66,100.06,197932
2016-05-20T13:30,100.45,100.8,99.95,100.05,263954
2016-05-20T17:30,100.08,100.69,99.97,100.44,238199
2016-05-23T13:30,98.95,100.69,98.95,100.46,312625
2016-05-23T17:30,100.45,100.6,100.3,100.48,181245
2016-05-24T13:30,100.12,101.44,99.19,101.04,324699
2016-05-24T17:30,101.05,102,100.99,101.67,262014
2016-05-25T13:30,101.86,102.59,101.14,101.19,473623
2016-05-25T17:30,101.2,101.7,100.97,101.24,387205
2016-05-26T13:30,100.92,101.52,100.21,100.87,311887
2016-05-26T17:30,100.88,101.17,100.88,101.01,167725
2016-05-27T13:30,101.17,101.87,101.03,101.59,169127
2016-05-27T17:30,101.58,101.82,101.47,101.55,187817
2016-05-31T13:30,101.67,102.18,101.09,101.49,232375
2016-05-31T17:30,101.49,101.71,101.01,101.52,241507
2016-06-01T13:30,101.55,101.92,100.88,101.67,268952
2016-06-01T17:30,101.71,101.89,101.52,101.78,305049
2016-06-02T13:30,101.74,102.57,101.15,102.08,460305
2016-06-02T17:30,102.08,102.81,101.97,102.8,415796
2016-06-03T13:30,102.97,102.97,101.24,102.52,351862
2016-06-03T17:30,102.55,102.74,102.17,102.27,379292
2016-06-06T13:30,101.17,102.99,101.17,102.65,350321
2016-06-06T17:30,102.61,103.17,102.58,103.13,324048
2016-06-07T13:30,103.07,103.31,102.16,103.07,318424
2016-06-07T17:30,103.05,103.15,102.6,102.81,298939
2016-06-08T13:30,102.87,104.13,102.58,103.9,528280
2016-06-08T17:30,103.9,104.34,103.88,104.32,385649
2016-06-09T13:30,104.23,104.73,103.51,103.99,211124
2016-06-09T17:30,103.99,104.34,103.83,104.09,233195
2016-06-10T13:30,103.53,104.09,102.86,103.69,280766
2016-06-10T17:30,103.65,103.68,103.14,103.39,316147
2016-06-13T13:30,102.84,103.25,101.05,101.94,615783
2016-06-13T17:30,101.94,102.01,101.1,101.2,465047
2016-06-14T13:30,100.83,101.96,100.83,101.32,331383
2016-06-14T17:30,101.3,101.59,101.11,101.4,444695
2016-06-15T13:30,101.63,101.9,100.71,101.1,282418
2016-06-15T17:30,101.12,101.45,100.18,100.31,365723
2016-06-16T13:30,99.51,100.63,99.18,100.37,341295
2016-06-16T17:30,100.37,101.13,100.24,101.05,408708
2016-06-17T13:30,100.85,101.16,99.25,99.81,301379
2016-06-17T17:30,99.8,100.35,99.7,99.74,322814
2016-06-20T13:30,101.76,102.47,100.73,101.62,1078723
2016-06-20T17:30,101.61,101.74,101.05,101.18,640249
2016-06-21T13:30,101.18,101.92,100.86,101.64,487661
2016-06-21T17:30,101.63,102.23,101.54,101.74,250674
2016-06-22T13:30,102.01,103.57,101.41,103.01,625869
2016-06-22T17:30,103.04,103.36,102.74,102.97,347268
2016-06-23T13:30,103.59,104.42,103.37,104.1,433645
