date,open,high,low,close,volume
2016-01-04T14:30,21.72,21.98,21.5,21.98,170996
2016-01-04T18:30,21.94,22.61,21.94,22.33,225122
2016-01-05T14:30,22.2,22.64,21.64,21.73,173697
2016-01-05T18:30,21.74,21.78,21.25,21.51,213436
2016-01-06T14:30,21.2,21.94,21.05,21.89,277710
2016-01-06T18:30,21.9,22.17,21.38,21.64,243908
2016-01-07T14:30,21.36,21.79,20.69,20.795,225045
2016-01-07T18:30,20.8,20.84,20.47,20.54,262804
2016-01-08T14:30,19.33,20.7,19.15,19.96,404372
2016-01-08T18:30,19.94,20.21,19.51,19.57,295543
2016-01-11T14:30,19.71,20.06,19.42,19.72,230338
2016-01-11T18:30,19.74,19.98,19.48,19.68,269419
2016-01-12T14:30,20.36,20.73,19.3,19.4,237142
2016-01-12T18:30,19.385,19.86,19.2,19.58,162223
2016-01-13T14:30,19.67,19.98,19.06,19.34,117731
2016-01-13T18:30,19.4,19.69,19.06,19.6597,119610
2016-01-14T14:30,19.43,19.43,18.65,19.16,246458
2016-01-14T18:30,19.24,19.62,19.205,19.33,122814
2016-01-15T14:30,19.14,19.4,18.54,18.61,162173
2016-01-15T18:30,18.6217,19.57,18.39,19.41,226204
2016-01-19T14:30,19.44,19.95,18.85,18.9,187908
2016-01-19T18:30,18.92,19.18,18.71,18.99,199051
2016-01-20T14:30,18.71,18.931,18.1,18.33,167317
2016-01-20T18:30,18.3583,18.91,18.24,18.82,124405
2016-01-21T14:30,18.92,19.23,18.64,18.9008,338233
2016-01-21T18:30,18.87,19.06,18.59,18.8,178420
2016-01-22T14:30,19.08,19.56,18.9,19.33,123918
2016-01-22T18:30,19.34,19.67,19.32,19.64,164871
2016-01-25T14:30,19.55,19.76,19.37,19.5,44997
2016-01-25T18:30,19.5,19.57,19.35,19.45,108210
2016-01-26T14:30,19.55,20.31,19.55,20.12,194126
2016-01-26T18:30,20.13,20.26,19.92,19.98,162229
2016-01-27T14:30,19.97,20.19,19.63,19.83,156793
2016-01-27T18:30,19.81,19.99,19.53,19.69,148994
2016-01-28T14:30,19.7,20.05,18.99,19.25,227159
2016-01-28T18:30,19.28,19.65,19.11,19.6,137005
2016-01-29T14:30,19.64,20.21,19.5,20,423514
2016-01-29T18:30,20,20.075,19.68,19.69,579927
2016-02-01T14:30,19.72,20.04,19.65,19.99,284259
2016-02-01T18:30,19.985,20.5,19.91,20.43,323923
2016-02-02T14:30,21.02,22.21,20.81,21.03,803325
2016-02-02T18:30,20.995,21.26,20.7,21.13,553588
2016-02-03T14:30,21.5,21.96,20.64,20.9,565866
2016-02-03T18:30,20.89,22,20.6,21.78,599584
2016-02-04T14:30,21.67,23.74,21.22,22.8,962129
2016-02-04T18:30,22.8,22.82,21.74,22.21,443845
2016-02-05T14:30,23.75,24.4,23.23,23.89,1172944
2016-02-05T18:30,23.9,24,23.14,23.76,577735
2016-02-08T14:30,23.5,23.67,22.5001,23.41,431172
2016-02-08T18:30,23.415,23.6,22.71,23.56,341870
2016-02-09T14:30,23.39,24.38,22.961,23.15,424100
2016-02-09T18:30,23.19,23.51,22.89,22.99,274644
2016-02-10T14:30,23.18,23.79,23.0701,23.39,294914
2016-02-10T18:30,23.41,24.03,23.39,23.98,318839
2016-02-11T14:30,23.89,24.2603,22.72,23.27,280488
2016-02-11T18:30,23.24,23.42,22.91,23.04,170680
2016-02-12T14:30,23.11,23.7,22.88,23.35,251234
2016-02-12T18:30,23.36,23.69,23,23.09,161252
