date,open,high,low,close,volume
2016-01-04T14:30,53.7,56.18,53.53,56.142,4779820
2016-01-04T18:30,56.12,56.21,55.03,55.86,2360886
2016-01-05T14:30,56.2,56.67,55.16,55.41,1853257
2016-01-05T18:30,55.42,56.25,55.38,55.56,1090363
2016-01-06T14:30,54.95,55.64,54.67,54.98,1531350
2016-01-06T18:30,54.97,55.44,54.53,54.92,1122535
2016-01-07T14:30,54,56,53.75,55.28,2194547
2016-01-07T18:30,55.28,55.37,54.72,54.77,1767028
2016-01-08T14:30,55.43,55.77,52.97,54.15,1726291
2016-01-08T18:30,54.14,54.6,53.77,53.91,1361698
2016-01-11T14:30,54.49,54.99,52.71,53.66,1661295
2016-01-11T18:30,53.7,55.09,53.32,54.73,1171814
2016-01-12T14:30,59.92,61.3,57.51,57.6112,8948481
2016-01-12T18:30,57.58,58.05,56.28,56.8,3507059
2016-01-13T14:30,57.95,58.28,56.02,56.1,1946210
2016-01-13T18:30,56.11,56.62,55.1159,55.9799,1438269
2016-01-14T14:30,56.06,57.23,53.6,57.2,2247815
2016-01-14T18:30,57.21,57.38,56.33,56.63,1346483
2016-01-15T14:30,55.18,56.34,52.9,54.47,2480255
2016-01-15T18:30,54.43,55.75,54.29,55.72,1310648
2016-01-19T14:30,56.18,57.48,55.5601,56.455,1890722
2016-01-19T18:30,56.44,57.1,55.9,56.74,1171767
2016-01-20T14:30,55.53,56.45,53.18,55.42,2106900
2016-01-20T18:30,55.39,56.7,55.29,55.95,1080859
2016-01-21T14:30,56.86,59.03,54.85,58.25,2410217
2016-01-21T18:30,58.24,58.33,57.03,57.09,1310199
2016-01-22T14:30,57.92,58.38,56.15,57.44,1495087
2016-01-22T18:30,57.45,58.2,57.24,58.01,668136
2016-01-25T14:30,58.67,58.67,57.02,58.0878,1299889
2016-01-25T18:30,58.09,58.33,57.37,57.64,875117
2016-01-26T14:30,58.73,59.29,57.61,59.24,1712871
2016-01-26T18:30,59.25,59.33,58.3,58.59,867960
2016-01-27T14:30,58.59,59.71,58.39,59.62,1401713
2016-01-27T18:30,59.64,59.91,58.68,58.81,1114307
2016-01-28T14:30,59.71,60.67,59.05,59.62,1772866
2016-01-28T18:30,59.6,60.04,59.44,59.59,925812
2016-01-29T14:30,59.5,61.63,59.5,61.35,1695162
2016-01-29T18:30,61.35,62.07,61.25,62.07,1439197
2016-02-01T14:30,61.25,61.625,59.64,60.24,1583254
2016-02-01T18:30,60.24,61.12,60.12,60.83,760730
2016-02-02T14:30,61.25,63.5,61.12,62.47,2699930
2016-02-02T18:30,62.44,62.44,61.5,62,809340
2016-02-03T14:30,61.89,62.9,60.49,62.6,1918605
2016-02-03T18:30,62.5949,63.14,61.99,63.02,1209731
2016-02-04T14:30,62.26,63.34,61.66,62.41,1556143
2016-02-04T18:30,62.42,62.64,62.04,62.63,443741
2016-02-05T14:30,62.38,63.13,60.17,60.38,1566434
2016-02-05T18:30,60.37,60.86,59.88,60.76,1062366
2016-02-08T14:30,59.99,60.11,56.2,56.32,3003780
2016-02-08T18:30,56.32,58.36,55.37,57.96,2032832
2016-02-09T14:30,57.43,57.9299,54.6,55.17,2015569
2016-02-09T18:30,55.18,56.96,55.07,56.89,1357112
2016-02-10T14:30,56.81,58.545,56.75,57.705,977980
2016-02-10T18:30,57.7284,58.09,57.3088,57.68,944415
2016-02-11T14:30,56.72,57.72,55.44,56.66,1180306
2016-02-11T18:30,56.65,57.74,56.52,57.23,945472
2016-02-12T14:30,57.61,58.4,56.56,58,762484
2016-02-12T18:30,57.98,58.93,57.81,58.84,639727
2016-02-16T14:30,59.53,60.46,58.93,60.27,868404
2016-02-16T18:30,60.2999,60.45,59.55,59.8,585645
2016-02-17T14:30,60.14,61.43,59.928,60.51,1212776
2016-02-17T18:30,60.53,60.73,60.11,60.51,529483
2016-02-18T14:30,60.88,61.37,60.13,60.76,757070
2016-02-18T18:30,60.72,60.99,60.31,60.64,633378
2016-02-19T14:30,60.16,60.51,58.15,60,1153350
2016-02-19T18:30,60,60.84,60,60.77,642363
2016-02-22T14:30,61.29,62.14,59.98,60.2,1030226
2016-02-22T18:30,60.21,60.96,60.16,60.51,881913
2016-02-23T14:30,60.46,61.58,59.53,61.29,961735
2016-02-23T18:30,61.23,61.33,60.62,60.63,447685
2016-02-24T14:30,60.31,60.59,59.06,60.4525,1124457
2016-02-24T18:30,60.445,60.92,60.15,60.82,665401
2016-02-25T14:30,60.9,62.8,60.6011,61.97,1154810
2016-02-25T18:30,61.94,61.97,61.08,61.34,739885
2016-02-26T14:30,61.66,62,60.81,61.59,807465
2016-02-26T18:30,61.58,61.77,61.25,61.57,730718
2016-02-29T14:30,61.24,63.05,60.99,62.912,911266
2016-02-29T18:30,62.91,63.43,62.7,62.76,1012425
2016-03-01T14:30,62.71,63.3,62.335,62.97,1458183
2016-03-01T18:30,62.97,63.04,62.29,62.74,884057
2016-03-02T14:30,62.52,63.67,62.38,63.3,1031053
2016-03-02T18:30,63.3,63.31,62.665,62.8,624838
2016-03-03T14:30,62.84,62.93,61.74,62.27,759264
2016-03-03T18:30,62.26,62.33,61.54,61.78,882670
2016-03-04T14:30,61.84,62.1099,61.03,61.55,1117127
2016-03-04T18:30,61.58,61.7794,61.04,61.24,768918
2016-03-07T14:30,60.89,62.07,60.781,61.8,878672
2016-03-07T18:30,61.79,62.09,61.29,62,657328
2016-03-08T14:30,61.59,62.96,61.47,62.78,841150
2016-03-08T18:30,62.77,62.88,62.125,62.24,607539
2016-03-09T14:30,62.27,62.45,61.21,62.42,717128
