date,open,high,low,close,volume
2021-11-17T18:30,9.65,9.65,9.65,9.65,1000
2021-11-18T14:30,9.6725,9.6725,9.6725,9.6725,103
2021-11-19T14:30,9.67,9.69,9.65,9.65,66091
2021-11-19T18:30,9.66,9.67,9.66,9.66,15624
2021-11-22T14:30,9.66,9.69,9.66,9.68,17162
2021-11-22T18:30,9.68,9.68,9.67,9.67,7771
2021-11-23T14:30,9.66,9.66,9.655,9.6557,2245
2021-11-23T18:30,9.66,9.66,9.655,9.66,83725
2021-11-24T14:30,9.6799,9.68,9.66,9.6791,11782
2021-11-26T14:30,9.66,9.68,9.63,9.67,542521
2021-11-29T14:30,9.76,9.76,9.76,9.76,226
2021-11-29T18:30,9.66,9.66,9.66,9.66,200
2021-11-30T18:30,9.7,9.71,9.69,9.69,6111
2021-12-01T14:30,9.7,9.7,9.6995,9.7,1440
2021-12-01T18:30,9.68,9.68,9.68,9.68,200
2021-12-02T18:30,9.7,9.7,9.6991,9.6991,500
2021-12-03T18:30,9.7,9.7,9.6995,9.6995,998
2021-12-06T14:30,9.69,9.7,9.69,9.7,2400
2021-12-06T18:30,9.68,9.68,9.68,9.68,297
2021-12-08T14:30,9.63,9.7,9.63,9.7,2821
2021-12-08T18:30,9.66,9.66,9.66,9.66,247
2021-12-09T18:30,9.69,9.7,9.69,9.69,2028
2021-12-10T18:30,9.68,9.69,9.66,9.66,202363
2021-12-13T14:30,9.6899,9.6899,9.6597,9.6597,600
2021-12-14T14:30,9.69,9.69,9.61,9.69,1200
2021-12-17T14:30,9.64,9.64,9.64,9.64,874
2021-12-17T18:30,9.69,9.69,9.69,9.69,100
2021-12-20T18:30,9.65,9.65,9.65,9.65,5200
2021-12-21T14:30,9.65,9.65,9.65,9.65,6000
2021-12-21T18:30,9.66,9.66,9.66,9.66,100
2021-12-22T14:30,9.67,9.6799,9.67,9.6799,6090
2021-12-22T18:30,9.66,9.6601,9.66,9.6601,11796
2021-12-31T14:30,9.64,9.64,9.64,9.64,290
2021-12-31T18:30,9.64,9.64,9.64,9.64,132
2022-01-03T14:30,9.66,9.69,9.66,9.69,1558
2022-01-07T14:30,9.66,9.66,9.66,9.66,132
2022-01-13T18:30,9.685,9.7,9.67,9.69,8851
2022-01-20T14:30,9.69,9.69,9.67,9.67,41804
2022-01-21T14:30,9.69,9.69,9.69,9.69,100
2022-01-27T14:30,9.65,9.65,9.64,9.64,1800
2022-01-27T18:30,9.61,9.65,9.61,9.65,400
2022-01-28T14:30,9.65,9.65,9.65,9.65,1000
2022-02-04T18:30,9.62,9.62,9.55,9.615,500600
2022-02-07T14:30,9.62,9.66,9.62,9.62,450
2022-02-10T14:30,9.62,9.62,9.62,9.62,5000
2022-02-17T14:30,9.7,9.7,9.7,9.7,1000
2022-02-23T14:30,9.62,9.64,9.62,9.64,812
2022-02-23T18:30,9.62,9.64,9.62,9.64,1830
2022-02-24T18:30,9.57,9.63,9.57,9.63,113600
2022-02-28T14:30,9.6283,9.6283,9.6283,9.6283,5000
2022-03-02T14:30,9.64,9.64,9.64,9.64,500
2022-03-03T18:30,9.64,9.65,9.62,9.65,10852
2022-03-07T18:30,9.65,9.65,9.65,9.65,1102
2022-03-08T14:30,9.65,9.65,9.65,9.65,1105
2022-03-08T18:30,9.655,9.67,9.65,9.67,4897
2022-03-09T14:30,9.68,9.69,9.68,9.69,400
2022-03-09T18:30,9.69,9.69,9.69,9.69,659
2022-03-17T13:30,9.585,9.65,9.585,9.65,1542
2022-03-21T17:30,9.66,9.69,9.64,9.69,600
2022-03-24T13:30,9.73,9.73,9.66,9.66,600
2022-03-25T13:30,9.69,9.69,9.69,9.69,100
2022-03-25T17:30,9.68,9.68,9.68,9.68,285
2022-03-28T13:30,9.69,9.69,9.69,9.69,100
2022-03-29T13:30,9.69,9.69,9.63,9.63,7000
2022-03-29T17:30,9.665,9.665,9.665,9.665,325
2022-03-30T13:30,9.67,9.67,9.67,9.67,10000
2022-03-31T13:30,9.67,9.67,9.67,9.67,10000
2022-04-04T13:30,9.675,9.675,9.675,9.675,137
2022-04-04T17:30,9.69,9.69,9.66,9.66,1906
2022-04-05T13:30,9.66,9.68,9.65,9.65,2376
2022-04-06T13:30,9.64,9.64,9.64,9.64,200
2022-04-08T13:30,9.64,9.65,9.64,9.64,10850
2022-04-08T17:30,9.65,9.65,9.65,9.65,8719
2022-04-18T13:30,9.68,9.68,9.68,9.68,300
2022-04-20T13:30,9.69,9.69,9.69,9.69,947
2022-04-21T13:30,9.69,9.69,9.69,9.69,204952
2022-04-21T17:30,9.69,9.69,9.69,9.69,50000
2022-04-25T13:30,9.69,9.7,9.69,9.7,111000
2022-04-26T13:30,9.7,9.72,9.7,9.72,3124
2022-04-27T17:30,9.7,9.71,9.7,9.71,16600
2022-05-02T13:30,9.7083,9.7083,9.7,9.7,1426
2022-05-03T13:30,9.7,9.7,9.7,9.7,724
2022-05-04T13:30,9.73,9.73,9.73,9.73,974
2022-05-04T17:30,9.71,9.71,9.71,9.71,33802
2022-05-05T13:30,9.7,9.7,9.695,9.7,107600
2022-05-05T17:30,9.69,9.7,9.68,9.7,40635
2022-05-06T13:30,9.74,9.74,9.68,9.68,26312
2022-05-06T17:30,9.68,9.7,9.68,9.7,2617
2022-05-10T13:30,9.67,9.73,9.67,9.73,200
2022-05-11T13:30,9.67,9.67,9.67,9.67,100
2022-05-11T17:30,9.67,9.67,9.67,9.67,20337
2022-05-12T13:30,9.65,9.65,9.65,9.65,12259
2022-05-12T17:30,9.63,9.63,9.61,9.63,10000
2022-05-17T17:30,9.64,9.64,9.64,9.64,80000
2022-05-25T13:30,9.63,9.63,9.63,9.63,500000
2022-05-31T13:30,9.7,9.7,9.6461,9.66,2103
2022-05-31T17:30,9.66,9.66,9.66,9.66,233359
2022-06-02T17:30,9.66,9.66,9.66,9.66,322
2022-06-03T13:30,9.66,9.66,9.66,9.66,711
2022-06-06T13:30,9.71,9.72,9.71,9.72,701
2022-06-10T13:30,9.72,9.72,9.72,9.72,503
2022-06-14T17:30,9.7,9.7,9.6927,9.6927,1833
2022-06-15T13:30,9.71,9.71,9.71,9.71,500
2022-06-16T13:30,9.64,9.64,9.64,9.64,300
2022-06-17T17:30,9.68,9.69,9.68,9.69,6052
2022-06-21T13:30,9.8,9.8,9.63,9.63,1130
2022-06-22T13:30,9.66,9.69,9.66,9.69,5202
2022-06-22T17:30,9.69,9.69,9.69,9.69,200
2022-07-08T13:30,9.69,9.69,9.69,9.69,200
2022-07-08T17:30,9.68,9.68,9.65,9.65,400
2022-07-11T13:30,9.69,9.69,9.69,9.69,888
2022-07-11T17:30,9.69,9.69,9.69,9.69,250
2022-07-20T17:30,9.68,9.68,9.66,9.66,400
2022-07-21T13:30,9.7,9.7,9.7,9.7,1500
2022-07-22T13:30,9.75,9.75,9.75,9.75,700
2022-08-10T13:30,9.71,9.71,9.71,9.71,688
2022-08-11T13:30,9.74,9.74,9.74,9.74,200
2022-08-15T13:30,9.71,9.72,9.68,9.72,5739
2022-08-15T17:30,9.72,9.72,9.72,9.72,200
2022-08-16T13:30,9.73,9.73,9.73,9.73,400
2022-08-17T13:30,9.74,9.74,9.74,9.74,300
2022-08-17T17:30,9.71,9.71,9.71,9.71,400000
2022-08-18T13:30,9.74,9.74,9.74,9.74,500
2022-08-22T13:30,9.8,9.8,9.8,9.8,2000
2022-08-22T17:30,9.73,9.73,9.73,9.73,200
2022-08-24T17:30,9.74,9.74,9.74,9.74,200
2022-08-26T13:30,9.72,9.73,9.71,9.73,3300
2022-08-26T17:30,9.73,9.73,9.73,9.73,400
2022-08-31T13:30,9.71,9.74,9.71,9.74,7900
2022-08-31T17:30,9.74,9.74,9.74,9.74,1400
2022-09-02T13:30,9.75,9.75,9.75,9.75,302
2022-09-02T17:30,9.7,9.7,9.7,9.7,6300
2022-09-06T13:30,9.72,9.74,9.72,9.74,1400
2022-09-07T13:30,9.75,9.75,9.75,9.75,150135
2022-09-07T17:30,9.76,9.76,9.75,9.75,69400
2022-09-08T13:30,9.75,9.75,9.72,9.73,9651
2022-09-08T17:30,9.75,9.75,9.74,9.75,1400
2022-09-09T13:30,9.73,9.74,9.71,9.73,19615
2022-09-09T17:30,9.74,9.74,9.72,9.72,2141
2022-09-12T13:30,9.74,9.75,9.74,9.75,1700
2022-09-12T17:30,9.72,9.74,9.72,9.72,8218
2022-09-13T13:30,9.74,9.76,9.74,9.76,65570
2022-09-13T17:30,9.755,9.76,9.755,9.76,3946
2022-09-14T13:30,9.75,9.77,9.75,9.77,2901
2022-09-14T17:30,9.77,9.77,9.77,9.77,100
2022-09-15T13:30,9.73,9.74,9.73,9.74,700
2022-09-15T17:30,9.74,9.74,9.74,9.74,200
2022-09-16T13:30,9.88,9.9,9.83,9.8747,166696
2022-09-16T17:30,9.8203,9.87,9.82,9.845,2390
2022-09-19T13:30,9.9,9.9,9.81,9.85,2175850
2022-09-19T17:30,9.85,9.865,9.84,9.85,19931
2022-09-20T13:30,9.84,9.84,9.8198,9.82,922
2022-09-20T17:30,9.82,9.85,9.81,9.81,9385
2022-09-21T13:30,9.82,9.8599,9.81,9.85,7029
2022-09-22T13:30,9.8499,9.8499,9.8499,9.8499,100
2022-09-22T17:30,9.8,9.84,9.8,9.84,11501
2022-09-23T13:30,9.815,9.815,9.7804,9.7804,301
2022-09-23T17:30,9.84,9.87,9.83,9.83,36350
