date,open,high,low,close,volume
2016-01-04T14:30,59.57,59.81,58.83,59.24,1845898
2016-01-04T18:30,59.23,59.45,58.71,59.07,1809754
2016-01-05T14:30,59.16,59.52,58.94,59.33,1252929
2016-01-05T18:30,59.32,59.66,59.04,59.24,1222557
2016-01-06T14:30,58.25,58.44,57.13,57.26,1850803
2016-01-06T18:30,57.26,57.52,56.5,57.48,2169124
2016-01-07T14:30,56.26,57.04,55.99,56.38,2930362
2016-01-07T18:30,56.36,56.41,55.73,55.87,2981459
2016-01-08T14:30,56.34,57.65,56.03,56.85,2189303
2016-01-08T18:30,56.86,57.17,56.52,56.62,1955495
2016-01-11T14:30,57.06,57.33,56.3,56.36,2208838
2016-01-11T18:30,56.37,57.37,56.13,57.07,2159339
2016-01-12T14:30,57.08,58.22,57.08,57.55,2472528
2016-01-12T18:30,57.56,58.28,57.39,58.11,2318695
2016-01-13T14:30,57.66,57.85,55.77,55.82,2158509
2016-01-13T18:30,55.82,55.89,54.33,54.46,3177621
2016-01-14T14:30,54.47,54.97,53.24,54.96,4474333
2016-01-14T18:30,54.96,56.13,54.58,54.88,2666853
2016-01-15T14:30,53.33,54.35,52.7,52.97,3833837
2016-01-15T18:30,52.97,54.01,52.97,53.81,4407011
2016-01-19T14:30,54.61,54.66,52.92,52.94,2894204
2016-01-19T18:30,52.93,53.04,52.06,52.73,2012361
2016-01-20T14:30,52.04,52.69,50.99,52,3745706
2016-01-20T18:30,51.99,54.75,51.96,54.04,4221897
2016-01-21T14:30,54.06,55.8,53.44,55.21,2636675
2016-01-21T18:30,55.21,56.53,55.06,55.71,3336690
2016-01-22T14:30,56.54,57.47,56.21,56.28,2843795
2016-01-22T18:30,56.3,56.52,55.67,56.43,1821224
2016-01-25T14:30,56.38,56.38,54.62,54.81,1846083
2016-01-25T18:30,54.82,54.88,54.21,54.3,1300045
2016-01-26T14:30,54.85,56.03,54.47,55.92,1602304
2016-01-26T18:30,55.91,56.07,55.47,55.97,1419545
2016-01-27T14:30,55.85,56.43,54.94,55.45,1945571
2016-01-27T18:30,55.48,55.92,54.22,54.8,1987173
2016-01-28T14:30,55.38,55.69,53.13,53.43,2570879
2016-01-28T18:30,53.4,53.78,53.3,53.5,1898057
2016-01-29T14:30,54.11,54.75,53.64,54.67,1652521
2016-01-29T18:30,54.67,55.39,54.67,55.36,1161512
2016-02-01T14:30,54.5,55.31,54.22,55.12,2408836
2016-02-01T18:30,55.14,55.93,54.95,55.5,908179
2016-02-02T14:30,54.57,54.9,53.45,53.95,1579894
2016-02-02T18:30,53.97,53.99,53.3,53.38,2176148
2016-02-03T14:30,53.45,53.69,52.13,53.16,2109069
2016-02-03T18:30,53.17,53.97,52.84,53.65,1388399
2016-02-04T14:30,53.56,54.37,53.21,54,2316055
2016-02-04T18:30,54.01,55.03,53.8,54.86,1850102
2016-02-05T14:30,54.83,54.85,53.43,54.35,1854508
2016-02-05T18:30,54.35,54.39,53.94,54.22,1631587
2016-02-08T14:30,53.84,54.03,52.31,52.69,2565250
2016-02-08T18:30,52.69,53.95,52.51,53.7,1981909
2016-02-09T14:30,53.31,55.34,53.31,54.34,2689982
2016-02-09T18:30,54.35,55.68,54.07,54.91,2413428
2016-02-10T14:30,55.68,56.78,55.28,55.98,2206383
2016-02-10T18:30,55.95,56.16,55.4,55.46,1203704
2016-02-11T14:30,54.66,56.18,54.3,55.39,2131174
2016-02-11T18:30,55.37,56.06,54.84,55.65,2390336
2016-02-12T14:30,56.07,57.56,55.68,57.07,1975637
2016-02-12T18:30,57.07,57.73,57.04,57.64,1592887
2016-02-16T14:30,58.07,59.09,57.81,59.01,3106133
2016-02-16T18:30,59.02,59.22,58.47,58.78,2030854
2016-02-17T14:30,59.4,61.33,59.32,59.94,2372837
2016-02-17T18:30,59.93,60.43,59.6,60.26,2389633
2016-02-18T14:30,57.92,59.34,57.83,58.62,5366498
2016-02-18T18:30,58.62,58.97,58.35,58.67,2423342
2016-02-19T14:30,58.28,59.43,58.05,59.27,2067216
2016-02-19T18:30,59.27,59.46,59.05,59.36,1422018
2016-02-22T14:30,59.82,61.02,59.8,60.2,1886705
2016-02-22T18:30,60.21,60.44,59.93,60.36,2817966
2016-02-23T14:30,60.32,60.64,59.9,60.59,1694614
2016-02-23T18:30,60.58,60.59,60.06,60.1,1114303
2016-02-24T14:30,59.53,60.34,58.98,60.08,2238352
2016-02-24T18:30,60.12,61,60.04,60.79,1351323
2016-02-25T14:30,61.22,61.57,60.56,60.94,1847084
2016-02-25T18:30,60.94,61.97,60.91,61.94,2324895
2016-02-26T14:30,62.55,62.58,61.55,61.59,1696859
2016-02-26T18:30,61.59,61.96,61.49,61.81,1144649
2016-02-29T14:30,61.97,62.44,61.38,62.12,1756205
2016-02-29T18:30,62.11,62.26,61.81,61.81,1502304
2016-03-01T14:30,61.97,62.74,61.93,62.54,1903925
2016-03-01T18:30,62.55,62.65,62.3,62.51,1409243
2016-03-02T14:30,62.19,62.58,61.8,62.29,1626022
2016-03-02T18:30,62.28,62.43,62.15,62.42,929813
2016-03-03T14:30,62.19,62.58,61.73,61.76,1155549
2016-03-03T18:30,61.76,62.35,61.76,62.28,1114755
2016-03-04T14:30,62.4,62.83,62.03,62.44,1073002
2016-03-04T18:30,62.43,62.66,62.17,62.56,578401
2016-03-07T14:30,62.13,62.92,61.99,62.79,795279
2016-03-07T18:30,62.78,63.07,62.41,63.07,1750294
2016-03-08T14:30,62.49,62.99,61.83,62.85,2603245
2016-03-08T18:30,62.84,62.97,61.93,62.04,1585079
2016-03-09T14:30,62.34,62.37,61.75,62.05,1214373
2016-03-09T18:30,62.03,62.22,61.97,62.22,979127
2016-03-10T14:30,62.32,62.71,60.51,60.57,1137507
2016-03-10T18:30,60.56,61.66,60.52,61.64,1053359
2016-03-11T14:30,62.51,62.73,62.03,62.63,958489
2016-03-11T18:30,62.63,62.63,62.25,62.47,831084
2016-03-14T13:30,64.39,64.61,63.43,64.1,6484537
2016-03-14T17:30,64.09,64.66,64.08,64.33,2161720
2016-03-15T13:30,63.54,64.42,63.49,63.94,2453403
2016-03-15T17:30,63.94,64.12,63.77,63.84,1364533
2016-03-16T13:30,63.47,64.54,63.34,64.23,1580588
2016-03-16T17:30,64.23,65.02,64.17,64.63,1678259
2016-03-17T13:30,64.36,65.01,63.97,64.98,2380296
2016-03-17T17:30,64.97,65.14,64.57,65.12,2053071
2016-03-18T13:30,65.84,67.01,65.53,66.55,8706678
2016-03-18T17:30,66.56,66.7,66.31,66.35,3740854
2016-03-21T13:30,65.81,66.07,65.14,65.33,8086117
2016-03-21T17:30,65.34,65.68,65.19,65.56,4122540
2016-03-22T13:30,64.29,64.48,63.48,64.2,4420800
2016-03-22T17:30,64.2,64.65,64.1,64.32,2595735
2016-03-23T13:30,63.98,64.24,63.03,63.29,4602792
2016-03-23T17:30,63.29,63.32,62.75,63.12,2149660
2016-03-24T13:30,62.6,63.23,62.01,62.49,2677037
2016-03-24T17:30,62.5,62.63,62.22,62.25,2559365
2016-03-28T13:30,63.64,65.15,63.49,64.63,4779617
2016-03-28T17:30,64.63,64.79,64.56,64.72,1893712
2016-03-29T13:30,64.37,64.8,64.18,64.56,2537795
2016-03-29T17:30,64.56,64.7,64.08,64.12,2041724
2016-03-30T13:30,64.75,64.8,63.88,64.75,1422813
