date,open,high,low,close,volume
2016-01-04T14:30,57.18,57.29,55.59,56.68,157614
2016-01-04T18:30,56.66,56.76,55.47,55.77,160838
2016-01-05T14:30,55.79,56.34,54.36,54.48,185066
2016-01-05T18:30,54.37,55.25,54.37,54.81,160803
2016-01-06T14:30,54.02,54.57,53.71,54.02,146247
2016-01-06T18:30,53.99,54.17,53.6,53.91,113339
2016-01-07T14:30,53.08,54.21,52.32,52.44,182659
2016-01-07T18:30,52.43,52.59,52.09,52.35,151339
2016-01-08T14:30,52.52,53.85,52.52,53.56,279460
2016-01-08T18:30,53.54,53.61,52.37,52.53,118353
2016-01-11T14:30,52.71,53.76,52.12,53.01,78291
2016-01-11T18:30,52.97,53.95,52.78,53.54,103529
2016-01-12T14:30,54.15,54.34,53.4,53.4,107007
2016-01-12T18:30,53.38,54.25,53.14,54.14,114130
2016-01-13T14:30,54.17,54.64,53.84,54.06,92697
2016-01-13T18:30,54.05,54.05,52.9,53.28,129891
2016-01-14T14:30,53.66,54.34,53.24,54.34,91898
2016-01-14T18:30,54.38,55,54.2,54.76,188830
2016-01-15T14:30,52.97,53.45,51.57,52.11,199004
2016-01-15T18:30,52.06,52.88,52.02,52.57,161295
2016-01-19T14:30,53.08,53.73,52.32,52.39,105733
2016-01-19T18:30,52.45,52.89,51.49,52.43,212042
2016-01-20T14:30,51.83,52.66,51.1,52.21,179301
2016-01-20T18:30,52.15,54.05,52.04,53.31,196323
2016-01-21T14:30,53.7,55.12,52.21,54.91,223023
2016-01-21T18:30,54.93,55.54,54.48,54.98,209693
2016-01-22T14:30,55.89,56.54,55.41,56.39,139631
2016-01-22T18:30,56.45,56.72,56.27,56.41,134995
2016-01-25T14:30,55.91,57.19,55.9,56.63,140420
2016-01-25T18:30,56.71,56.77,56.11,56.17,230076
2016-01-26T14:30,56.41,56.72,56.03,56.37,156632
2016-01-26T18:30,56.37,56.47,55.85,56.14,76087
2016-01-27T14:30,55.77,56.02,55.2,55.5,46955
2016-01-27T18:30,55.42,55.55,54.48,54.63,104240
2016-01-28T14:30,55.34,55.56,54.98,55.17,70826
2016-01-28T18:30,55.13,55.37,54.99,55.3,104918
2016-01-29T14:30,55.76,57.25,55.6,57.11,104380
2016-01-29T18:30,57.13,57.41,56.81,57.29,199480
2016-02-01T14:30,57.2,57.52,55.74,57.37,75619
2016-02-01T18:30,57.3,57.52,57.03,57.04,102865
2016-02-02T14:30,56.29,56.71,53.52,53.63,234874
2016-02-02T18:30,53.57,54.04,53.23,54,169229
