date,open,high,low,close,volume
2016-01-04T14:30,7.955,8.065,7.918,8.037,3114420
2016-01-04T18:30,8.037,8.106,8.01,8.083,3154715
2016-01-05T14:30,8.019,8.12,7.836,7.863,2232532
2016-01-05T18:30,7.872,7.918,7.799,7.817,2335981
2016-01-06T14:30,7.735,7.744,7.432,7.446,3025493
2016-01-06T18:30,7.446,7.487,7.368,7.395,2438089
2016-01-07T14:30,7.267,7.496,7.202,7.432,3542820
2016-01-07T18:30,7.432,7.487,7.404,7.459,2738752
2016-01-08T14:30,7.652,7.652,7.487,7.533,3225508
2016-01-08T18:30,7.533,7.597,7.505,7.547,2423487
2016-01-11T14:30,7.597,7.67,7.551,7.551,2929857
2016-01-11T18:30,7.551,7.647,7.496,7.638,1989718
2016-01-12T14:30,7.716,7.936,7.652,7.67,3184652
2016-01-12T18:30,7.67,7.817,7.615,7.785,1789672
2016-01-13T14:30,7.808,7.932,7.67,7.68,2387699
2016-01-13T18:30,7.68,7.698,7.478,7.606,3111269
2016-01-14T14:30,7.588,7.79,7.455,7.625,2537033
2016-01-14T18:30,7.625,7.698,7.611,7.661,1528402
2016-01-15T14:30,7.441,7.56,7.303,7.349,3779227
2016-01-15T18:30,7.345,7.505,7.303,7.441,2790852
2016-01-19T14:30,7.735,7.735,7.193,7.198,3510876
2016-01-19T18:30,7.202,7.248,7.092,7.129,2122129
2016-01-20T14:30,7.046,7.056,6.79,6.968,3504713
2016-01-20T18:30,6.968,7.34,6.968,7.267,2465663
2016-01-21T14:30,7.285,7.512,7.138,7.45,3377834
2016-01-21T18:30,7.45,7.487,7.34,7.446,3784181
2016-01-22T14:30,7.569,7.652,7.459,7.514,1811037
2016-01-22T18:30,7.524,7.606,7.496,7.505,1930345
2016-01-25T14:30,7.459,7.634,7.409,7.482,2264451
2016-01-25T18:30,7.482,7.524,7.459,7.496,1822251
2016-01-26T14:30,7.514,7.716,7.478,7.698,2174073
2016-01-26T18:30,7.698,7.725,7.597,7.638,2093801
2016-01-27T14:30,7.579,7.689,7.368,7.615,1591100
2016-01-27T18:30,7.615,7.67,7.505,7.519,3028650
2016-01-28T14:30,7.579,7.661,7.501,7.588,2759076
2016-01-28T18:30,7.588,7.698,7.579,7.698,1686550
2016-01-29T14:30,7.68,7.936,7.68,7.9,2567291
2016-01-29T18:30,7.9,8.129,7.891,8.12,3186842
2016-02-01T14:30,7.992,8.074,7.845,8.074,1887135
2016-02-01T18:30,8.074,8.34,8.065,8.193,4604450
2016-02-02T14:30,8.12,8.212,7.918,7.992,3623971
2016-02-02T18:30,7.992,8.074,7.918,7.955,4771666
2016-02-03T14:30,8.267,8.487,7.918,8.404,7498362
2016-02-03T18:30,8.404,8.542,8.391,8.505,6659819
2016-02-04T14:30,8.368,8.716,8.259,8.519,2601115
2016-02-04T18:30,8.519,8.56,8.478,8.524,1313399
2016-02-05T14:30,8.56,8.56,8.212,8.322,2126054
2016-02-05T18:30,8.322,8.322,8.203,8.221,1751515
2016-02-08T14:30,8.184,8.221,8.01,8.01,2711321
2016-02-08T18:30,8.01,8.166,8.001,8.111,1856447
2016-02-09T14:30,7.964,8.175,7.909,8.033,2212611
2016-02-09T18:30,8.028,8.069,7.969,7.982,1893505
2016-02-10T14:30,8.001,8.147,7.836,7.969,3237012
2016-02-10T18:30,7.969,8.019,7.854,7.868,1239644
2016-02-11T14:30,7.799,7.863,7.634,7.735,1897310
2016-02-11T18:30,7.725,7.78,7.652,7.716,1597265
2016-02-12T14:30,7.744,8.01,7.725,7.9,1070060
2016-02-12T18:30,7.909,7.982,7.881,7.881,1113561
2016-02-16T14:30,7.946,8.276,7.946,8.253,1449708
2016-02-16T18:30,8.253,8.368,8.248,8.368,1405569
2016-02-17T14:30,8.45,8.615,8.349,8.533,2838545
2016-02-17T18:30,8.542,8.57,8.469,8.533,1530202
2016-02-18T14:30,8.79,8.964,8.45,8.62,3109054
2016-02-18T18:30,8.62,8.689,8.505,8.524,1987288
2016-02-19T14:30,8.542,8.597,8.359,8.423,1820492
2016-02-19T18:30,8.414,8.423,8.303,8.404,1982231
2016-02-22T14:30,8.386,8.615,8.386,8.505,1578655
2016-02-22T18:30,8.505,8.57,8.496,8.533,2282460
2016-02-23T14:30,8.514,8.606,8.455,8.501,2729304
2016-02-23T18:30,8.496,8.625,8.482,8.492,1596197
2016-02-24T14:30,8.414,8.735,8.336,8.725,1905459
2016-02-24T18:30,8.726,8.748,8.634,8.698,2062029
2016-02-25T14:30,8.726,8.799,8.524,8.744,2022733
2016-02-25T18:30,8.744,8.771,8.707,8.758,924141
2016-02-26T14:30,8.808,8.845,8.675,8.753,3654209
2016-02-26T18:30,8.753,8.799,8.716,8.753,2834710
2016-02-29T14:30,8.79,8.927,8.726,8.872,1615368
2016-02-29T18:30,8.872,8.909,8.753,8.762,1252483
2016-03-01T14:30,8.992,9.128,8.909,8.946,3398824
2016-03-01T18:30,8.946,9.005,8.909,8.955,2591053
2016-03-02T14:30,8.946,9.175,8.893,9.148,3432216
2016-03-02T18:30,9.148,9.189,9.097,9.12,4434722
2016-03-03T14:30,9.138,9.193,8.923,8.932,2474198
2016-03-03T18:30,8.927,8.996,8.891,8.992,2026296
2016-03-04T14:30,8.817,9.037,8.726,8.909,2054731
2016-03-04T18:30,8.909,8.964,8.863,8.946,1268129
2016-03-07T14:30,9.184,9.294,8.973,9.248,2980189
2016-03-07T18:30,9.239,9.349,9.212,9.336,2547960
2016-03-08T14:30,9.001,9.221,8.9,9.079,2713550
2016-03-08T18:30,9.079,9.138,9.028,9.037,1334117
2016-03-09T14:30,9.083,9.083,8.918,9.047,1530335
2016-03-09T18:30,9.047,9.074,9.001,9.051,1725149
2016-03-10T14:30,9.102,9.157,9.01,9.083,2899031
2016-03-10T18:30,9.083,9.193,9.07,9.175,1273355
2016-03-11T14:30,9.193,9.386,9.193,9.359,1334813
2016-03-11T18:30,9.359,9.446,9.317,9.441,1412256
2016-03-14T13:30,9.313,9.469,9.313,9.432,1422508
2016-03-14T17:30,9.434,9.478,9.414,9.423,2312002
2016-03-15T13:30,9.349,9.395,9.33,9.368,1820310
2016-03-15T17:30,9.368,9.391,9.349,9.377,1016131
2016-03-16T13:30,9.322,9.446,9.294,9.359,1520938
2016-03-16T17:30,9.359,9.533,9.349,9.423,1840844
2016-03-17T13:30,9.276,9.505,9.248,9.423,1526090
