date,open,high,low,close,volume
2016-01-04T14:30,20.01,20.08,19.78,19.97,2610577
2016-01-04T18:30,19.97,20.01,19.75,19.9,1581702
2016-01-05T14:30,19.96,20.03,19.41,19.46,2119858
2016-01-05T18:30,19.46,19.52,19.4,19.43,1852504
2016-01-06T14:30,19.11,19.34,19.02,19.11,2062142
2016-01-06T18:30,19.11,19.15,18.96,19.02,1479869
2016-01-07T14:30,18.61,18.85,18,18.1,3445937
2016-01-07T18:30,18.1,18.11,17.84,18.01,2608418
2016-01-08T14:30,18.08,18.16,17.67,17.95,2539663
2016-01-08T18:30,17.95,17.99,17.7,17.72,1599069
2016-01-11T14:30,17.88,17.88,17.31,17.46,1915305
2016-01-11T18:30,17.46,17.8,17.44,17.71,1945831
2016-01-12T14:30,17.88,17.95,17.23,17.27,2056435
2016-01-12T18:30,17.26,17.47,17.18,17.42,1698030
2016-01-13T14:30,17.54,17.96,17.36,17.38,3079309
2016-01-13T18:30,17.38,17.44,17.24,17.35,2809941
2016-01-14T14:30,17.45,18.01,17.44,17.97,3298824
2016-01-14T18:30,17.97,18.05,17.86,17.89,1995652
2016-01-15T14:30,17.21,17.34,16.54,16.66,3524813
2016-01-15T18:30,16.66,17.25,16.64,17.14,3219368
2016-01-19T14:30,17.4,17.4,16.74,16.81,2645145
2016-01-19T18:30,16.81,16.81,16.4,16.52,2264914
2016-01-20T14:30,16.31,16.56,15.92,16.17,2107183
2016-01-20T18:30,16.17,16.61,16.17,16.45,1506809
2016-01-21T14:30,16.54,16.8,16.27,16.56,1798281
2016-01-21T18:30,16.55,16.59,16.34,16.46,1530640
2016-01-22T14:30,16.79,17.06,16.44,16.49,1602845
2016-01-22T18:30,16.5,16.59,16.47,16.57,1204775
2016-01-25T14:30,16.61,16.62,16.32,16.6,1757630
2016-01-25T18:30,16.6,16.62,16.32,16.35,1393947
2016-01-26T14:30,16.38,16.99,16.37,16.97,2081211
2016-01-26T18:30,16.96,17.01,16.82,16.97,2915513
2016-01-27T14:30,16.86,17.14,16.6,16.7,1889887
2016-01-27T18:30,16.7,16.81,16.36,16.42,1694633
2016-01-28T14:30,16.58,16.66,16.37,16.56,2023555
2016-01-28T18:30,16.56,16.6,16.4,16.55,1391229
2016-01-29T14:30,16.69,17.24,16.48,16.94,1845195
2016-01-29T18:30,16.94,17,16.85,16.9,2606543
2016-02-01T14:30,16.71,16.85,16.47,16.77,1678930
2016-02-01T18:30,16.76,16.87,16.68,16.83,1720776
2016-02-02T14:30,16.71,16.92,16.6,16.8,1796061
2016-02-02T18:30,16.8,16.8,16.57,16.61,1473925
2016-02-03T14:30,16.99,17.15,16.42,16.92,2086240
2016-02-03T18:30,16.91,17.23,16.85,17.11,1649421
2016-02-04T14:30,16.77,17.84,16.54,17.41,2304090
2016-02-04T18:30,17.41,17.48,17.31,17.4,1138979
2016-02-05T14:30,17.31,17.78,17.29,17.38,1813965
2016-02-05T18:30,17.38,17.48,17.34,17.44,2036728
2016-02-08T14:30,17.21,17.4,17.09,17.11,2433745
2016-02-08T18:30,17.11,17.29,16.97,17.22,1679782
2016-02-09T14:30,17.07,17.44,16.99,17.04,1584503
2016-02-09T18:30,17.04,17.24,16.95,16.97,1525622
2016-02-10T14:30,17.15,17.62,17.03,17.5,2604211
2016-02-10T18:30,17.51,17.53,17.23,17.24,1529349
2016-02-11T14:30,16.92,16.98,16.35,16.48,2640033
2016-02-11T18:30,16.47,16.86,16.42,16.74,2463660
2016-02-12T14:30,16.37,16.84,16.1,16.76,2590827
2016-02-12T18:30,16.76,16.99,16.74,16.87,2277917
2016-02-16T14:30,17.01,17.57,16.86,17.51,2759775
2016-02-16T18:30,17.51,17.83,17.49,17.79,2221676
2016-02-17T14:30,17.88,18.19,17.85,18.01,2623847
2016-02-17T18:30,18.01,18.23,17.87,18.14,2632830
2016-02-18T14:30,17.7,18.75,17.65,18.34,6597840
2016-02-18T18:30,18.33,18.62,18.22,18.44,2870341
2016-02-19T14:30,18.42,19,18.26,18.82,2775325
2016-02-19T18:30,18.82,19.11,18.77,18.99,3875696
2016-02-22T14:30,19.16,19.62,19.16,19.32,1894213
2016-02-22T18:30,19.32,19.39,19.22,19.24,1794445
2016-02-23T14:30,19.08,19.18,18.82,18.85,2385951
2016-02-23T18:30,18.85,18.92,18.72,18.74,1777893
2016-02-24T14:30,18.6,18.99,18.4,18.98,2124364
2016-02-24T18:30,18.98,19.3,18.95,19.26,2287882
2016-02-25T14:30,19.24,19.24,18.83,18.95,2001477
2016-02-25T18:30,18.95,19.02,18.85,18.98,1710447
2016-02-26T14:30,19.17,19.69,18.79,19.59,1788395
2016-02-26T18:30,19.59,19.61,19.32,19.36,1674446
2016-02-29T14:30,19.29,19.37,19.11,19.2,2026821
2016-02-29T18:30,19.2,19.28,19.14,19.14,1808432
2016-03-01T14:30,19.29,19.87,19.18,19.79,1730013
2016-03-01T18:30,19.8,19.82,19.67,19.68,1118401
2016-03-02T14:30,19.54,19.92,19.4,19.72,1594340
2016-03-02T18:30,19.72,19.8,19.66,19.8,985525
2016-03-03T14:30,19.84,20.1,19.59,20.04,1629389
2016-03-03T18:30,20.05,20.16,20.03,20.1,1240083
2016-03-04T14:30,20.13,20.32,19.9,20.14,1693081
2016-03-04T18:30,20.15,20.15,19.82,20.03,2093933
2016-03-07T14:30,19.89,21,19.69,20.77,3360971
2016-03-07T18:30,20.78,20.82,20.65,20.7,2060548
2016-03-08T14:30,20.49,20.6,19.94,20.2,1605533
2016-03-08T18:30,20.2,20.3,19.94,20,1322948
2016-03-09T14:30,20.15,20.47,20.1,20.34,1745610
2016-03-09T18:30,20.35,20.45,20.16,20.16,2055686
