date,open,high,low,close,volume
2020-12-04T14:30,5.95,6.5,5.7,6.29,747840
2020-12-04T18:30,6.2,6.29,6.1,6.2,283818
2020-12-07T14:30,6.53,6.53,5.95,6.08,100463
2020-12-07T18:30,6.09,6.24,6.07,6.07,29821
2020-12-08T14:30,6.18,6.18,5.96,6.1,54015
2020-12-08T18:30,6.1,6.1,5.95,6,25843
2020-12-09T14:30,6,6.09,5.86,6,64571
2020-12-09T18:30,5.9801,6.02,5.98,6.02,9530
2020-12-10T14:30,6.01,6.06,5.9,6,52368
2020-12-10T18:30,6.015,6.03,5.99,6,29921
2020-12-11T14:30,6.07,6.125,5.992,6,107697
2020-12-11T18:30,6,6.04,5.97,5.99,36424
2020-12-14T14:30,6.09,6.15,5.9,5.97,160710
2020-12-14T18:30,5.97,6.05,5.91,5.95,98036
2020-12-15T14:30,6,6.0825,5.92,6.02,106421
2020-12-15T18:30,6.02,6.24,5.925,6,255375
2020-12-16T14:30,5.99,6.25,5.975,6.245,191688
2020-12-16T18:30,6.24,6.245,5.95,6.16,42312
2020-12-17T14:30,6.26,8.64,6.05,7.39,562026
2020-12-17T18:30,7.4384,7.49,7,7.25,133540
2020-12-18T14:30,7.5,7.69,6.26,6.86,221393
2020-12-18T18:30,6.8248,7.25,6.7,6.77,95323
2020-12-21T14:30,6.47,6.94,6.025,6.339,76803
2020-12-21T18:30,6.34,7,6.335,6.45,71076
2020-12-22T14:30,6.46,8,6.45,7.47,144413
2020-12-22T18:30,7.43,7.49,6.79,6.95,25080
2020-12-23T14:30,7.47,9.75,7,7.4,1713586
2020-12-23T18:30,7.4,7.91,6.85,7.55,238406
2020-12-24T14:30,7.34,7.87,7.15,7.65,110582
2020-12-24T18:30,7.24,7.24,7.24,7.24,245
2020-12-28T14:30,7.89,8.3,7.25,8.04,258808
2020-12-28T18:30,8.02,8.75,7.99,8.59,133219
2020-12-29T14:30,8.57,9.49,8.2904,8.75,655251
2020-12-29T18:30,8.72,8.753,7.99,8,147184
2020-12-30T14:30,8.12,9.399,8,9.28,177426
2020-12-30T18:30,9.28,10.7399,9.2,9.5,291696
2020-12-31T14:30,9.54,9.99,9.1,9.17,143115
2020-12-31T18:30,9.19,9.55,9.0301,9.39,40296
2021-01-04T14:30,9.49,9.85,8.5444,8.89,158625
2021-01-04T18:30,8.87,9.4,8.7502,9.06,61880
2021-01-05T14:30,8.79,9.661,8.6255,9.41,157320
2021-01-05T18:30,9.45,9.59,9.2451,9.39,118650
2021-01-06T14:30,9.5,9.52,8.72,8.915,160946
2021-01-06T18:30,8.915,9.2,8.66,8.73,87782
2021-01-07T14:30,8.85,9.845,8.85,9.01,162896
2021-01-07T18:30,9.235,9.45,8.89,9.03,44420
2021-01-08T14:30,8.85,9.379,8.85,9.22,70285
2021-01-08T18:30,9.24,9.265,8.95,9.24,42309
2021-01-11T14:30,9.28,9.38,8.93,9.1585,113153
2021-01-11T18:30,9.2325,9.4,8.93,9.37,50584
2021-01-12T14:30,9.24,9.44,8.86,9.25,203868
2021-01-12T18:30,9.2499,10,9.2042,9.86,205717
2021-01-13T14:30,10,14.9,9.26,12.09,2257439
2021-01-13T18:30,12.1,12.58,11.62,12.28,606256
2021-01-14T14:30,13.25,13.42,11.69,12.18,385897
2021-01-14T18:30,12.2,12.37,11.83,11.99,129542
2021-01-15T14:30,12.49,14.25,12.02,13.5501,700121
2021-01-15T18:30,13.5501,13.65,12.2,12.643,273751
2021-01-19T14:30,12.89,14.15,12.1202,13.9,392705
2021-01-19T18:30,13.9,14.5,13.727,14.06,176445
2021-01-20T14:30,14.18,14.25,12.75,13.45,309417
2021-01-20T18:30,13.49,13.5,13.15,13.46,74358
2021-01-21T14:30,13.23,13.61,12.05,13.49,170546
2021-01-21T18:30,13.5,13.52,13,13.12,75876
