date,open,high,low,close,volume
2016-01-04T14:30,37.18,37.26,36.66,36.88,1365003
2016-01-04T18:30,36.87,36.89,36.49,36.86,1372970
2016-01-05T14:30,37.09,37.19,36.67,36.72,1276373
2016-01-05T18:30,36.71,36.91,36.64,36.83,1410321
2016-01-06T14:30,36.38,36.59,36.32,36.42,1125920
2016-01-06T18:30,36.42,36.48,36.24,36.31,1105260
2016-01-07T14:30,34.63,35.29,34.15,34.68,4679656
2016-01-07T18:30,34.68,34.78,34.46,34.62,2502909
2016-01-08T14:30,34.69,34.87,34.03,34.39,3110693
2016-01-08T18:30,34.39,34.51,33.93,34,1971009
2016-01-11T14:30,34.22,34.26,33.66,33.67,2643852
2016-01-11T18:30,33.66,34.03,33.55,33.9,2378505
2016-01-12T14:30,34.05,34.08,33.45,33.54,2446700
2016-01-12T18:30,33.54,34,33.52,33.93,2564069
2016-01-13T14:30,34.13,34.13,33.54,33.65,2037545
2016-01-13T18:30,33.65,33.7,33.13,33.17,1707003
2016-01-14T14:30,33.37,33.83,33.23,33.76,1289060
2016-01-14T18:30,33.77,34.09,33.67,33.83,1285636
2016-01-15T14:30,32.92,33.44,32.92,33.15,1953851
2016-01-15T18:30,33.15,33.47,33.1,33.38,1179258
2016-01-19T14:30,33.92,34,33.59,33.88,2174711
2016-01-19T18:30,33.88,34.06,33.64,33.96,1748932
2016-01-20T14:30,33.52,33.77,32.72,32.86,2261785
2016-01-20T18:30,32.86,33.6,32.85,33.35,1839359
2016-01-21T14:30,33.51,34.18,33.06,33.97,2406806
2016-01-21T18:30,33.98,34.09,33.71,33.88,1845958
2016-01-22T14:30,34.45,34.92,34.22,34.36,2597298
2016-01-22T18:30,34.37,34.48,34.25,34.45,1259066
2016-01-25T14:30,34.35,34.43,34.14,34.24,1191112
2016-01-25T18:30,34.25,34.26,33.82,33.89,791287
2016-01-26T14:30,34.13,34.32,33.91,34.07,1094026
2016-01-26T18:30,34.09,34.11,33.95,34.11,794460
2016-01-27T14:30,34.11,34.33,33.87,34.07,1020843
2016-01-27T18:30,34.07,34.21,33.44,33.6,1384167
2016-01-28T14:30,34.04,34.04,33.33,33.54,1275836
2016-01-28T18:30,33.53,33.7,33.44,33.5,1305337
2016-01-29T14:30,33.78,34.05,33.66,33.84,1606473
2016-01-29T18:30,33.85,34.53,33.83,34.53,1708670
2016-02-01T14:30,34.43,34.82,34.2,34.8,1767103
2016-02-01T18:30,34.8,34.95,34.71,34.89,1191193
2016-02-02T14:30,34.48,34.68,34.12,34.53,3344268
2016-02-02T18:30,34.53,34.89,34.33,34.88,2984714
2016-02-03T14:30,34.97,35.11,34.21,34.44,2471065
2016-02-03T18:30,34.43,34.74,34.19,34.69,2322191
2016-02-04T14:30,34.46,34.99,34.23,34.6,1577199
2016-02-04T18:30,34.59,34.63,34.16,34.58,1343430
2016-02-05T14:30,34.61,34.75,33.75,33.89,1708308
2016-02-05T18:30,33.88,33.97,33.71,33.94,1693061
2016-02-08T14:30,33.42,33.66,33.06,33.44,1937704
2016-02-08T18:30,33.45,33.86,33.1,33.77,1799751
2016-02-09T14:30,33.46,34,33.44,33.54,1596395
2016-02-09T18:30,33.55,33.96,33.5,33.65,1437868
2016-02-10T14:30,34.08,34.48,33.88,34.1,1560427
2016-02-10T18:30,34.09,34.24,33.78,33.88,957544
2016-02-11T14:30,33.25,34.22,33.24,34.17,2044462
2016-02-11T18:30,34.17,34.73,33.98,34.43,2968933
2016-02-12T14:30,34.87,35.45,34.57,35.22,1779145
2016-02-12T18:30,35.22,35.32,35.13,35.31,1065030
2016-02-16T14:30,35.54,36.11,35.08,36.08,1176030
2016-02-16T18:30,36.08,36.12,35.93,36.06,1284207
2016-02-17T14:30,36.11,36.61,36.11,36.55,1173742
2016-02-17T18:30,36.55,36.55,36.38,36.51,1039931
2016-02-18T14:30,36.33,36.81,36.25,36.65,1062155
2016-02-18T18:30,36.64,36.78,36.54,36.68,1184855
2016-02-19T14:30,36.55,37.01,36.4,36.74,1018134
2016-02-19T18:30,36.75,36.98,36.75,36.97,912234
2016-02-22T14:30,37.2,37.47,37.1,37.31,1107106
2016-02-22T18:30,37.32,37.47,37.29,37.45,869228
2016-02-23T14:30,37.17,37.56,37.15,37.36,781957
2016-02-23T18:30,37.36,37.36,37.05,37.09,664818
2016-02-24T14:30,36.89,37,36.55,36.82,779682
2016-02-24T18:30,36.83,37.28,36.8,37.25,706316
2016-02-25T14:30,37.3,37.41,37.07,37.3,630468
2016-02-25T18:30,37.31,37.63,37.31,37.63,631453
2016-02-26T14:30,37.87,37.87,37.27,37.33,669131
2016-02-26T18:30,37.33,37.39,37.19,37.28,831776
2016-02-29T14:30,37.25,37.57,37.15,37.41,574415
2016-02-29T18:30,37.41,37.46,37.06,37.09,783121
2016-03-01T14:30,37.44,37.84,37.27,37.82,1032205
2016-03-01T18:30,37.82,37.95,37.72,37.95,727697
2016-03-02T14:30,37.81,37.85,37.46,37.64,954477
2016-03-02T18:30,37.64,37.69,37.56,37.66,1109855
2016-03-03T14:30,37.62,37.86,37.38,37.63,726128
2016-03-03T18:30,37.64,37.85,37.51,37.84,1049449
2016-03-04T14:30,37.9,38,37.52,37.96,787961
2016-03-04T18:30,37.95,38.09,37.82,37.93,658943
2016-03-07T14:30,37.69,38.1,37.51,37.87,712102
2016-03-07T18:30,37.87,38,37.74,37.94,731557
2016-03-08T14:30,37.44,37.86,37.41,37.79,642462
2016-03-08T18:30,37.8,37.86,37.51,37.56,607499
2016-03-09T14:30,37.74,37.78,37.48,37.5,653471
2016-03-09T18:30,37.5,37.64,37.5,37.61,631706
2016-03-10T14:30,37.72,38.05,37.1,37.21,826362
2016-03-10T18:30,37.21,37.48,37.13,37.42,625289
2016-03-11T14:30,37.86,38.21,37.51,38.17,684824
2016-03-11T18:30,38.16,38.28,38.16,38.2,846102
2016-03-14T13:30,38.02,38.29,37.9,38.18,568026
2016-03-14T17:30,38.18,38.31,38.13,38.24,622564
