date,open,high,low,close,volume
2016-01-04T14:30,54.6,55.06,53.35,53.57,1588094
2016-01-04T18:30,53.58,53.85,53.44,53.85,1294854
2016-01-05T14:30,53.92,54.59,53.82,54.15,1511934
2016-01-05T18:30,54.13,54.56,54.01,54.46,1124412
2016-01-06T14:30,53.19,53.79,52.32,52.38,2043567
2016-01-06T18:30,52.37,52.82,52.17,52.44,1883959
2016-01-07T14:30,51.55,52.51,51.06,51.4,3183017
2016-01-07T18:30,51.38,51.69,51.14,51.38,2693329
2016-01-08T14:30,51.71,51.89,50.79,50.98,3295693
2016-01-08T18:30,50.98,51.28,50.52,50.56,2280303
2016-01-11T14:30,51,52.11,50.12,50.19,2411162
2016-01-11T18:30,50.15,51.38,50,51.19,1576435
2016-01-12T14:30,51.31,52.51,51.1,51.22,2439254
2016-01-12T18:30,51.2,52.7,51.18,52.33,2623053
2016-01-13T14:30,53.05,53.07,50.96,51.03,3857619
2016-01-13T18:30,51,51.1,50.11,50.58,2250038
2016-01-14T14:30,51.05,53.09,49.97,52.95,3052643
2016-01-14T18:30,52.96,53.84,52.76,53.28,1959037
2016-01-15T14:30,51.71,52.83,51.51,52.17,2913500
2016-01-15T18:30,52.16,52.84,52.08,52.75,2228480
2016-01-19T14:30,54.04,54.22,52.84,52.89,2356227
2016-01-19T18:30,52.88,53.21,52.09,52.9,2019922
2016-01-20T14:30,51.7,52.09,50.67,50.93,2936219
2016-01-20T18:30,50.92,52.58,50.92,51.71,1986815
2016-01-21T14:30,51.57,51.92,50.62,51.27,2513340
2016-01-21T18:30,51.26,51.53,50.92,51.11,1551995
2016-01-22T14:30,52.74,54.01,52.17,53.98,2224922
2016-01-22T18:30,53.99,54.39,53.49,53.8,1599707
2016-01-25T14:30,53.16,53.61,52.12,52.23,2196783
2016-01-25T18:30,52.24,52.36,51.21,51.27,1758358
2016-01-26T14:30,51.71,52.14,51.22,52,1579833
2016-01-26T18:30,52.01,52.31,51.65,52.28,1318160
2016-01-27T14:30,51.86,53.63,51.38,53.12,2436113
2016-01-27T18:30,53.13,53.47,51.64,52.25,2133343
2016-01-28T14:30,53.27,53.79,51.77,52.61,3079949
2016-01-28T18:30,52.58,52.99,52.41,52.85,1864217
2016-01-29T14:30,52.51,53.11,50.96,52.34,3586082
2016-01-29T18:30,52.35,53.94,52.24,53.88,2738851
2016-02-01T14:30,53.57,54.23,52.32,53.15,2631267
2016-02-01T18:30,53.15,53.89,53.05,53.42,1563708
2016-02-02T14:30,52.83,53.41,52.31,52.88,2319881
2016-02-02T18:30,52.87,52.9,52.47,52.78,1508458
2016-02-03T14:30,53.45,53.74,51.61,52.56,4302652
2016-02-03T18:30,52.57,53.22,52.03,53.2,2774232
2016-02-04T14:30,53.17,54.32,52.84,54.24,3146732
2016-02-04T18:30,54.24,54.4,53.34,53.7,2307077
2016-02-05T14:30,53.52,54.11,53.01,53.17,2330195
2016-02-05T18:30,53.16,53.24,52.39,52.66,2109232
2016-02-08T14:30,52.66,52.66,49.28,50.22,5305461
2016-02-08T18:30,50.23,51.68,50.07,51.28,2436656
2016-02-09T14:30,50.83,51.16,50.2,50.55,2442385
2016-02-09T18:30,50.55,51.51,50.36,50.72,1626251
2016-02-10T14:30,51.2,51.84,50.2,50.56,2209713
2016-02-10T18:30,50.56,51.13,50.44,50.61,1523214
2016-02-11T14:30,49.95,50.83,49.32,49.36,3024771
2016-02-11T18:30,49.36,49.82,48.59,49.34,3799131
2016-02-12T14:30,50.12,51.02,50.02,50.51,2317691
2016-02-12T18:30,50.5,51,50.38,50.89,1504678
2016-02-16T14:30,52.05,52.52,51.38,52.45,2783317
2016-02-16T18:30,52.45,53.02,52.37,52.99,2086138
2016-02-17T14:30,53.69,54.79,53.43,54.59,2411867
2016-02-17T18:30,54.58,54.67,54.3,54.59,1774597
2016-02-18T14:30,55.1,55.37,53.44,54.05,2311578
2016-02-18T18:30,54.05,54.4,53.73,53.8,1633095
2016-02-19T14:30,53.34,54.29,53.1,54.02,1660328
2016-02-19T18:30,54.02,54.31,53.76,54.25,1244143
2016-02-22T14:30,54.95,55.15,54.26,54.5,1749198
2016-02-22T18:30,54.51,54.9,54.49,54.76,1240347
2016-02-23T14:30,54.46,54.6,53.39,53.55,1968969
2016-02-23T18:30,53.54,53.61,53.19,53.21,1107739
2016-02-24T14:30,52.51,53.56,52.39,53.47,1907547
2016-02-24T18:30,53.48,53.61,53.18,53.56,1521666
2016-02-25T14:30,53.69,53.73,52.58,52.95,1820614
2016-02-25T18:30,52.94,53.36,52.94,53.34,1272318
2016-02-26T14:30,53.86,54.32,53.46,53.94,1413711
2016-02-26T18:30,53.94,53.97,53.46,53.57,870984
2016-02-29T14:30,53.77,54.45,53.46,54.18,1265247
2016-02-29T18:30,54.18,54.26,53.51,53.75,1137063
2016-03-01T14:30,54.19,56.19,53.98,56.12,2219644
2016-03-01T18:30,56.12,56.76,56.11,56.5,2971687
2016-03-02T14:30,56.36,57.3,56.11,56.54,1927409
2016-03-02T18:30,56.52,57.33,56.42,57.27,1429768
2016-03-03T14:30,57.53,58.48,57.27,58.36,1979339
2016-03-03T18:30,58.36,58.65,58.25,58.33,1548905
2016-03-04T14:30,58.59,58.66,57.61,58.44,1415243
2016-03-04T18:30,58.42,58.58,57.47,58.1,1278801
2016-03-07T14:30,57.83,59.49,57.62,59.29,2040840
2016-03-07T18:30,59.3,59.47,58.73,59.18,1375249
2016-03-08T14:30,58.93,59.44,57.74,57.97,1510103
2016-03-08T18:30,57.95,58.36,57.41,57.44,1192556
2016-03-09T14:30,57.93,59.09,57.71,58.03,1649814
2016-03-09T18:30,58.03,58.6,58.02,58.29,988313
2016-03-10T14:30,58.29,58.3,56.98,57.39,1344322
2016-03-10T18:30,57.39,58.06,57.29,57.85,871588
2016-03-11T14:30,58.42,58.75,57.65,58.44,1117508
2016-03-11T18:30,58.44,58.67,58.25,58.53,951276
2016-03-14T13:30,58.03,58.5,57.77,58.35,1082431
2016-03-14T17:30,58.35,58.59,58.25,58.35,735116
2016-03-15T13:30,57.57,58.27,57.51,58.25,979807
2016-03-15T17:30,58.25,58.71,58.25,58.66,890627
2016-03-16T13:30,58.68,59.34,58.5,58.82,1218266
2016-03-16T17:30,58.82,59.54,58.69,59.32,958305
2016-03-17T13:30,59.61,59.98,58.55,59.89,1216287
2016-03-17T17:30,59.9,60.05,59.74,59.86,919698
2016-03-18T13:30,60.15,60.72,59.7,59.98,2212733
2016-03-18T17:30,59.99,60.6,59.86,60.56,1385191
2016-03-21T13:30,60.45,60.83,60.36,60.74,1028328
2016-03-21T17:30,60.75,60.93,60.64,60.73,846286
2016-03-22T13:30,60.7,61.55,60.3,61.5,1152258
2016-03-22T17:30,61.51,61.51,61.02,61.05,733935
2016-03-23T13:30,60.91,60.92,59.67,59.76,1038953
2016-03-23T17:30,59.76,59.83,59.53,59.66,716132
2016-03-24T13:30,58.91,59.69,58.64,59.34,1249489
2016-03-24T17:30,59.34,59.67,58.95,59.65,730002
2016-03-28T13:30,59.52,59.7,59.06,59.29,907812
2016-03-28T17:30,59.3,59.36,58.98,59.26,772369
2016-03-29T13:30,58.79,59.04,58.27,58.71,1003725
2016-03-29T17:30,58.69,59.42,58.54,59.22,740583
2016-03-30T13:30,59.74,60.02,58.94,58.96,1023608
2016-03-30T17:30,58.97,59.57,58.92,59.35,691013
2016-03-31T13:30,59.11,59.48,58.39,59.13,1132906
2016-03-31T17:30,59.15,59.28,58.62,58.66,1302625
2016-04-01T13:30,57.98,58.17,57.49,58.14,1351333
2016-04-01T17:30,58.14,58.23,57.92,58.04,925821
2016-04-04T13:30,58.04,58.7,57.77,58.17,965454
2016-04-04T17:30,58.17,58.27,57.97,58.06,589635
2016-04-05T13:30,57.63,58.04,57.04,57.24,1138901
2016-04-05T17:30,57.24,57.97,57.22,57.44,756011
2016-04-06T13:30,57.81,57.99,56.4,57.13,1875995
2016-04-06T17:30,57.15,57.65,56.92,57.59,975017
2016-04-07T13:30,57.52,57.59,56.97,57.34,792515
2016-04-07T17:30,57.34,57.35,56.78,57.22,702907
2016-04-08T13:30,58.12,58.74,57.76,58.68,1547009
2016-04-08T17:30,58.68,58.8,58.14,58.29,834046
2016-04-11T13:30,58.59,58.83,57.9,58.19,967329
2016-04-11T17:30,58.19,58.23,57.28,57.3,951854
2016-04-12T13:30,57.38,58.23,56.94,58.06,1314911
2016-04-12T17:30,58.06,58.31,57.95,58.22,1054698
2016-04-13T13:30,58.54,58.97,58.12,58.85,1079085
2016-04-13T17:30,58.86,59,58.82,58.94,803409
2016-04-14T13:30,59,59.36,58.64,58.83,965763
2016-04-14T17:30,58.84,59.01,58.76,58.85,600496
2016-04-15T13:30,58.7,58.7,57.61,57.68,1020321
2016-04-15T17:30,57.68,57.72,57.47,57.48,842941
2016-04-18T13:30,56.9,58.07,56.84,57.85,1291413
2016-04-18T17:30,57.86,58.03,57.61,58.01,881509
2016-04-19T13:30,58.06,58.59,57.77,58.2,947444
2016-04-19T17:30,58.18,58.53,58.14,58.53,787947
2016-04-20T13:30,58.19,58.83,57.45,58.83,1335621
2016-04-20T17:30,58.81,59.07,58.56,58.73,728585
2016-04-21T13:30,58.79,59.13,58.3,58.83,1126672
2016-04-21T17:30,58.83,59.37,58.74,59.21,923882
2016-04-22T13:30,59.36,59.92,59.19,59.38,1002035
2016-04-22T17:30,59.38,59.7,59.35,59.6,580869
2016-04-25T13:30,59.54,59.77,58.86,59.17,709818
2016-04-25T17:30,59.17,59.61,59.08,59.58,801133
2016-04-26T13:30,59.91,60.18,59.49,59.71,741257
2016-04-26T17:30,59.71,59.93,59.71,59.88,653695
2016-04-27T13:30,60.2,60.45,59.61,59.97,1234279
2016-04-27T17:30,59.97,60.49,59.89,60.26,881471
2016-04-28T13:30,59.85,60.32,59.63,60.09,1231356
2016-04-28T17:30,60.1,60.16,59.16,59.49,1375385
2016-04-29T13:30,57.72,58.27,54.97,55.94,4239216
2016-04-29T17:30,55.95,56.06,55.14,55.58,2429207
2016-05-02T13:30,55.84,55.84,54.17,55.08,2297774
2016-05-02T17:30,55.09,55.88,55.03,55.68,1498455
2016-05-03T13:30,54.66,54.85,53.82,54.17,2363399
2016-05-03T17:30,54.17,54.23,53.82,54.2,1636579
2016-05-04T13:30,54.12,54.45,53.17,53.39,1527162
2016-05-04T17:30,53.4,53.79,53.28,53.73,1079859
2016-05-05T13:30,54.2,54.74,53.14,53.14,1485986
2016-05-05T17:30,53.14,53.61,53.13,53.56,1109168
2016-05-06T13:30,53.31,54.31,53.06,53.21,2049053
2016-05-06T17:30,53.21,53.33,53.02,53.18,1331826
2016-05-09T13:30,53.17,53.19,52.07,52.86,1690882
2016-05-09T17:30,52.86,53.18,52.7,53.04,1115967
2016-05-10T13:30,53.35,53.98,53.28,53.52,1124350
2016-05-10T17:30,53.52,53.77,53.46,53.69,896277
2016-05-11T13:30,53.62,54.43,53.25,54.03,1377550
2016-05-11T17:30,54.03,54.1,53.73,53.77,931028
2016-05-12T13:30,54.19,54.26,52.81,52.94,1270887
2016-05-12T17:30,52.95,53.19,52.73,53.02,1125292
2016-05-13T13:30,53,53.61,52.77,53.05,1505278
2016-05-13T17:30,53.04,53.21,52.87,53.05,1263919
2016-05-16T13:30,53.49,53.69,52.72,53.54,1785999
2016-05-16T17:30,53.56,53.81,53.46,53.73,1034552
2016-05-17T13:30,53.64,54.15,53.64,53.87,1032413
2016-05-17T17:30,53.86,53.94,53.29,53.47,929781
2016-05-18T13:30,53.46,54.27,53.33,53.69,1321386
2016-05-18T17:30,53.68,53.84,53.07,53.36,889335
2016-05-19T13:30,52.95,53.23,52.36,52.83,1269906
2016-05-19T17:30,52.84,53.19,52.71,53.02,789284
2016-05-20T13:30,53.36,53.58,52.91,53.17,1132568
