date,open,high,low,close,volume
2016-01-04T14:30,77,78.6,76.9,78.49,387783
2016-01-04T18:30,78.48,78.88,78.24,78.72,510943
2016-01-05T14:30,78.6,79.94,78.6,78.92,631232
2016-01-05T18:30,78.93,79.08,78.42,78.5,541551
2016-01-06T14:30,77.74,79.82,77.62,79.3,291013
2016-01-06T18:30,79.28,79.4,78.44,78.88,359678
2016-01-07T14:30,77.64,78.78,76.6,76.78,146668
2016-01-07T18:30,76.76,77.12,76.42,76.96,189198
2016-01-08T14:30,77.56,77.68,76.98,77.22,166828
2016-01-08T18:30,77.24,77.44,76.38,76.6,208389
2016-01-11T14:30,76.78,77.8,76.68,77.3,324257
2016-01-11T18:30,77.3,78.1,76.98,77.86,229471
2016-01-12T14:30,78.16,78.22,76.02,76.2,334704
2016-01-12T18:30,76.22,77.34,75.62,77.26,289398
2016-01-13T14:30,77.4,77.7,75.68,75.68,131266
2016-01-13T18:30,75.66,75.78,74.64,74.78,175435
2016-01-14T14:30,75.3,76.84,74.5,76.68,383394
2016-01-14T18:30,76.74,77.48,76.58,77.12,327793
2016-01-15T14:30,75.44,76.6,75.22,75.82,484411
2016-01-15T18:30,75.8,76.26,75.5,75.68,376048
2016-01-19T14:30,76.18,77.28,75.72,76.8,272349
2016-01-19T18:30,76.78,77.64,75.68,77.44,396842
2016-01-20T14:30,76.04,76.76,73.8,74.96,376185
2016-01-20T18:30,75.02,76.94,75,76.1,207931
2016-01-21T14:30,76.44,76.86,74.98,76.78,283232
2016-01-21T18:30,76.8,77.52,76.62,77.1,301003
2016-01-22T14:30,78.06,80.46,77.62,79.32,402809
2016-01-22T18:30,79.34,79.7,78.7,79.5,312882
2016-01-25T14:30,79.5,79.76,78.52,79.42,188426
2016-01-25T18:30,79.46,79.58,78.9,79.31,365102
2016-01-26T14:30,79.4,80.66,78.22,80.04,248564
2016-01-26T18:30,80.1,80.46,79.3,80.22,270686
2016-01-27T14:30,80.26,80.7,79.46,80.24,135194
2016-01-27T18:30,80.26,80.38,79.2,79.76,495627
2016-01-28T14:30,80.12,81.34,78.98,80.2,349380
2016-01-28T18:30,80.16,81.2,80.04,81.18,247990
2016-01-29T14:30,81.56,84.14,81,83.02,412551
2016-01-29T18:30,82.98,84.42,82.18,84.4,476073
2016-02-01T14:30,84.16,84.16,82.44,82.94,315470
2016-02-01T18:30,82.96,83.1,82.58,82.62,353145
2016-02-02T14:30,82.2,82.32,80.4,81.5,329824
2016-02-02T18:30,81.48,81.5,80.78,81.06,334332
2016-02-03T14:30,81.56,81.68,79.1,79.86,325464
2016-02-03T18:30,79.88,80.46,79.47,80.22,409785
2016-02-04T14:30,79.86,80.16,78.62,79.46,412663
2016-02-04T18:30,79.48,80.04,79.38,79.8,287252
2016-02-05T14:30,79.56,79.8,76.34,76.42,376606
2016-02-05T18:30,76.4,76.46,74.94,75.08,459111
2016-02-08T14:30,73.9,73.9,70.32,70.36,572805
2016-02-08T18:30,70.38,70.53,69.36,70.24,552393
2016-02-09T14:30,69.06,71.08,68.72,69.36,268489
2016-02-09T18:30,69.38,71.61,69.34,71.46,441872
2016-02-10T14:30,72.24,74.02,71.52,73.44,357514
2016-02-10T18:30,73.42,74.02,72.97,73.2,339639
2016-02-11T14:30,71.82,73.41,71.5,73.08,482681
2016-02-11T18:30,73.08,73.52,72.14,72.68,397676
2016-02-12T14:30,73.62,74.02,72.66,73.04,106136
2016-02-12T18:30,73.08,74.34,72.96,74.34,148900
2016-02-16T14:30,75,78.7,74.54,78.42,334653
2016-02-16T18:30,78.44,78.6,77.68,77.98,329722
2016-02-17T14:30,78.68,78.68,77.2,77.76,184451
2016-02-17T18:30,77.74,78,77.24,77.92,237989
2016-02-18T14:30,78.44,79.4,77.65,78.48,189412
2016-02-18T18:30,78.5,78.72,77.7,78,238054
2016-02-19T14:30,77.4,77.82,75.06,77.56,249065
2016-02-19T18:30,77.6,79.5,77.54,79.28,391054
2016-02-22T14:30,79.2,81.84,78.32,79,345195
2016-02-22T18:30,79.02,79.1,78.44,79.02,218218
2016-02-23T14:30,78.14,79.66,77.86,79.56,276055
2016-02-23T18:30,79.58,79.6,78.96,79.42,304542
2016-02-24T14:30,78.6,79.82,77.3,79.34,404777
2016-02-24T18:30,79.3,79.56,78.7,79.04,302659
2016-02-25T14:30,79.18,79.3,71.22,73,1680260
2016-02-25T18:30,73,77.16,72.78,75.24,1561611
2016-02-26T14:30,75.74,76.28,73.58,73.86,429736
2016-02-26T18:30,73.86,75.48,73.76,75.24,574481
2016-02-29T14:30,74.76,75.58,74.46,75.44,369190
2016-02-29T18:30,75.44,76.46,75.33,75.88,377155
2016-03-01T14:30,76.4,77.94,75.16,76.46,244748
2016-03-01T18:30,76.48,77.04,76.42,76.6,273083
2016-03-02T14:30,76.32,76.58,73.78,74.19,231891
2016-03-02T18:30,74.18,74.72,73.5,74.7,442819
2016-03-03T14:30,74.66,74.98,73.1,74.87,293907
2016-03-03T18:30,74.88,75.44,74.88,75.38,272943
2016-03-04T14:30,75.44,76.52,74.88,76.49,248631
2016-03-04T18:30,76.52,77.22,76.38,77.2,387577
2016-03-07T14:30,76.82,77.1,75.18,76.72,569344
2016-03-07T18:30,76.72,76.82,76.12,76.36,484568
2016-03-08T14:30,76.08,77.02,75,76.14,370724
2016-03-08T18:30,76.2,76.2,75.65,75.9,190048
2016-03-09T14:30,76.64,77.82,76.32,77.76,214677
2016-03-09T18:30,77.74,77.78,77.45,77.52,259393
2016-03-10T14:30,77.54,78.32,76.22,77.2,289272
2016-03-10T18:30,77.22,77.74,76.86,77.34,226330
2016-03-11T14:30,73.4,75.68,73.16,73.33,1890197
2016-03-11T18:30,73.34,73.76,72.24,72.34,645235
2016-03-14T13:30,71.8,72.54,71.1,72.24,780911
2016-03-14T17:30,72.22,72.58,71.76,72.4,681095
2016-03-15T13:30,72.1,74.16,72.02,73.42,533921
2016-03-15T17:30,73.44,74,73.26,73.46,271091
2016-03-16T13:30,73.08,74.7,72.64,73.94,412125
2016-03-16T17:30,73.96,74.58,73.69,74.38,224558
2016-03-17T13:30,74.28,74.76,73.58,73.64,471229
2016-03-17T17:30,73.62,73.62,72.98,73.1,638983
2016-03-18T13:30,73.02,75.41,72.96,74.64,382418
2016-03-18T17:30,74.66,74.84,74.46,74.56,466683
2016-03-21T13:30,74.24,74.8,72.86,73.53,491533
2016-03-21T17:30,73.54,73.56,73.08,73.42,499836
2016-03-22T13:30,73,73.24,71.33,71.92,521128
2016-03-22T17:30,71.93,71.94,71.47,71.6,523178
2016-03-23T13:30,71.54,71.54,70.38,71.38,282303
2016-03-23T17:30,71.36,71.64,71,71.22,254394
2016-03-24T13:30,70.78,71.68,70.38,71.24,211002
2016-03-24T17:30,71.26,71.87,71.12,71.43,243940
2016-03-28T13:30,71.6,73.76,71.48,72.41,292844
2016-03-28T17:30,72.42,72.8,72.18,72.22,217857
2016-03-29T13:30,71.98,73.08,71.73,72.98,155502
2016-03-29T17:30,72.96,73.36,72.8,73.34,197466
2016-03-30T13:30,73.86,75.46,73.4,73.98,407599
2016-03-30T17:30,73.98,74.58,73.8,74.5,314794
2016-03-31T13:30,74.34,76.28,73.28,75.84,494756
2016-03-31T17:30,75.82,75.82,75.02,75.38,339728
2016-04-01T13:30,74.6,76.44,73.6,76.21,316931
2016-04-01T17:30,76.18,76.86,76.18,76.4,289151
2016-04-04T13:30,76.26,76.46,75.5,76.02,328653
2016-04-04T17:30,76.02,76.06,75.22,75.36,335272
2016-04-05T13:30,74.9,76.12,74.48,75.79,198275
2016-04-05T17:30,75.79,76.26,75.46,75.58,337173
2016-04-06T13:30,75.7,77.84,75.66,77.62,607751
2016-04-06T17:30,77.63,78.62,77.58,78.02,461481
2016-04-07T13:30,77.46,78.42,77.28,78.42,355669
2016-04-07T17:30,78.41,78.45,77.9,78.32,325521
2016-04-08T13:30,78.56,78.8,77.48,77.54,304487
2016-04-08T17:30,77.54,77.88,77.16,77.4,215067
2016-04-11T13:30,77.84,77.84,76.54,76.56,161204
2016-04-11T17:30,76.58,76.94,75.78,75.8,225047
2016-04-12T13:30,75.82,76.3,74.44,75.24,284195
2016-04-12T17:30,75.24,75.98,75.12,75.32,253297
2016-04-13T13:30,75.42,76.4,74.78,75.88,193822
2016-04-13T17:30,75.86,76.64,75.82,76.56,179008
2016-04-14T13:30,76.22,76.56,75.74,76.3,140026
2016-04-14T17:30,76.32,76.58,75.86,75.9,240377
2016-04-15T13:30,75.62,76.1,74.84,75.56,168516
2016-04-15T17:30,75.57,76.02,75.32,75.84,259169
2016-04-18T13:30,75.36,76.56,75.36,75.66,172343
2016-04-18T17:30,75.68,76,75.62,75.8,176166
2016-04-19T13:30,75.82,76.19,74.73,75.44,448899
2016-04-19T17:30,75.44,75.77,75.36,75.68,261759
2016-04-20T13:30,75.48,76.24,74.44,75.82,286282
2016-04-20T17:30,75.82,75.82,75.14,75.22,230100
2016-04-21T13:30,75.42,75.74,74.62,75.33,171505
2016-04-21T17:30,75.32,75.58,75.11,75.2,237997
2016-04-22T13:30,75.06,76.08,74.91,75.5,185772
2016-04-22T17:30,75.52,75.82,75.4,75.8,141440
2016-04-25T13:30,75.54,76.28,74.46,75.02,617425
2016-04-25T17:30,75.04,76,75,75.3,208430
2016-04-26T13:30,75.16,75.72,74.78,75.32,195977
2016-04-26T17:30,75.32,75.38,74.98,75.2,175886
2016-04-27T13:30,75.34,76.82,75,75.58,300145
2016-04-27T17:30,75.6,76.01,75.4,75.72,193951
2016-04-28T13:30,75.56,76.94,74.9,76.76,415657
2016-04-28T17:30,76.76,76.76,76.2,76.74,292497
2016-04-29T13:30,76.46,76.94,75.84,76.32,366520
2016-04-29T17:30,76.3,76.78,76.2,76.7,296228
2016-05-02T13:30,76.72,77.14,75.84,76.4,422743
2016-05-02T17:30,76.42,76.7,76.1,76.44,375490
2016-05-03T13:30,76,77.78,75.46,77.56,636543
2016-05-03T17:30,77.58,78.36,76.86,77.2,665216
2016-05-04T13:30,69.52,72.92,68.56,70.4,3840647
2016-05-04T17:30,70.38,71.06,70,70.84,1445952
2016-05-05T13:30,70.6,72.54,70.6,71.23,534261
2016-05-05T17:30,71.24,71.71,70.98,71.7,751854
2016-05-06T13:30,70.8,73.1,70.56,72.98,526949
2016-05-06T17:30,72.98,73.74,72.88,73.48,504468
2016-05-09T13:30,73.3,73.64,72.42,72.88,198843
2016-05-09T17:30,72.9,73.06,72.38,72.44,281443
2016-05-10T13:30,72.68,72.98,71.9,72.48,230078
2016-05-10T17:30,72.48,72.92,72.4,72.49,287418
2016-05-11T13:30,72.18,72.9,71.24,71.88,355605
2016-05-11T17:30,71.86,72.04,71.26,71.28,405557
2016-05-12T13:30,71.7,72.22,70.82,71.6,424802
2016-05-12T17:30,71.58,72.46,71.56,72.16,266970
2016-05-13T13:30,72.16,72.86,70.92,72.4,222638
2016-05-13T17:30,72.4,72.58,72,72.06,247833
2016-05-16T13:30,71.86,72.22,71.2,71.58,348303
2016-05-16T17:30,71.58,71.92,71.26,71.28,274821
2016-05-17T13:30,71.5,72.34,70.62,71.5,214249
2016-05-17T17:30,71.52,71.88,71.04,71.28,415865
2016-05-18T13:30,70.96,71.61,70.64,71.05,320468
2016-05-18T17:30,71.05,71.22,70.3,70.98,439773
2016-05-19T13:30,70.96,71.88,70.68,71.72,328819
