date,open,high,low,close,volume
2016-01-04T14:30,77.58,78.4,75.71,76.36,1918854
2016-01-04T18:30,76.4,76.88,76.18,76.86,1247250
2016-01-05T14:30,77.17,77.99,76.98,77.39,1043799
2016-01-05T18:30,77.42,77.91,76.84,77.11,1116051
2016-01-06T14:30,75.68,76.08,74.87,74.93,1076343
2016-01-06T18:30,74.92,74.95,74.33,74.92,1196601
2016-01-07T14:30,73.19,75.1,73.19,73.47,999240
2016-01-07T18:30,73.46,73.47,72.53,72.84,1328238
2016-01-08T14:30,73.27,73.8,72.67,72.86,1739346
2016-01-08T18:30,72.87,73.7,72.81,72.92,1219482
2016-01-11T14:30,73.12,73.54,72.55,72.68,1093893
2016-01-11T18:30,72.68,73.18,72.22,72.92,976773
2016-01-12T14:30,73.52,74.45,73.28,73.62,1908420
2016-01-12T18:30,73.69,74.42,73.47,74.27,1021356
2016-01-13T14:30,74.72,74.72,73.48,73.48,788238
2016-01-13T18:30,73.45,73.59,72.49,72.68,835839
2016-01-14T14:30,73.9,74.32,72.67,73.68,1523070
2016-01-14T18:30,73.69,73.72,73.2,73.26,782868
2016-01-15T14:30,71.9,73.2,71.54,72.34,1330428
2016-01-15T18:30,72.21,73.43,72.16,73.01,1160961
2016-01-19T14:30,73.41,73.56,71.84,71.95,1553271
2016-01-19T18:30,71.98,72.46,71.17,72.15,1394343
2016-01-20T14:30,72.45,72.65,70.84,72.16,2582292
2016-01-20T18:30,72.15,74.1,71.99,73.98,3885708
2016-01-21T14:30,73.93,75.09,72.33,74.77,2838765
2016-01-21T18:30,74.8,75.34,73.76,74.18,1919853
2016-01-22T14:30,74.9,76.61,74.49,75.46,1493916
2016-01-22T18:30,75.47,75.87,75.26,75.38,1307835
2016-01-25T14:30,74.71,75.28,73.89,74.38,1139046
2016-01-25T18:30,74.38,74.42,73.55,73.62,1267167
2016-01-26T14:30,74.11,75,73.74,74.77,995019
2016-01-26T18:30,74.78,75.5,74.49,75.23,1059597
2016-01-27T14:30,75.2,76.73,74.56,76.06,1554792
2016-01-27T18:30,76.05,76.91,75.21,76.19,2504811
2016-01-28T14:30,73.93,77.87,73.37,75.33,4169646
2016-01-28T18:30,75.31,75.76,75.01,75.29,1620717
2016-01-29T14:30,75.6,78.26,75.52,76.57,1752216
2016-01-29T18:30,76.53,77.16,76.43,77.13,1319232
2016-02-01T14:30,75.37,77.44,74.11,76.62,1441143
