date,open,high,low,close,volume
2016-01-04T14:30,23.63,23.65,23.15,23.38,3921195
2016-01-04T18:30,23.38,23.63,23.3,23.6,3725981
2016-01-05T14:30,23.32,23.86,23.21,23.53,3205483
2016-01-05T18:30,23.53,23.75,23.51,23.72,3881677
2016-01-06T14:30,23.51,23.6,23.23,23.5,3782507
2016-01-06T18:30,23.49,23.67,23.48,23.56,5020102
2016-01-07T14:30,23.19,23.51,23.1,23.29,4879622
2016-01-07T18:30,23.29,23.3,22.86,22.95,5179633
2016-01-08T14:30,23.01,23.27,22.93,23.11,4789238
2016-01-08T18:30,23.1,23.23,22.68,22.73,3894157
2016-01-11T14:30,22.86,22.88,22.47,22.52,5119474
2016-01-11T18:30,22.52,22.69,22.3,22.63,6071672
2016-01-12T14:30,22.89,23.01,22.46,22.57,4369638
2016-01-12T18:30,22.58,22.86,22.56,22.78,3445514
2016-01-13T14:30,23.5,23.55,22.3,22.37,5982189
2016-01-13T18:30,22.37,22.42,21.69,21.73,8856621
2016-01-14T14:30,21.71,21.96,20.71,21.96,11004973
2016-01-14T18:30,21.96,22.29,21.86,22.2,8192430
2016-01-15T14:30,21.55,21.84,21.27,21.58,6994576
2016-01-15T18:30,21.58,21.85,21.52,21.78,5984923
2016-01-19T14:30,21.93,22.19,21.72,22.02,4287487
2016-01-19T18:30,22.01,22.17,21.76,22.08,5132964
2016-01-20T14:30,21.52,21.71,21.14,21.31,5374705
2016-01-20T18:30,21.3,22,21.3,21.77,4085509
2016-01-21T14:30,21.94,22.25,21.52,22.02,3888987
2016-01-21T18:30,22.02,22.26,21.78,21.83,4805103
2016-01-22T14:30,23.09,23.2,22.67,22.76,9318417
2016-01-22T18:30,22.76,22.95,22.66,22.89,5090538
2016-01-25T14:30,22.91,23.05,22.57,22.69,4546898
2016-01-25T18:30,22.69,22.75,22.37,22.45,3557866
2016-01-26T14:30,22.56,22.79,22.32,22.69,4353868
2016-01-26T18:30,22.68,22.68,22.38,22.6,2849985
2016-01-27T14:30,22.63,22.76,22.29,22.72,3746848
2016-01-27T18:30,22.73,22.87,22.3,22.41,4401146
2016-01-28T14:30,22.46,22.74,21.74,21.82,7300815
2016-01-28T18:30,21.82,22.12,21.82,22.05,4907015
2016-01-29T14:30,22.18,22.23,21.51,22.14,8551872
2016-01-29T18:30,22.13,22.41,22.13,22.39,4986495
2016-02-01T14:30,22.4,22.43,22.01,22.17,3580108
2016-02-01T18:30,22.18,22.54,22.13,22.43,2498357
2016-02-02T14:30,22.25,22.3,21.43,21.5,6299475
2016-02-02T18:30,21.5,21.51,21.26,21.29,7790701
2016-02-03T14:30,21.51,21.51,19.97,20.19,13180907
2016-02-03T18:30,20.19,20.86,20.13,20.75,10387994
2016-02-04T14:30,20.7,20.93,20.49,20.66,9241306
2016-02-04T18:30,20.66,20.77,20.51,20.74,7141833
2016-02-05T14:30,20.76,20.92,19.76,19.99,8349331
2016-02-05T18:30,20,20.02,19.7,19.88,6721096
2016-02-08T14:30,19.68,19.77,19.04,19.21,9135295
2016-02-08T18:30,19.21,19.35,18.99,19.3,6392016
2016-02-09T14:30,19.14,19.78,18.98,19.49,6566528
2016-02-09T18:30,19.5,19.96,19.47,19.77,6423443
2016-02-10T14:30,19.85,20.37,19.74,19.84,3502462
2016-02-10T18:30,19.84,20.01,19.67,19.72,3045113
2016-02-11T14:30,19.14,19.44,18.71,19.33,7003448
