date,open,high,low,close,volume
2016-01-04T14:30,6.19,6.21,5.86,6.01,695334
2016-01-04T18:30,6,6.02,5.905,5.95,541880
2016-01-05T14:30,5.98,5.99,5.75,5.92,523567
2016-01-05T18:30,5.92,6.02,5.91,6,829551
2016-01-06T14:30,5.89,6,5.87,6,421038
2016-01-06T18:30,6,6.11,5.96,6.1,664523
2016-01-07T14:30,5.98,6.39,5.95,6.36,668389
2016-01-07T18:30,6.36,6.4,6.25,6.33,536968
2016-01-08T14:30,6.37,6.45,5.99,6.175,919511
2016-01-08T18:30,6.18,6.38,6.17,6.35,1284892
2016-01-11T14:30,6.35,6.43,6.07,6.07,1457502
2016-01-11T18:30,6.07,6.1,6.02,6.05,613842
2016-01-12T14:30,6.12,6.19,5.92,6,856431
2016-01-12T18:30,6,6.11,5.99,6.09,713012
2016-01-13T14:30,6.11,6.23,5.82,5.82,419830
2016-01-13T18:30,5.815,5.86,5.73,5.77,477578
2016-01-14T14:30,5.79,6.325,5.79,6.295,534703
2016-01-14T18:30,6.29,6.45,6.21,6.35,652649
2016-01-15T14:30,6.17,6.255,5.74,5.79,929083
2016-01-15T18:30,5.78,5.975,5.77,5.95,464227
2016-01-19T14:30,6.05,6.25,5.89,6.24,1133639
2016-01-19T18:30,6.23,6.25,6.07,6.17,604861
2016-01-20T14:30,6.02,6.04,5.81,5.915,1235719
2016-01-20T18:30,5.92,6.33,5.92,6.15,895196
2016-01-21T14:30,6.15,6.54,6.095,6.27,484649
2016-01-21T18:30,6.27,6.325,6.12,6.29,466550
2016-01-22T14:30,6.38,7.04,6.38,7.01,1792191
2016-01-22T18:30,7,7.14,6.86,6.91,2028491
2016-01-25T14:30,6.81,7,6.53,6.56,785417
2016-01-25T18:30,6.57,6.61,6.42,6.48,929221
2016-01-26T14:30,6.6,6.92,6.57,6.84,506605
2016-01-26T18:30,6.83,6.96,6.75,6.91,452684
2016-01-27T14:30,6.82,7.06,6.665,6.97,593116
2016-01-27T18:30,6.955,6.965,6.82,6.94,694286
2016-01-28T14:30,6.99,7.13,6.96,7.08,469007
2016-01-28T18:30,7.08,7.09,6.81,6.83,617840
2016-01-29T14:30,6.9,7.08,6.87,7.06,401756
2016-01-29T18:30,7.0501,7.15,7.01,7.15,423266
2016-02-01T14:30,7.06,7.1,6.77,6.872,373055
2016-02-01T18:30,6.87,7.09,6.785,7.05,559715
2016-02-02T14:30,6.89,6.9,6.72,6.82,497634
2016-02-02T18:30,6.82,6.919,6.815,6.89,340884
2016-02-03T14:30,6.99,7.06,6.82,6.96,330262
2016-02-03T18:30,6.96,7.28,6.94,7.28,419909
2016-02-04T14:30,7.26,7.48,7.141,7.145,632517
2016-02-04T18:30,7.15,7.25,7.13,7.22,454878
2016-02-05T14:30,7.12,7.18,6.94,7.045,287123
2016-02-05T18:30,7.05,7.075,7.0008,7.06,382206
2016-02-08T14:30,6.95,7.05,6.78,7.01,493561
2016-02-08T18:30,7.005,7.005,6.82,6.91,688244
2016-02-09T14:30,6.81,6.9,6.72,6.74,498043
2016-02-09T18:30,6.75,6.94,6.745,6.84,269312
2016-02-10T14:30,6.85,6.935,6.54,6.59,485695
2016-02-10T18:30,6.6,6.6,6.49,6.49,346735
2016-02-11T14:30,6.38,6.42,6.24,6.24,363503
2016-02-11T18:30,6.24,6.41,6.19,6.2,1001817
2016-02-12T14:30,6.31,6.37,5.92,5.98,711991
2016-02-12T18:30,5.99,6.04,5.98,6.02,369153
2016-02-16T14:30,6.09,6.28,6.056,6.195,225497
2016-02-16T18:30,6.199,6.2,6.125,6.17,473202
2016-02-17T14:30,6.23,6.52,6.19,6.51,553458
2016-02-17T18:30,6.51,6.58,6.47,6.57,459966
2016-02-18T14:30,6.52,6.575,6.31,6.4,607021
2016-02-18T18:30,6.39,6.43,6.32,6.34,290792
2016-02-19T14:30,6.3,6.32,6.04,6.06,205264
