date,open,high,low,close,volume
2016-01-04T14:30,36.4,36.55,36.03,36.11,2392333
2016-01-04T18:30,36.11,36.5,36.1,36.48,1718409
2016-01-05T14:30,36.44,37.52,36.31,37.47,2232487
2016-01-05T18:30,37.46,37.94,37.43,37.66,2988953
2016-01-06T14:30,37.06,37.46,36.85,37.32,3093826
2016-01-06T18:30,37.33,37.83,37.14,37.52,3767345
2016-01-07T14:30,36.89,37.6,36.79,37.39,3242931
2016-01-07T18:30,37.39,38.11,37.32,37.95,4320665
2016-01-08T14:30,37.86,38.63,37.3,37.76,1719690
2016-01-08T18:30,37.76,37.88,37.27,37.36,1536190
2016-01-11T14:30,37.44,37.45,36.87,36.89,1849873
2016-01-11T18:30,36.9,37.36,36.7,37.17,1817555
2016-01-12T14:30,37.31,37.48,36.89,37.14,1329236
2016-01-12T18:30,37.14,37.59,37.05,37.53,1713263
2016-01-13T14:30,37.62,37.89,37.04,37.12,1234353
2016-01-13T18:30,37.12,37.16,36.38,36.4,1885276
2016-01-14T14:30,36.29,36.55,35.59,36.52,1943835
2016-01-14T18:30,36.53,37.21,36.39,36.89,1350190
2016-01-15T14:30,35.59,36.44,34.47,34.88,2839106
2016-01-15T18:30,34.87,35.41,34.84,35.4,1945622
2016-01-19T14:30,35.72,35.81,35.34,35.64,1131679
2016-01-19T18:30,35.65,35.66,35.07,35.27,1106447
2016-01-20T14:30,34.8,35.18,33.25,33.68,2337885
2016-01-20T18:30,33.68,35.28,33.65,34.99,2202932
2016-01-21T14:30,35.04,35.56,34.45,34.93,1840355
2016-01-21T18:30,34.93,35.13,34.66,34.75,1580749
2016-01-22T14:30,35.47,35.66,35.12,35.46,2084482
2016-01-22T18:30,35.46,35.56,35.26,35.46,1624294
2016-01-25T14:30,35.57,36.51,35.13,36.43,1269928
2016-01-25T18:30,36.43,36.49,35.45,35.48,1439780
2016-01-26T14:30,35.76,37,35.57,36.96,1409039
2016-01-26T18:30,36.97,37.17,36.67,36.94,1105605
2016-01-27T14:30,36.93,36.99,36.27,36.49,965706
2016-01-27T18:30,36.48,36.71,35.93,36.07,1110784
2016-01-28T14:30,36.2,36.44,35.75,36.06,727587
2016-01-28T18:30,36.06,36.34,36,36.23,528542
2016-01-29T14:30,36.95,37.49,36.4,37.47,1331522
2016-01-29T18:30,37.47,37.63,37.16,37.61,1693286
2016-02-01T14:30,37.51,38.03,36.97,37.61,1857917
2016-02-01T18:30,37.61,38.08,37.48,38.03,1197066
2016-02-02T14:30,37.5,37.71,36.74,36.89,1330666
2016-02-02T18:30,36.89,36.94,36.53,36.8,1179916
2016-02-03T14:30,37.05,37.46,35.11,35.15,2280337
2016-02-03T18:30,35.15,36.14,34.88,35.91,2692065
2016-02-04T14:30,36.37,36.53,35.36,36.49,1358579
2016-02-04T18:30,36.49,36.51,35.68,36.25,2083457
2016-02-05T14:30,36.58,36.62,34.14,34.16,3327543
2016-02-05T18:30,34.16,34.17,33.15,33.41,3852980
2016-02-08T14:30,33.18,33.29,31.58,31.68,3091748
2016-02-08T18:30,31.68,31.91,31.41,31.81,3157183
2016-02-09T14:30,31.62,31.8,31.13,31.24,2250923
2016-02-09T18:30,31.24,32.22,31.15,31.76,2180911
2016-02-10T14:30,32.14,32.97,31.59,32.77,1829957
2016-02-10T18:30,32.75,32.84,32.32,32.4,1659755
2016-02-11T14:30,31.65,32.25,31.48,31.86,1614196
2016-02-11T18:30,31.85,32.23,31.65,31.87,2024637
2016-02-12T14:30,32.4,32.85,31.86,32.52,1806221
