date,open,high,low,close,volume
2016-01-04T14:30,12.14,12.16,11.95,11.96,25506
2016-01-04T18:30,11.99,12.1,11.75,12.06,62172
2016-01-05T14:30,12.04,12.13,11.88,12.04,22320
2016-01-05T18:30,11.92,12.11,11.92,12.03,15615
2016-01-06T14:30,11.88,12.09,11.8,11.8,17703
2016-01-06T18:30,11.76,12.01,11.76,11.96,33336
2016-01-07T14:30,11.91,11.97,11.79,11.88,15030
2016-01-07T18:30,11.78,12.31,11.78,12.14,32067
2016-01-08T14:30,12.25,12.35,12.01,12.12,140697
2016-01-08T18:30,12.07,12.08,11.61,11.93,51561
2016-01-11T14:30,12,12,11.8,11.94,68796
2016-01-11T18:30,11.84,11.86,11.78,11.78,35820
2016-01-12T14:30,11.85,11.85,11.28,11.28,101025
2016-01-12T18:30,11.28,11.47,11.28,11.37,54783
2016-01-13T14:30,11.41,11.46,10.74,10.98,127053
2016-01-13T18:30,10.9,11.18,10.8,10.98,61938
2016-01-14T14:30,10.87,11.19,10.79,11.18,69291
2016-01-14T18:30,11.16,11.46,10.93,11.28,50526
2016-01-15T14:30,10.96,11.11,10.88,10.98,93483
2016-01-15T18:30,10.98,11.02,10.83,10.87,13185
2016-01-19T14:30,10.81,10.81,10.42,10.64,76266
2016-01-19T18:30,10.65,10.65,10.44,10.45,20988
2016-01-20T14:30,10.31,10.74,10.03,10.55,201591
2016-01-20T18:30,10.6,10.93,10.46,10.73,125478
2016-01-21T14:30,11.07,11.85,11.07,11.76,103365
2016-01-21T18:30,11.9,12,11.9,11.95,87165
2016-01-22T14:30,12.2,12.33,12.09,12.15,68247
2016-01-22T18:30,12.16,12.23,12.01,12.18,21636
2016-01-25T14:30,11.97,12.27,11.83,11.85,23940
2016-01-25T18:30,12.01,12.06,11.67,12.04,53217
2016-01-26T14:30,11.95,12.13,11.69,12.04,24084
2016-01-26T18:30,12.02,12.04,11.86,11.86,8334
2016-01-27T14:30,11.95,11.95,11.45,11.78,34137
2016-01-27T18:30,11.75,11.75,11.65,11.66,22995
2016-01-28T14:30,11.89,11.99,11.69,11.75,40788
2016-01-28T18:30,11.68,11.89,11.66,11.68,26442
2016-01-29T14:30,11.95,12.02,11.61,11.71,100899
2016-01-29T18:30,11.71,11.74,11.41,11.74,43515
2016-02-01T14:30,11.56,11.56,11.56,11.56,2880
2016-02-01T18:30,11.83,12.14,11.77,11.77,6228
2016-02-02T14:30,11.78,12.77,11.78,12.58,46044
2016-02-02T18:30,12.62,12.72,12.44,12.59,51534
2016-02-03T14:30,12.6,12.67,12.18,12.41,24840
2016-02-03T18:30,12.43,12.53,12.1,12.1,26253
