date,open,high,low,close,volume
2016-01-04T14:30,47.48,47.63,46.97,47.39,1300624
2016-01-04T18:30,47.38,47.67,47.21,47.66,893018
2016-01-05T14:30,47.79,48.08,47.19,47.56,740375
2016-01-05T18:30,47.56,47.92,47.53,47.86,603872
2016-01-06T14:30,46.95,47.13,46.65,46.88,879608
2016-01-06T18:30,46.87,46.99,46.59,46.79,729729
2016-01-07T14:30,45.84,46.69,45.5,45.57,895412
2016-01-07T18:30,45.59,45.81,45.27,45.53,1198051
2016-01-08T14:30,45.81,45.93,44.96,45.05,996904
2016-01-08T18:30,45.06,45.13,44.33,44.39,1003654
2016-01-11T14:30,44.61,44.79,43.86,43.86,1068080
2016-01-11T18:30,43.89,44.39,43.69,44.14,889038
2016-01-12T14:30,44.63,44.87,44.24,44.51,1247675
2016-01-12T18:30,44.51,45.37,44.45,45.29,1454589
2016-01-13T14:30,45.47,46.01,44.96,44.97,1017449
2016-01-13T18:30,44.97,45.01,43.93,44.05,1182844
2016-01-14T14:30,44.24,44.91,43.69,44.82,1296796
2016-01-14T18:30,44.82,44.92,44.48,44.52,835628
2016-01-15T14:30,43.35,44.17,43.16,43.76,1282316
2016-01-15T18:30,43.74,44.47,43.73,44.09,1284492
2016-01-19T14:30,44.75,45.18,44.29,44.69,1107594
2016-01-19T18:30,44.7,44.81,44.18,44.49,793370
2016-01-20T14:30,43.71,43.99,43.29,43.43,1335191
2016-01-20T18:30,43.42,44.66,43.42,44.19,1189805
2016-01-21T14:30,44.36,45.67,44.21,45.23,1148910
2016-01-21T18:30,45.23,45.3,44.51,44.53,852975
2016-01-22T14:30,45.34,45.74,45,45.39,656592
2016-01-22T18:30,45.4,45.79,45.4,45.79,727223
2016-01-25T14:30,45.55,45.72,44.76,45.13,707478
2016-01-25T18:30,45.13,45.14,44.33,44.41,821824
2016-01-26T14:30,44.66,45.93,44.43,44.96,753944
2016-01-26T18:30,44.97,45.28,44.92,45.24,689950
2016-01-27T14:30,45.27,45.64,44.95,45.5,977551
2016-01-27T18:30,45.51,45.88,44.47,44.97,1135885
2016-01-28T14:30,46.34,48.07,46.18,46.77,1817841
2016-01-28T18:30,46.76,46.84,46.26,46.46,1083927
2016-01-29T14:30,46.52,48.22,46.47,48.1,1368445
2016-01-29T18:30,48.11,48.32,47.9,48.18,1043325
2016-02-01T14:30,47.83,47.94,47.22,47.24,1276592
