date,open,high,low,close,volume
2016-01-04T14:30,14.07,14.24,13.95,14.15,4982805
2016-01-04T18:30,14.15,14.18,14.02,14.11,3022670
2016-01-05T14:30,14.12,14.34,14.01,14.06,2588940
2016-01-05T18:30,14.06,14.17,14.04,14.1,2362485
2016-01-06T14:30,13.9,14,13.8,13.84,2656740
2016-01-06T18:30,13.84,13.93,13.78,13.91,2103760
2016-01-07T14:30,13.67,14.11,13.6,13.95,3831165
2016-01-07T18:30,13.95,14.06,13.88,13.9,3337250
2016-01-08T14:30,13.88,14.08,13.83,13.95,3176285
2016-01-08T18:30,13.95,14.01,13.76,13.8,3065195
2016-01-11T14:30,13.9,14.02,13.74,13.81,3348410
2016-01-11T18:30,13.82,13.99,13.69,13.93,2628685
2016-01-12T14:30,13.98,14.23,13.93,14.08,2082465
2016-01-12T18:30,14.09,14.29,13.98,14.27,2474210
2016-01-13T14:30,14.37,14.38,13.85,13.98,11254975
2016-01-13T18:30,13.97,13.99,13.67,13.74,7696185
2016-01-14T14:30,13.77,14.05,13.51,14.04,5491815
2016-01-14T18:30,14.04,14.21,13.98,13.99,5185015
2016-01-15T14:30,13.59,13.94,13.55,13.71,4991735
2016-01-15T18:30,13.7,13.87,13.69,13.73,3637535
2016-01-19T14:30,13.85,14.19,13.75,13.99,4032250
2016-01-19T18:30,13.99,14.14,13.84,14.06,3356145
2016-01-20T14:30,13.91,14.03,13.49,13.58,6187985
2016-01-20T18:30,13.57,13.91,13.57,13.73,4584675
2016-01-21T14:30,13.81,14.27,13.74,14.12,5210460
2016-01-21T18:30,14.11,14.18,13.94,14.04,4327170
2016-01-22T14:30,14.39,14.4,14.14,14.31,2447150
2016-01-22T18:30,14.32,14.38,14.26,14.3,2619255
2016-01-25T14:30,14.27,14.36,14.09,14.22,3587580
2016-01-25T18:30,14.22,14.23,14.06,14.07,2584350
2016-01-26T14:30,14.14,14.45,14.06,14.41,3609180
2016-01-26T18:30,14.42,14.45,14.3,14.45,3030930
