date,open,high,low,close,volume
2016-01-04T14:30,40.72,40.83,40.2,40.64,673340
2016-01-04T18:30,40.64,40.92,40.4,40.91,828223
2016-01-05T14:30,40.9,41.14,40.43,40.55,607952
2016-01-05T18:30,40.54,41.03,40.52,41,701858
2016-01-06T14:30,40.33,40.44,39.7,39.81,1327960
2016-01-06T18:30,39.8,39.84,39.36,39.76,864526
2016-01-07T14:30,38.81,39.56,38.75,39.01,1038249
2016-01-07T18:30,39.01,39.15,38.79,38.95,1076778
2016-01-08T14:30,39.11,39.36,38.96,38.99,1773565
2016-01-08T18:30,38.99,39.12,38.43,38.48,1449241
2016-01-11T14:30,38.62,38.69,38.09,38.1,902986
2016-01-11T18:30,38.09,38.58,37.94,38.32,1132331
2016-01-12T14:30,38.71,38.73,38.04,38.06,932208
2016-01-12T18:30,38.06,38.57,37.94,38.51,1521834
2016-01-13T14:30,38.72,38.77,37.9,37.92,668904
2016-01-13T18:30,37.93,37.97,37.35,37.39,908799
2016-01-14T14:30,37.45,37.84,36.46,37.52,1096505
2016-01-14T18:30,37.53,37.59,37.31,37.41,832734
2016-01-15T14:30,36.4,36.8,36.35,36.54,1896372
2016-01-15T18:30,36.54,36.95,36.54,36.8,1201275
2016-01-19T14:30,37.33,37.33,36.2,36.4,1030879
2016-01-19T18:30,36.4,36.45,36.07,36.27,1445392
2016-01-20T14:30,35.74,35.85,34.22,34.68,2446512
2016-01-20T18:30,34.67,36.03,34.66,35.83,2002864
2016-01-21T14:30,35.96,36.51,35.7,36.05,942089
2016-01-21T18:30,36.04,36.24,35.77,35.98,607132
2016-01-22T14:30,36.46,36.85,36.24,36.54,739889
2016-01-22T18:30,36.55,36.92,36.47,36.92,916249
2016-01-25T14:30,36.86,36.94,36.37,36.73,962436
2016-01-25T18:30,36.72,36.76,36.22,36.3,1316444
2016-01-26T14:30,36.44,37.26,36.35,37.09,1195708
2016-01-26T18:30,37.1,37.26,36.8,37.18,1072806
2016-01-27T14:30,33.33,34.88,33.33,33.61,5627067
2016-01-27T18:30,33.62,33.67,32,32.22,4691784
2016-01-28T14:30,32.34,33.65,31.96,33.49,3465092
2016-01-28T18:30,33.51,33.7,33.1,33.11,2181687
2016-01-29T14:30,33.19,34.14,33.11,33.98,1919076
2016-01-29T18:30,33.98,34.09,33.68,33.72,1918558
2016-02-01T14:30,33.38,33.45,32.61,32.66,1897707
2016-02-01T18:30,32.66,33.05,32.58,32.69,1850183
2016-02-02T14:30,32.23,32.32,31.34,31.39,3068602
2016-02-02T18:30,31.4,31.53,31.06,31.31,1697734
2016-02-03T14:30,31.72,31.88,30.49,31.22,2259908
2016-02-03T18:30,31.22,32.02,31.13,31.82,1580403
2016-02-04T14:30,31.83,32.75,31.83,32.18,1596808
2016-02-04T18:30,32.18,32.29,31.71,31.81,1293167
2016-02-05T14:30,31.71,32.21,31.44,31.85,1072084
2016-02-05T18:30,31.84,31.89,31.64,31.83,1267071
2016-02-08T14:30,31.38,31.72,31.22,31.62,1871256
2016-02-08T18:30,31.62,32.18,31.45,32.03,1796456
2016-02-09T14:30,31.44,32.34,31.17,31.57,1299189
