date,open,high,low,close,volume
2016-01-04T14:30,25.44,25.48,24.98,25.02,621021
2016-01-04T18:30,25.02,25.08,24.86,25.06,724542
2016-01-05T14:30,25.07,25.45,25.06,25.37,407114
2016-01-05T18:30,25.36,25.52,25.36,25.4,578353
2016-01-06T14:30,25.16,25.41,25.1,25.12,485890
2016-01-06T18:30,25.12,25.21,25.04,25.21,657694
2016-01-07T14:30,24.95,25.11,24.77,24.97,886275
2016-01-07T18:30,24.97,25.1,24.9,24.92,1001402
2016-01-08T14:30,25.05,25.11,24.82,24.84,1083885
2016-01-08T18:30,24.84,24.87,24.53,24.58,995414
2016-01-11T14:30,24.75,25.11,24.64,24.9,648183
2016-01-11T18:30,24.9,25.04,24.81,24.86,863861
2016-01-12T14:30,24.9,24.96,24.43,24.55,845368
2016-01-12T18:30,24.56,24.67,24.44,24.62,893391
2016-01-13T14:30,24.66,24.97,24.49,24.75,803338
2016-01-13T18:30,24.74,24.8,24.58,24.58,1188571
2016-01-14T14:30,24.64,24.79,24.32,24.35,743452
2016-01-14T18:30,24.34,24.47,24.21,24.22,827028
2016-01-15T14:30,23.76,24.31,23.66,24.25,867243
2016-01-15T18:30,24.25,24.49,24.17,24.44,733058
2016-01-19T14:30,24.49,24.77,24.29,24.4,931849
2016-01-19T18:30,24.41,24.58,24.34,24.48,859858
2016-01-20T14:30,24.32,24.81,23.36,23.5,1228418
2016-01-20T18:30,23.5,24.22,23.5,23.82,1150981
2016-01-21T14:30,23.9,24.1,23.67,23.8,749691
2016-01-21T18:30,23.79,23.89,23.57,23.74,663796
2016-01-22T14:30,24.06,24.34,23.89,24.34,599491
2016-01-22T18:30,24.34,24.49,24.29,24.4,600152
2016-01-25T14:30,24.42,24.65,24.1,24.45,767403
2016-01-25T18:30,24.45,24.5,24.12,24.18,786191
2016-01-26T14:30,24.23,24.73,24.21,24.66,544668
2016-01-26T18:30,24.66,24.97,24.64,24.97,906684
2016-01-27T14:30,24.94,24.94,24.28,24.42,1002866
2016-01-27T18:30,24.43,24.61,24.08,24.29,786196
2016-01-28T14:30,24.38,24.53,24.25,24.35,636530
2016-01-28T18:30,24.36,24.37,23.85,23.94,1159330
2016-01-29T14:30,24.16,24.33,23.74,24.27,1288174
2016-01-29T18:30,24.27,24.38,24.07,24.32,1091791
2016-02-01T14:30,24.15,24.94,24.06,24.92,962898
2016-02-01T18:30,24.93,25.01,24.68,24.69,1256957
2016-02-02T14:30,24.79,24.9,24.15,24.46,1659514
2016-02-02T18:30,24.46,24.46,24.2,24.24,1004217
2016-02-03T14:30,24.5,25.16,24.41,24.7,1086385
2016-02-03T18:30,24.69,24.9,24.32,24.9,1320458
2016-02-04T14:30,24.71,25.41,24.47,25.38,1670591
2016-02-04T18:30,25.38,25.38,25.09,25.12,1058147
2016-02-05T14:30,25.12,25.16,24.22,24.28,986714
2016-02-05T18:30,24.28,24.34,23.89,23.92,923539
2016-02-08T14:30,24.47,24.47,23.02,23.16,986431
2016-02-08T18:30,23.16,23.2,22.93,23.15,1069522
2016-02-09T14:30,22.95,23.36,22.79,22.92,832405
2016-02-09T18:30,22.92,23.09,22.79,22.84,1056817
2016-02-10T14:30,22.92,23.41,22.92,23.36,625097
2016-02-10T18:30,23.36,23.43,23.16,23.17,783988
2016-02-11T14:30,22.77,22.9,22.48,22.77,781301
2016-02-11T18:30,22.76,22.82,22.61,22.64,498423
2016-02-12T14:30,22.83,22.87,22.49,22.73,1126437
2016-02-12T18:30,22.73,22.9,22.69,22.81,776322
2016-02-16T14:30,23.11,23.11,22.77,23.02,595480
2016-02-16T18:30,23.03,23.16,22.96,23.14,399317
2016-02-17T14:30,23.25,23.46,23.02,23.15,1046839
2016-02-17T18:30,23.14,23.2,22.98,22.98,808442
2016-02-18T14:30,23.05,23.33,22.93,23.15,763162
2016-02-18T18:30,23.15,23.22,23.1,23.16,533750
2016-02-19T14:30,23.01,23.5,22.89,23.4,1430136
2016-02-19T18:30,23.4,23.43,23.32,23.34,505705
2016-02-22T14:30,23.5,23.79,23.39,23.43,417780
2016-02-22T18:30,23.43,23.57,23.42,23.5,431526
2016-02-23T14:30,23.37,23.79,23.11,23.45,407520
2016-02-23T18:30,23.45,23.5,23.4,23.4,295586
2016-02-24T14:30,23.26,23.33,22.79,22.8,651974
2016-02-24T18:30,22.8,23.05,22.8,23,810107
2016-02-25T14:30,23.2,23.45,23.13,23.39,660271
2016-02-25T18:30,23.39,23.6,23.33,23.59,867628
2016-02-26T14:30,23.58,23.58,23.3,23.54,506039
2016-02-26T18:30,23.53,23.65,23.48,23.48,515593
2016-02-29T14:30,23.52,23.97,23.49,23.76,360733
2016-02-29T18:30,23.76,23.76,23.46,23.46,686840
2016-03-01T14:30,23.56,24.27,23.46,24.22,508962
2016-03-01T18:30,24.23,24.36,24.15,24.34,697531
2016-03-02T14:30,24.26,24.81,23.65,24.77,862477
2016-03-02T18:30,24.77,24.77,24.61,24.72,718183
2016-03-03T14:30,24.77,24.77,24.39,24.6,480818
2016-03-03T18:30,24.6,24.97,24.57,24.96,727803
2016-03-04T14:30,24.88,24.88,24.19,24.36,2407619
2016-03-04T18:30,24.36,24.44,23.92,24.09,7002068
2016-03-07T14:30,24.04,24.68,23.9,24.57,2450277
2016-03-07T18:30,24.57,24.57,24.38,24.48,1691987
2016-03-08T14:30,24.54,24.6,24.08,24.25,1324990
2016-03-08T18:30,24.25,24.36,24.15,24.17,1570763
2016-03-09T14:30,24.21,24.61,24,24.44,1128126
2016-03-09T18:30,24.44,24.49,24.37,24.43,1105817
2016-03-10T14:30,24.64,24.73,24.07,24.16,719977
2016-03-10T18:30,24.15,24.4,24.13,24.37,1047427
2016-03-11T14:30,24.7,24.86,24.59,24.79,790232
2016-03-11T18:30,24.79,24.89,24.73,24.88,939377
2016-03-14T13:30,24.88,25.35,24.75,24.9,628776
2016-03-14T17:30,24.88,24.98,24.87,24.89,902551
2016-03-15T13:30,24.86,25.34,24.86,25.34,978410
2016-03-15T17:30,25.35,25.38,25.22,25.32,865492
2016-03-16T13:30,25.2,25.43,25.15,25.22,400908
2016-03-16T17:30,25.22,25.6,25.16,25.55,937122
2016-03-17T13:30,25.48,25.81,25.45,25.75,515557
2016-03-17T17:30,25.75,26.11,25.72,26.02,1150188
2016-03-18T13:30,26.05,26.2,25.89,25.9,1247847
2016-03-18T17:30,25.91,26.04,25.78,25.83,1558920
2016-03-21T13:30,25.69,25.9,25.52,25.58,983622
2016-03-21T17:30,25.58,25.63,25.48,25.55,791828
2016-03-22T13:30,25.46,25.74,25.4,25.58,601168
2016-03-22T17:30,25.58,25.62,25.52,25.6,490662
2016-03-23T13:30,25.6,25.7,25.43,25.44,463166
2016-03-23T17:30,25.44,25.5,25.4,25.4,508430
2016-03-24T13:30,25.33,25.41,25.1,25.18,470743
2016-03-24T17:30,25.18,25.35,25.16,25.31,407466
2016-03-28T13:30,25.33,25.67,25.31,25.55,332267
2016-03-28T17:30,25.55,25.69,25.53,25.61,403653
2016-03-29T13:30,25.58,25.87,25.55,25.79,593125
2016-03-29T17:30,25.79,26.07,25.78,26.03,832796
2016-03-30T13:30,26.13,26.24,25.99,26.19,408022
2016-03-30T17:30,26.17,26.32,26.13,26.14,444786
2016-03-31T13:30,26.11,26.32,26.01,26.2,366261
2016-03-31T17:30,26.2,26.38,26.11,26.33,698675
2016-04-01T13:30,26.26,26.35,26.05,26.17,473216
2016-04-01T17:30,26.19,26.29,26.15,26.23,531119
2016-04-04T13:30,26.29,26.38,26.22,26.3,453753
2016-04-04T17:30,26.3,26.36,26.22,26.35,459136
2016-04-05T13:30,26.19,26.32,25.97,26.03,563585
2016-04-05T17:30,26.04,26.14,25.96,26.11,615808
2016-04-06T13:30,26.02,26.24,26.01,26.12,531928
2016-04-06T17:30,26.12,26.13,25.93,26.11,903961
2016-04-07T13:30,26,26.12,25.59,25.97,1055216
2016-04-07T17:30,25.97,25.97,25.77,25.95,656854
2016-04-08T13:30,26.13,26.38,26.03,26.1,386543
2016-04-08T17:30,26.1,26.15,25.91,25.94,398435
2016-04-11T13:30,25.66,25.77,25.31,25.31,1141970
2016-04-11T17:30,25.32,25.46,25.28,25.28,675194
2016-04-12T13:30,25.32,25.47,25.12,25.24,741292
2016-04-12T17:30,25.23,25.5,25.23,25.41,585163
2016-04-13T13:30,25.59,25.59,24.8,24.82,895989
2016-04-13T17:30,24.83,24.94,24.8,24.87,1000371
2016-04-14T13:30,24.85,24.85,24.24,24.52,1126770
2016-04-14T17:30,24.53,24.53,24.44,24.47,756608
2016-04-15T13:30,24.46,24.93,24.34,24.9,819758
2016-04-15T17:30,24.9,25.06,24.89,24.98,700682
2016-04-18T13:30,25,25.15,24.85,25.04,665532
2016-04-18T17:30,25.03,25.24,25.02,25.21,956233
2016-04-19T13:30,25.22,25.31,25.15,25.26,725074
2016-04-19T17:30,25.26,25.34,25.24,25.33,647005
2016-04-20T13:30,25.35,25.39,24.73,24.77,634927
2016-04-20T17:30,24.77,24.79,24.62,24.66,685378
2016-04-21T13:30,24.66,24.93,24.47,24.48,486672
