date,open,high,low,close,volume
2016-01-04T14:30,70.49,70.79,69.68,70.04,6356101
2016-01-04T18:30,70.04,70.32,69.52,70.23,4578941
2016-01-05T14:30,70.67,70.81,70.01,70.26,4248876
2016-01-05T18:30,70.27,70.91,70.2,70.7,3508239
2016-01-06T14:30,69.52,70.3,69.37,70.05,4996538
2016-01-06T18:30,70.05,70.16,69.5,69.82,4184807
2016-01-07T14:30,68.38,69.59,67.98,68.59,6746746
2016-01-07T18:30,68.59,68.86,68.02,68.42,4943742
2016-01-08T14:30,68.64,69.05,67.7,68.39,5672482
2016-01-08T18:30,68.38,68.65,67.42,67.54,3520114
2016-01-11T14:30,67.71,68.35,67.57,67.64,5818585
2016-01-11T18:30,67.61,68.65,67.34,68.49,5335315
2016-01-12T14:30,69.09,69.3,68.64,68.91,5361477
2016-01-12T18:30,68.89,69.51,68.6,69.3,3533005
2016-01-13T14:30,69.76,69.87,68.46,68.56,4693564
2016-01-13T18:30,68.55,68.63,67.64,67.72,5119675
2016-01-14T14:30,67.8,69.06,67.34,68.78,5474606
2016-01-14T18:30,68.79,69.03,68.34,68.53,3778319
2016-01-15T14:30,66.67,67.61,65.63,65.73,9260961
2016-01-15T18:30,65.73,66.63,65.49,66.6,8431441
2016-01-19T14:30,67.6,67.67,65.93,66.03,9080439
2016-01-19T18:30,66.04,66.53,65.49,66.19,5352333
2016-01-20T14:30,64.85,65.16,63.98,64.5,9518052
2016-01-20T18:30,64.5,66.18,64.46,65.53,6515665
2016-01-21T14:30,65.75,67.03,64.97,66.66,5841293
2016-01-21T18:30,66.65,66.78,65.88,66.29,4062501
2016-01-22T14:30,67.37,67.82,66.85,67.2,4758015
2016-01-22T18:30,67.22,67.47,67.1,67.38,3458252
2016-01-25T14:30,67.42,67.57,66.65,67.26,4363799
2016-01-25T18:30,67.26,67.28,66.34,66.49,3473641
2016-01-26T14:30,66.89,66.98,66.31,66.59,3943781
2016-01-26T18:30,66.6,66.68,66.36,66.58,3110438
2016-01-27T14:30,66.75,67.17,65.99,66.52,4151515
2016-01-27T18:30,66.52,66.76,65.41,65.75,4232042
2016-01-28T14:30,66.19,66.59,64.78,64.99,6791496
2016-01-28T18:30,65.01,65.21,64.26,64.27,7767933
2016-01-29T14:30,65.27,68,63.72,67.54,10882189
2016-01-29T18:30,67.54,69.04,67.52,68.81,7403356
2016-02-01T14:30,68.65,69.04,67.89,68.94,5698060
2016-02-01T18:30,68.94,69.3,68.78,68.91,4164823
2016-02-02T14:30,68.12,68.77,67.77,68.3,4567424
2016-02-02T18:30,68.31,68.31,67.77,68.04,4237514
2016-02-03T14:30,68.36,68.82,67.13,67.96,4831975
2016-02-03T18:30,67.96,69.16,67.68,68.92,4480914
2016-02-04T14:30,68.67,69.16,67.43,67.79,5909740
2016-02-04T18:30,67.79,68.38,67.48,68.27,4043250
2016-02-05T14:30,68.21,68.22,65.74,65.98,6531679
2016-02-05T18:30,65.98,66.5,65.38,66.32,5477400
2016-02-08T14:30,64.83,64.91,61.44,61.92,15462873
2016-02-08T18:30,61.92,63.4,61.69,62.91,9288153
2016-02-09T14:30,61.53,64.39,61.28,63.02,8151570
2016-02-09T18:30,63.02,64.1,62.89,63.41,4396520
2016-02-10T14:30,64.08,65.83,64.01,64.99,6450095
2016-02-10T18:30,64.98,65.36,64.7,64.99,4512105
2016-02-11T14:30,62.83,64.01,62.49,63.22,8037492
2016-02-11T18:30,63.22,64.01,62.59,63.5,5095397
2016-02-12T14:30,64.48,65.23,64.06,64.88,5021320
2016-02-12T18:30,64.88,65.31,64.8,65.26,2974570
2016-02-16T14:30,66.18,66.5,65.24,65.63,3918702
2016-02-16T18:30,65.63,66.02,65.55,65.87,3388106
2016-02-17T14:30,66.61,66.97,66.21,66.78,4348033
2016-02-17T18:30,66.8,66.95,66.61,66.88,3459383
2016-02-18T14:30,66.71,67.09,66.18,66.3,4019760
2016-02-18T18:30,66.3,66.46,65.95,66.13,2457444
2016-02-19T14:30,65.93,66.32,65.28,66.11,5095279
2016-02-19T18:30,66.12,66.6,66.07,66.42,2662310
2016-02-22T14:30,67.14,67.95,66.95,67.61,3583945
2016-02-22T18:30,67.61,67.96,67.6,67.82,3185324
2016-02-23T14:30,67.73,67.9,66.92,67.3,3329450
2016-02-23T18:30,67.29,67.3,66.85,66.99,2021286
2016-02-24T14:30,66.16,66.32,65.35,65.75,4075888
2016-02-24T18:30,65.76,67.04,65.69,66.72,2895628
2016-02-25T14:30,66.82,67.56,66.8,67.54,3607375
2016-02-25T18:30,67.54,68.1,67.53,68.08,2794311
2016-02-26T14:30,68.33,68.63,67.69,68,3736709
2016-02-26T18:30,68,68.05,67.5,67.55,2320764
2016-02-29T14:30,67.66,68.62,67.58,68.22,3199446
2016-02-29T18:30,68.21,68.31,67.23,67.23,2891222
2016-03-01T14:30,67.79,69.18,67.69,68.97,4911671
2016-03-01T18:30,68.97,69.31,68.89,69.29,3236838
2016-03-02T14:30,69.18,69.27,68.5,68.69,3141532
2016-03-02T18:30,68.68,69.03,68.4,68.96,2128700
2016-03-03T14:30,69.18,69.18,68.12,68.22,3393437
2016-03-03T18:30,68.22,68.63,68.22,68.63,2577631
2016-03-04T14:30,68.92,68.95,68.35,68.7,3303644
2016-03-04T18:30,68.7,68.9,68.52,68.62,2432232
2016-03-07T14:30,68.15,68.21,66.82,66.88,4970047
2016-03-07T18:30,66.89,67.02,66.26,66.84,4713094
2016-03-08T14:30,66.39,66.41,65.55,66.18,5867451
2016-03-08T18:30,66.18,66.34,65.48,65.6,3783229
2016-03-09T14:30,65.93,66.01,64.91,65.15,5293150
2016-03-09T18:30,65.16,65.62,65.1,65.62,3397440
2016-03-10T14:30,66.06,66.3,64.61,64.94,6470823
2016-03-10T18:30,64.93,65.35,64.7,65.2,3263047
2016-03-11T14:30,66.07,66.87,65.63,66.51,4826243
2016-03-11T18:30,66.51,66.63,66.35,66.51,2937323
2016-03-14T13:30,66.49,66.6,65.88,66.17,3751728
2016-03-14T17:30,66.16,66.53,66.1,66.38,2343674
2016-03-15T13:30,66,66.52,65.61,66.34,3378468
2016-03-15T17:30,66.33,66.78,66.33,66.77,2545386
2016-03-16T13:30,66.58,66.82,66.4,66.6,2763365
2016-03-16T17:30,66.6,67.63,66.58,67.21,3887846
2016-03-17T13:30,67.12,68.23,67.02,68.17,3360565
2016-03-17T17:30,68.17,68.41,67.91,67.93,2910998
2016-03-18T13:30,68.25,68.81,67.91,68.21,7649753
2016-03-18T17:30,68.21,68.5,68.08,68.42,3754527
2016-03-21T13:30,68.33,68.55,67.93,68.43,3291921
2016-03-21T17:30,68.44,68.66,68.26,68.49,2855147
2016-03-22T13:30,68.02,68.39,67.76,68.15,3071052
2016-03-22T17:30,68.14,68.21,67.72,67.8,2382745
2016-03-23T13:30,67.72,68.87,67.57,68.73,3489581
2016-03-23T17:30,68.72,68.8,68.41,68.59,2785580
2016-03-24T13:30,68.39,68.74,68.17,68.59,3411386
2016-03-24T17:30,68.6,68.86,68.48,68.86,2089857
2016-03-28T13:30,68.86,68.97,68.46,68.7,1963189
2016-03-28T17:30,68.69,68.86,68.62,68.82,2609054
2016-03-29T13:30,68.72,69.92,68.64,69.89,3673980
2016-03-29T17:30,69.88,70.19,69.78,70.02,3631950
2016-03-30T13:30,70.53,71.45,70.42,71.26,4381357
2016-03-30T17:30,71.27,71.5,71.15,71.33,3764463
2016-03-31T13:30,71.17,71.43,70.53,71.23,3272801
2016-03-31T17:30,71.23,71.23,71,71.04,2997800
2016-04-01T13:30,70.81,72.66,70.39,72.09,6242468
2016-04-01T17:30,72.09,72.26,71.85,72.09,3151762
2016-04-04T13:30,72.4,72.72,71.99,72.43,4487201
2016-04-04T17:30,72.42,72.43,72.08,72.26,2107888
2016-04-05T13:30,71.63,71.94,71.12,71.42,3634080
2016-04-05T17:30,71.41,71.81,71.27,71.5,2078487
2016-04-06T13:30,71.58,72.49,71.5,72.23,3140166
2016-04-06T17:30,72.24,72.69,72.11,72.63,2546391
2016-04-07T13:30,72.16,72.41,71.8,71.97,3122164
2016-04-07T17:30,71.98,72.23,71.68,72.04,3316705
2016-04-08T13:30,72.5,73.01,72.28,72.41,2723297
2016-04-08T17:30,72.41,72.73,72.26,72.49,1712618
2016-04-11T13:30,72.76,73.15,72.22,72.68,2816089
2016-04-11T17:30,72.67,72.89,72.24,72.28,2777166
2016-04-12T13:30,72.21,72.89,72.11,72.65,3059268
2016-04-12T17:30,72.65,72.94,72.58,72.9,2469863
2016-04-13T13:30,73.39,73.8,73.28,73.61,3977662
2016-04-13T17:30,73.62,74.22,73.55,74.05,3222808
2016-04-14T13:30,74.01,74.91,73.65,74.71,4229445
2016-04-14T17:30,74.71,74.74,74.27,74.58,4377794
2016-04-15T13:30,74.52,74.93,74.29,74.46,4432680
2016-04-15T17:30,74.45,74.47,74.19,74.35,2708434
2016-04-18T13:30,74.5,75.24,74.13,75.23,3229321
2016-04-18T17:30,75.23,75.73,75.21,75.65,3042405
2016-04-19T13:30,75.73,75.89,74.63,75.02,3885534
2016-04-19T17:30,75.03,75.26,75.01,75.06,2422965
2016-04-20T13:30,75.1,75.53,74.8,75.42,3455962
2016-04-20T17:30,75.42,75.81,75.4,75.44,3044875
2016-04-21T13:30,75.68,75.84,74.91,74.96,4732220
2016-04-21T17:30,74.96,75.29,74.95,75.08,3528133
2016-04-22T13:30,72.43,73.57,71.76,73.09,12451873
2016-04-22T17:30,73.09,73.69,73,73.55,4685981
2016-04-25T13:30,73.05,73.21,72.26,72.68,5367337
2016-04-25T17:30,72.68,72.74,72.42,72.69,3403154
2016-04-26T13:30,72.89,73.08,72.53,72.91,3490210
2016-04-26T17:30,72.91,72.98,72.64,72.89,1972560
2016-04-27T13:30,72.81,73.36,72.59,72.83,3175302
2016-04-27T17:30,72.83,73.31,72.65,73.15,2667745
2016-04-28T13:30,72.76,73.61,72.69,73,3576582
2016-04-28T17:30,73,73.01,72.06,72.22,3217216
2016-04-29T13:30,71.98,72.44,71.52,71.77,3536701
2016-04-29T17:30,71.77,72.11,71.37,71.76,3039412
2016-05-02T13:30,72.25,72.55,71.65,72.47,4396345
2016-05-02T17:30,72.48,72.87,72.34,72.85,2973938
2016-05-03T13:30,71.9,72.76,71.44,71.81,4183275
2016-05-03T17:30,71.81,72,71.69,71.72,2876806
2016-05-04T13:30,71.09,71.57,70.9,71.44,4559403
2016-05-04T17:30,71.44,71.85,71.16,71.58,3316041
2016-05-05T13:30,71.64,72.15,71.52,71.59,2963543
2016-05-05T17:30,71.6,71.86,71.51,71.83,2232359
2016-05-06T13:30,71.72,71.91,71.3,71.78,3312349
2016-05-06T17:30,71.77,72.24,71.7,72.17,2423324
2016-05-09T13:30,72.07,72.68,72.04,72.4,2256114
2016-05-09T17:30,72.4,72.76,72.32,72.58,2408579
2016-05-10T13:30,72.82,73.44,72.81,73.26,3201912
2016-05-10T17:30,73.27,73.67,73.2,73.55,3132138
2016-05-11T13:30,73.62,73.8,72.32,72.49,4671000
2016-05-11T17:30,72.49,72.5,71.9,71.91,3192984
2016-05-12T13:30,72.37,72.39,71.69,71.93,3898215
2016-05-12T17:30,71.93,72.74,71.77,72.48,3314928
2016-05-13T13:30,72.29,72.82,72.06,72.08,3282426
2016-05-13T17:30,72.08,72.14,71.48,71.49,3197720
2016-05-16T13:30,71.65,72.34,71.63,72.29,3778911
2016-05-16T17:30,72.29,72.61,72.21,72.31,2873291
2016-05-17T13:30,72.16,72.48,71.5,71.7,3089296
2016-05-17T17:30,71.7,71.8,71.18,71.41,3167283
2016-05-18T13:30,71.36,72.38,71.07,72.35,2932287
2016-05-18T17:30,72.36,72.45,71.49,72.01,2751555
2016-05-19T13:30,71.51,71.86,70.9,71.24,3004624
2016-05-19T17:30,71.25,71.68,71.23,71.52,2062350
2016-05-20T13:30,71.94,72.6,71.8,72.25,4035942
2016-05-20T17:30,72.24,72.45,72.08,72.21,1818286
2016-05-23T13:30,72.42,72.55,71.76,71.85,3074322
2016-05-23T17:30,71.85,72.09,71.76,71.87,2100261
2016-05-24T13:30,72.24,73.79,72.24,73.72,3978694
2016-05-24T17:30,73.72,73.95,73.58,73.82,2733246
2016-05-25T13:30,73.95,74.11,73.47,73.63,3364433
2016-05-25T17:30,73.64,73.7,73.44,73.53,2147031
2016-05-26T13:30,73.69,73.86,73.37,73.57,2053167
2016-05-26T17:30,73.56,73.66,73.45,73.49,1889820
2016-05-27T13:30,73.34,74,73.34,73.84,1870943
2016-05-27T17:30,73.84,74.08,73.68,74.06,1777710
2016-05-31T13:30,74.23,74.3,73.27,73.52,3224479
2016-05-31T17:30,73.53,73.62,73.29,73.46,2977386
2016-06-01T13:30,73.23,73.77,73.09,73.68,2519192
2016-06-01T17:30,73.68,73.78,73.45,73.68,1537240
2016-06-02T13:30,73.74,74.18,73.42,73.96,3030301
2016-06-02T17:30,73.96,74.35,73.93,74.35,2074328
2016-06-03T13:30,74,74.5,73.64,73.87,4095372
2016-06-03T17:30,73.88,74.61,73.85,74.36,3134236
2016-06-06T13:30,74.69,75.14,74.58,75.01,3474266
2016-06-06T17:30,75.01,75.26,74.93,74.95,2635522
2016-06-07T13:30,75.07,75.35,74.92,75.35,2404516
2016-06-07T17:30,75.34,75.35,75,75.01,2412892
2016-06-08T13:30,74.98,75.61,74.86,75.56,4347880
2016-06-08T17:30,75.56,76.01,75.54,75.93,3620094
2016-06-09T13:30,75.56,75.84,75.33,75.73,3927175
2016-06-09T17:30,75.72,75.85,75.58,75.6,2450644
2016-06-10T13:30,74.78,75.12,74.34,74.7,4522512
2016-06-10T17:30,74.69,74.71,74.27,74.59,2823192
2016-06-13T13:30,73.49,74.59,73.37,73.62,5190532
2016-06-13T17:30,73.63,73.72,72.91,72.97,4448859
2016-06-14T13:30,72.67,73.26,72.52,72.6,4422710
2016-06-14T17:30,72.61,73.24,72.58,73.14,3161728
2016-06-15T13:30,73.09,73.3,72.61,72.98,3360016
2016-06-15T17:30,72.98,73.34,72.69,72.74,3504059
2016-06-16T13:30,72.46,72.62,71.76,72.46,5036876
2016-06-16T17:30,72.46,73.04,72.35,72.88,3323517
2016-06-17T13:30,72.86,72.87,71.47,71.81,8037064
2016-06-17T17:30,71.81,71.97,71.62,71.65,4421590
2016-06-20T13:30,72.84,72.91,72.09,72.15,4892851
2016-06-20T17:30,72.15,72.37,71.93,71.97,2939335
2016-06-21T13:30,72.38,72.57,71.81,71.86,4705384
2016-06-21T17:30,71.85,72,71.77,71.92,3855370
2016-06-22T13:30,72.24,72.34,71.34,71.47,5245172
2016-06-22T17:30,71.48,71.67,71.19,71.2,3479615
2016-06-23T13:30,72.34,72.65,71.51,72.51,7662441
2016-06-23T17:30,72.51,72.78,72.37,72.76,3420537
2016-06-24T13:30,69.58,70.74,69.26,70.34,9868388
2016-06-24T17:30,70.34,70.53,69.81,69.83,6525322
2016-06-27T13:30,69.01,69.38,68.77,69.03,9218067
2016-06-27T17:30,69.02,69.02,68.14,68.23,6336175
2016-06-28T13:30,69.81,70.23,69.29,69.58,7506621
2016-06-28T17:30,69.58,69.99,69.4,69.86,6239180
2016-06-29T13:30,70.7,71.02,70.43,70.98,7051103
2016-06-29T17:30,70.99,71.41,70.95,71.38,4100759
2016-06-30T13:30,71.62,71.76,69.37,69.43,11448027
2016-06-30T17:30,69.43,69.44,68.65,69.01,11144049
2016-07-01T13:30,69.3,70.64,68.93,69.61,9202611
2016-07-01T17:30,69.61,69.76,69.29,69.29,4080686
2016-07-05T13:30,69.07,69.74,68.68,69.41,6288573
2016-07-05T17:30,69.41,69.61,69.13,69.48,3759287
2016-07-06T13:30,68.95,69.54,68.68,69.34,5769527
2016-07-06T17:30,69.34,69.4,68.93,68.99,4477564
2016-07-07T13:30,69.14,70.04,69.09,69.21,3985380
2016-07-07T17:30,69.22,69.49,69.13,69.3,3512053
2016-07-08T13:30,70.05,70.84,69.57,70.83,5782716
2016-07-08T17:30,70.82,71.21,70.74,71.09,4298151
2016-07-11T13:30,71.45,71.81,71.23,71.25,4851604
2016-07-11T17:30,71.25,71.34,71.06,71.17,2909007
2016-07-12T13:30,71.33,72.15,71.21,72.05,5798000
2016-07-12T17:30,72.05,72.16,71.91,72.08,3619726
2016-07-13T13:30,72.26,72.35,71.81,72.04,3513665
2016-07-13T17:30,72.03,72.15,71.98,72.05,2354497
2016-07-14T13:30,72.61,72.92,72.27,72.66,3468129
2016-07-14T17:30,72.65,73.06,72.63,72.69,2748078
2016-07-15T13:30,73.16,73.26,72.69,72.83,4814098
2016-07-15T17:30,72.82,73,72.61,72.88,2684262
2016-07-18T13:30,72.88,73.21,72.77,72.85,2598900
2016-07-18T17:30,72.85,72.92,72.78,72.82,1738285
2016-07-19T13:30,72.33,73.38,72.21,73.27,3932242
2016-07-19T17:30,73.27,73.34,73.09,73.28,2944697
2016-07-20T13:30,73.26,74.13,73.26,74.05,4498284
2016-07-20T17:30,74.06,74.19,73.82,73.82,2940318
2016-07-21T13:30,73.95,74.17,72.93,73.3,5023856
2016-07-21T17:30,73.31,73.36,73.12,73.25,3129034
2016-07-22T13:30,74.4,74.49,72.87,73.61,6570409
2016-07-22T17:30,73.61,74.38,73.6,74.32,5217046
2016-07-25T13:30,74.58,74.58,73.4,73.48,4210681
2016-07-25T17:30,73.47,73.48,73.24,73.44,3118429
2016-07-26T13:30,73.47,73.54,72.5,72.71,4871609
2016-07-26T17:30,72.72,73.01,72.7,72.98,3646559
2016-07-27T13:30,72.97,73.21,72.12,72.71,5839795
2016-07-27T17:30,72.71,73.29,72.68,73.09,3429475
2016-07-28T13:30,73.2,73.77,73.07,73.4,3986010
2016-07-28T17:30,73.39,74.42,73.39,73.68,3654314
2016-07-29T13:30,73.71,73.81,72.82,73.05,3169467
2016-07-29T17:30,73.06,73.08,72.56,72.61,3001617
2016-08-01T13:30,72.85,73.05,72.31,72.6,4229632
2016-08-01T17:30,72.59,72.88,72.42,72.84,3816916
2016-08-02T13:30,72.62,73,72.33,72.77,4865589
2016-08-02T17:30,72.77,72.9,72.65,72.88,2730078
