date,open,high,low,close,volume
2023-10-02T13:30,82.08,87.26,80.52,87.02,7467035
2023-10-02T17:30,87.04,87.9,82.23,83.98,5304158
2023-10-03T13:30,81.63,82.22,75.09,77.76,6971264
2023-10-03T17:30,77.78,78.03,75.07,76.55,4665321
2023-10-04T13:30,75.72,79.63,75.41,76.53,4147033
2023-10-04T17:30,76.53,78.83,75.6,77.14,3667004
2023-10-05T13:30,75.36,76.04,71.75,72.45,8934050
2023-10-05T17:30,72.54,74.11,71.8,73.46,5299843
2023-10-06T13:30,72.14,75.56,72.14,75.13,4773037
2023-10-06T17:30,75.17,77.5,74.99,77.02,2576523
2023-10-09T13:30,75.8,77.04,73.09,74.89,3722418
2023-10-09T17:30,74.91,75.57,72.82,73.65,2771383
2023-10-10T13:30,73.05,74.58,71.61,74.33,2868008
2023-10-10T17:30,74.33,74.44,73.14,74.01,2027939
2023-10-11T13:30,73.52,75.62,72.7,74.04,2495986
2023-10-11T17:30,74.06,74.42,73.44,73.52,1727267
2023-10-12T13:30,72.84,74.37,71.85,73.2,2374164
2023-10-12T17:30,73.22,73.98,72.68,73.29,1999416
2023-10-13T13:30,72.72,73.08,69.6,71.09,3246892
2023-10-13T17:30,71.07,71.46,70.54,70.98,1710866
2023-10-16T13:30,70.74,73.58,70.74,72.61,2358246
2023-10-16T17:30,72.62,73.92,72.44,73.3,1665533
2023-10-17T13:30,72.23,73.69,72.11,73.18,1428048
2023-10-17T17:30,73.17,74.2,73.12,73.56,926355
2023-10-18T13:30,72.59,73.02,71.38,72.06,1453095
2023-10-18T17:30,72.06,72.38,71.44,71.61,1187247
2023-10-19T13:30,70.93,71.84,70.19,70.59,1386229
2023-10-19T17:30,70.59,70.99,69.09,69.38,1195644
2023-10-20T13:30,69.53,69.91,68.05,68.61,1260009
2023-10-20T17:30,68.61,69.12,68.2,69.08,1533112
2023-10-23T13:30,68.45,70.42,66.82,70.04,2213367
2023-10-23T17:30,70.08,71.58,69.85,71.02,1668785
2023-10-24T13:30,71.4,72.8,70.95,71.19,1465920
2023-10-24T17:30,71.25,71.6,70.9,71.16,1696730
2023-10-25T13:30,70.42,71.44,69.48,70.04,1482226
2023-10-25T17:30,69.95,70.29,68.92,69.85,1475103
2023-10-26T13:30,65.51,71.34,64.7,69.68,1839481
2023-10-26T17:30,69.69,69.91,68.71,69.14,1337451
2023-10-27T13:30,67.79,68.58,66.91,67.45,1764939
2023-10-27T17:30,67.52,67.7,66.92,67.2,1421687
2023-10-30T13:30,67.63,68.47,66.59,67.38,1451784
2023-10-30T17:30,67.38,67.76,66.67,67.51,1672567
2023-10-31T13:30,68.07,68.87,66.82,67.45,1220565
2023-10-31T17:30,67.48,68.35,67.27,68.16,1389832
2023-11-01T13:30,67.32,68.34,67.25,67.44,980384
2023-11-01T17:30,67.43,67.67,66.64,66.69,1108696
2023-11-02T13:30,67.16,68.75,65.87,68.69,1396901
2023-11-02T17:30,68.7,69.67,68.51,69.41,1142420
2023-11-03T13:30,69.6,70.05,68.21,69.52,803881
2023-11-03T17:30,69.52,70.21,69.51,69.93,1184068
2023-11-06T14:30,69.19,69.21,67.94,68.57,1394258
2023-11-06T18:30,68.58,68.58,67.24,67.41,987159
2023-11-07T14:30,66.91,68.73,66.53,68.49,958369
2023-11-07T18:30,68.49,69.38,68.47,69.22,750787
2023-11-08T14:30,68.94,69.45,68.69,69.2,1020743
2023-11-08T18:30,69.21,69.22,68.93,68.96,689726
2023-11-09T14:30,68.24,69.45,68.24,69.02,710255
2023-11-09T18:30,69.03,69.07,68.65,68.81,803989
2023-11-10T14:30,68.46,69.51,68.29,69.27,688304
2023-11-10T18:30,69.26,69.91,69.26,69.68,681569
2023-11-13T14:30,69.41,72.21,69.31,71.68,1303651
2023-11-13T18:30,71.68,72.3,71.66,72.08,1204129
2023-11-14T14:30,72.94,73.19,72.11,72.53,1113673
2023-11-14T18:30,72.5,73.03,72.3,72.75,1344939
2023-11-15T14:30,72.56,73.72,72.11,73.38,1042841
2023-11-15T18:30,73.36,73.39,72.58,73.05,1782016
2023-11-16T14:30,71.84,72.16,69.71,69.97,979927
2023-11-16T18:30,69.98,70.33,69.95,70.01,1146078
2023-11-17T14:30,70.03,70.49,69.2,69.97,557799
2023-11-17T18:30,69.97,70.38,69.9,70.11,639903
2023-11-20T14:30,70.12,70.47,69.77,70.1,573926
2023-11-20T18:30,70.1,70.14,69.71,69.9,882980
2023-11-21T14:30,69.93,71.51,69.6,71.42,887408
2023-11-21T18:30,71.44,71.9,71.37,71.42,595410
2023-11-22T14:30,71.9,72.92,71.45,72.36,797883
2023-11-22T18:30,72.37,72.47,71.62,72.05,727537
2023-11-24T14:30,71.76,73.22,71.34,73.1,822430
2023-11-27T14:30,72.91,73.08,72.1,72.87,681940
2023-11-27T18:30,72.86,72.9,72.49,72.6,673649
2023-11-28T14:30,72.03,73.62,71.95,72.8,728568
2023-11-28T18:30,72.82,72.97,72.41,72.41,869081
2023-11-29T14:30,72.49,74.32,72.34,74.3,1209143
2023-11-29T18:30,74.3,74.32,73.28,73.31,1044207
2023-11-30T14:30,73.78,76.16,73.78,75.96,1330229
2023-11-30T18:30,75.94,76.66,75.41,76.28,1542767
2023-12-01T14:30,76.22,76.22,75.03,75.52,857408
2023-12-01T18:30,75.48,76.11,75.41,75.57,816546
2023-12-04T14:30,75.03,75.97,74.56,75.05,626824
2023-12-04T18:30,75.05,75.21,74.62,74.84,683731
2023-12-05T14:30,74.47,75.17,74.29,75.06,513260
2023-12-05T18:30,75.07,75.2,74.55,74.62,544139
2023-12-06T14:30,74.62,75.55,74.09,74.61,705759
2023-12-06T18:30,74.63,74.95,74.48,74.89,954991
2023-12-07T14:30,74.87,75.35,74.3,74.41,537147
2023-12-07T18:30,74.39,74.54,73.7,73.71,532052
2023-12-08T14:30,73.68,74.65,73.35,74,315077
2023-12-08T18:30,73.98,74.71,73.81,74.5,371790
2023-12-11T14:30,74.07,75.85,73.73,75.82,797091
2023-12-11T18:30,75.85,76.41,75.71,75.88,537467
2023-12-12T14:30,75.43,76.5,74.85,75.84,647930
