date,open,high,low,close,volume
2016-01-04T14:30,123.03,123.87,121.035,122.19,1168267
2016-01-04T18:30,122.12,123.03,121.35,122.9,832044
2016-01-05T14:30,123.89,124.96,121.9,122.76,593179
2016-01-05T18:30,122.77,123.85,122.06,123.39,586183
2016-01-06T14:30,120.79,123.17,119.51,121.95,807239
2016-01-06T18:30,121.96,122.64,120.875,122.23,703818
2016-01-07T14:30,119.01,119.82,113.85,114.65,1209881
2016-01-07T18:30,114.58,116.8,114.01,114.96,966610
2016-01-08T14:30,115.68,117.11,111.7,111.84,987218
2016-01-08T18:30,111.92,112.84,110.55,110.71,720392
2016-01-11T14:30,109.96,109.96,103.67,103.73,1670432
2016-01-11T18:30,103.75,104.9099,101.49,103.94,1426021
2016-01-12T14:30,104.95,108.71,100.41,100.41,1262954
2016-01-12T18:30,100.51,103.88,98.87,103.64,1776100
2016-01-13T14:30,104.3,105.5,96.87,97.605,3339292
2016-01-13T18:30,97.61,97.89,95.68,96.37,2169288
2016-01-14T14:30,97.44,103.95,94.68,101.98,2138146
2016-01-14T18:30,102,103.04,101.01,101.91,1255485
2016-01-15T14:30,98.15,100.13,95.09,97.43,1664236
2016-01-15T18:30,97.28,98.38,95.32,97.91,1313637
2016-01-19T14:30,100.65,101.46,94.68,96.07,1467970
2016-01-19T18:30,96.07,96.07,92.57,94.98,1151872
2016-01-20T14:30,93.33,94.29,89.97,92.465,1569390
2016-01-20T18:30,92.47,98.58,92.33,96.99,2226181
2016-01-21T14:30,97.09,98.84,95,96.8,1583390
2016-01-21T18:30,96.85,97.23,94.84,95.05,937724
2016-01-22T14:30,97,97.81,95.19,95.38,1041754
2016-01-22T18:30,95.385,95.89,93.65,94.71,1404804
2016-01-25T14:30,94.24,95.17,92.02,93.55,1431420
2016-01-25T18:30,93.55,94.055,92.01,92.12,1000955
2016-01-26T14:30,92.7,93.4308,90.47,92.99,1154148
2016-01-26T18:30,92.89,93.15,90.93,92.19,1317498
2016-01-27T14:30,92.35,96.09,91.02,94.11,1339843
2016-01-27T18:30,94.19,94.32,89.92,92.66,2128637
2016-01-28T14:30,91,91.22,81.98,88.32,5250073
2016-01-28T18:30,88.3,94.09,87.94,92.76,2746667
2016-01-29T14:30,92.72,94.49,90.18,90.88,1858213
2016-01-29T18:30,90.94,91.1795,90,90.74,1284653
2016-02-01T14:30,91.92,93.99,89.75,91.13,1588013
2016-02-01T18:30,91.1841,93.12,90.41,92.38,1145493
2016-02-02T14:30,90.59,92.65,89.43,92.65,1605225
2016-02-02T18:30,92.615,92.6795,90.41,90.99,1283897
2016-02-03T14:30,91.54,92.28,86.12,89.55,1802896
2016-02-03T18:30,89.5,93.98,89.39,93.88,1342322
2016-02-04T14:30,93.49,96.35,90.71,92.34,1508077
