date,open,high,low,close,volume
2016-01-04T14:30,35.93,36.13,35.64,36.04,914027
2016-01-04T18:30,36.04,36.2,35.76,36.2,735155
2016-01-05T14:30,36.19,36.34,35.58,36.31,999593
2016-01-05T18:30,36.31,36.7,36.28,36.6,1270342
2016-01-06T14:30,36.31,36.62,36.23,36.55,762240
2016-01-06T18:30,36.56,36.66,36.33,36.49,599835
2016-01-07T14:30,36.05,36.6,36.05,36.37,905527
2016-01-07T18:30,36.37,36.6,36.26,36.48,845942
2016-01-08T14:30,36.53,36.79,36.44,36.77,728478
2016-01-08T18:30,36.77,36.8,36.24,36.29,863837
2016-01-11T14:30,36.5,36.82,36.39,36.54,963277
2016-01-11T18:30,36.54,36.71,36.36,36.6,640465
2016-01-12T14:30,36.67,36.77,35.99,36.22,828951
2016-01-12T18:30,36.21,36.43,36.21,36.37,733721
2016-01-13T14:30,36.58,36.98,36.46,36.86,1018759
2016-01-13T18:30,36.86,37.01,36.45,36.58,1006095
2016-01-14T14:30,36.54,37.1,36.26,37.08,1230035
2016-01-14T18:30,37.08,37.67,37.05,37.39,1804740
2016-01-15T14:30,36.84,37.33,36.71,36.77,1274425
2016-01-15T18:30,36.77,37.24,36.7,37.21,1093304
2016-01-19T14:30,37.32,38.01,37.14,37.97,1569506
2016-01-19T18:30,37.97,38.34,37.82,38.23,1891587
2016-01-20T14:30,37.96,38.25,37.16,37.39,1995717
2016-01-20T18:30,37.39,37.59,37.1,37.35,1395382
2016-01-21T14:30,37.39,37.79,36.91,37,1462456
2016-01-21T18:30,37.01,37.17,36.69,37,1275708
2016-01-22T14:30,37.21,37.56,36.96,37.52,1305058
2016-01-22T18:30,37.53,37.89,37.53,37.82,1156540
2016-01-25T14:30,37.6,37.92,37.42,37.74,1207407
2016-01-25T18:30,37.74,37.75,37.39,37.53,806658
2016-01-26T14:30,37.64,38.27,37.56,37.99,1050650
2016-01-26T18:30,37.99,38.02,37.85,37.98,1083261
2016-01-27T14:30,37.69,38.23,37.48,38.04,1219022
2016-01-27T18:30,38.04,38.06,37.35,37.79,925479
2016-01-28T14:30,37.75,38.56,37.36,38.55,990697
2016-01-28T18:30,38.55,38.95,38.53,38.59,1463569
2016-01-29T14:30,38.97,39.31,38.74,39.16,1105698
2016-01-29T18:30,39.17,39.23,38.89,38.97,1174609
2016-02-01T14:30,38.93,39.88,38.69,39.76,1245570
2016-02-01T18:30,39.76,39.85,39.55,39.55,1153074
2016-02-02T14:30,39.4,39.5,39.09,39.33,1012693
2016-02-02T18:30,39.33,39.61,39.26,39.59,871680
2016-02-03T14:30,39.78,40.09,39.65,40.07,1495310
2016-02-03T18:30,40.08,40.24,39.76,39.96,1142723
2016-02-04T14:30,39.57,40.33,39.57,40.11,1154284
2016-02-04T18:30,40.11,40.2,39.61,39.78,1145147
2016-02-05T14:30,39.52,40.12,38.95,39.95,1134674
2016-02-05T18:30,39.95,40.29,39.93,40.24,1304304
