date,open,high,low,close,volume
2016-01-04T14:30,43.32,43.33,42.82,42.96,880696
2016-01-04T18:30,42.96,43.22,42.89,43.2,869994
2016-01-05T14:30,43.19,43.33,43.01,43.12,893460
2016-01-05T18:30,43.12,43.4,43.1,43.35,1091680
2016-01-06T14:30,42.96,43.75,42.92,43.65,1638963
2016-01-06T18:30,43.66,43.91,43.47,43.89,1502699
2016-01-07T14:30,43.3,43.69,43.19,43.48,1290974
2016-01-07T18:30,43.48,43.66,43.17,43.38,1677407
2016-01-08T14:30,43.39,43.77,43.38,43.52,1244165
2016-01-08T18:30,43.52,43.56,43.01,43.1,965652
2016-01-11T14:30,43.12,43.42,43.03,43.23,997459
2016-01-11T18:30,43.24,43.68,43.1,43.52,1003744
2016-01-12T14:30,43.62,43.91,43.37,43.44,883668
2016-01-12T18:30,43.44,43.81,43.38,43.8,1011839
2016-01-13T14:30,43.8,43.94,43.25,43.33,836741
2016-01-13T18:30,43.32,43.36,42.82,43.03,1410029
2016-01-14T14:30,43.19,43.3,42.77,43.21,979541
2016-01-14T18:30,43.22,43.66,43.1,43.46,1222145
2016-01-15T14:30,42.76,42.91,42.07,42.15,1487608
2016-01-15T18:30,42.14,42.56,42.04,42.42,1395718
2016-01-19T14:30,42.75,43.41,42.69,43.13,867939
2016-01-19T18:30,43.12,43.42,42.97,43.34,1060058
2016-01-20T14:30,42.77,43.13,41.47,41.57,1921672
2016-01-20T18:30,41.57,43.07,41.51,42.77,2073726
2016-01-21T14:30,42.74,43.3,42.63,42.79,1206257
2016-01-21T18:30,42.8,43.1,42.52,42.79,1078775
2016-01-22T14:30,43.26,43.64,43.06,43.52,1369927
2016-01-22T18:30,43.52,43.76,43.48,43.64,738002
2016-01-25T14:30,43.58,43.58,43.15,43.39,705274
2016-01-25T18:30,43.38,43.44,42.9,43.03,913472
2016-01-26T14:30,42.98,43.29,42.81,43.14,1025514
2016-01-26T18:30,43.14,43.22,43.01,43.06,818454
2016-01-27T14:30,42.93,43.23,42.88,43.04,1137037
