date,open,high,low,close,volume
2016-01-04T14:30,14.36,14.97,14.25,14.6,4956238
2016-01-04T18:30,14.6,14.76,14.47,14.76,2622217
2016-01-05T14:30,14.86,14.98,14.58,14.85,4778986
2016-01-05T18:30,14.85,15.02,14.72,14.84,4369807
2016-01-06T14:30,14.38,14.49,13.33,13.35,6359396
2016-01-06T18:30,13.35,13.36,12.89,12.93,6251312
2016-01-07T14:30,12.51,12.83,12.01,12.06,6691086
2016-01-07T18:30,12.06,12.06,11.6,11.6,5480796
2016-01-08T14:30,11.85,11.95,10.96,11.01,8922282
2016-01-08T18:30,11.01,11.69,11,11.43,6719097
2016-01-11T14:30,11.36,11.53,10.61,10.64,7541592
2016-01-11T18:30,10.65,10.68,10.31,10.51,7475563
2016-01-12T14:30,10.66,10.82,8.753,8.8,17244469
2016-01-12T18:30,8.798,9.732,8.55,9.304,31594597
2016-01-13T14:30,9.276,9.31,7.739,7.818,31655804
2016-01-13T18:30,7.813,7.976,7.188,7.661,17855660
2016-01-14T14:30,7.554,9.417,7.452,9.304,27609541
2016-01-14T18:30,9.31,10.38,9.158,10.31,13876843
2016-01-15T14:30,8.893,10.13,8.792,9.529,16093727
2016-01-15T18:30,9.524,9.653,9.028,9.062,7464385
2016-01-19T14:30,9.321,9.935,8.913,9.057,13780405
2016-01-19T18:30,9.057,9.096,8.674,8.876,7692682
2016-01-20T14:30,8.547,8.547,7.953,8.39,7062558
2016-01-20T18:30,8.387,8.843,8.381,8.749,6688185
2016-01-21T14:30,8.668,9.451,8.584,9.057,10568183
2016-01-21T18:30,9.051,9.147,8.972,9.028,5891801
2016-01-22T14:30,9.518,10.68,9.496,10.41,17717809
2016-01-22T18:30,10.42,11.17,10.41,11.11,10598388
2016-01-25T14:30,10.8,12.26,10.68,10.88,13917152
2016-01-25T18:30,10.88,10.97,10.27,10.32,4773592
2016-01-26T14:30,10.66,11.52,10.29,11.49,12330312
2016-01-26T18:30,11.49,11.63,11.27,11.49,5803178
2016-01-27T14:30,11.41,11.5,10.27,10.84,19108932
2016-01-27T18:30,10.84,11.21,10.66,10.85,5263344
2016-01-28T14:30,11.49,11.87,10.99,11.06,8828895
2016-01-28T18:30,11.05,11.11,10.71,10.86,8202176
2016-01-29T14:30,10.94,11.17,10.46,10.76,8687997
2016-01-29T18:30,10.77,10.91,10.57,10.86,4549246
2016-02-01T14:30,10.63,10.75,10.19,10.62,7012053
2016-02-01T18:30,10.62,11.17,10.54,10.98,5713478
2016-02-02T14:30,10.61,10.95,10.45,10.64,5004141
2016-02-02T18:30,10.64,10.64,10.41,10.51,4449725
2016-02-03T14:30,10.71,10.82,9.557,10.36,9882052
2016-02-03T18:30,10.35,10.47,10.14,10.37,5006050
2016-02-04T14:30,10.43,10.76,10.02,10.22,6824840
2016-02-04T18:30,10.22,10.58,10.12,10.55,3896365
2016-02-05T14:30,10.42,10.45,9.743,9.783,5642900
2016-02-05T18:30,9.783,9.797,9.543,9.631,5254265
2016-02-08T14:30,8.404,8.443,5.859,6.557,38585362
2016-02-08T18:30,6.552,6.574,5.753,6.282,20896783
2016-02-09T14:30,6.338,6.839,6.192,6.262,16448309
2016-02-09T18:30,6.26,6.805,6.208,6.743,9003932
2016-02-10T14:30,6.507,7.756,6.355,7.499,13041312
2016-02-10T18:30,7.497,7.554,7.199,7.227,5092945
2016-02-11T14:30,6.799,7.869,6.619,7.244,9430779
2016-02-11T18:30,7.25,7.638,7.053,7.492,4920489
2016-02-12T14:30,7.655,8.162,7.317,7.593,5796234
2016-02-12T18:30,7.593,7.689,7.507,7.576,2463301
2016-02-16T14:30,7.818,8.33,7.773,8.291,7027972
2016-02-16T18:30,8.297,8.471,8.24,8.449,3995421
2016-02-17T14:30,8.685,9.003,8.477,8.851,6136031
2016-02-17T18:30,8.854,8.927,8.71,8.82,3257171
2016-02-18T14:30,8.831,9.169,8.336,8.947,6959399
2016-02-18T18:30,8.947,9.017,8.736,8.961,4667198
2016-02-19T14:30,8.775,8.865,8.443,8.618,5257875
2016-02-19T18:30,8.618,8.775,8.612,8.741,3044260
2016-02-22T14:30,8.978,9.228,8.803,9.02,4837307
2016-02-22T18:30,9.017,9.118,8.966,9.082,2783994
2016-02-23T14:30,9.034,9.079,8.685,8.769,4447865
2016-02-23T18:30,8.769,8.865,8.674,8.775,3921514
2016-02-24T14:30,8.606,9.085,8.274,9.051,4446729
2016-02-24T18:30,9.057,9.4,8.978,9.36,2679310
2016-02-25T14:30,8.865,9.09,8.432,8.882,7631944
2016-02-25T18:30,8.882,9.484,8.398,9.023,11409200
2016-02-26T14:30,9.214,9.451,8.893,8.916,6126540
2016-02-26T18:30,8.921,8.966,8.724,8.809,4316135
2016-02-29T14:30,8.865,9.315,8.753,9.045,5688372
2016-02-29T18:30,9.045,9.147,8.82,9.003,4424344
2016-03-01T14:30,9.085,9.287,8.882,9.259,3276798
2016-03-01T18:30,9.259,9.338,9.203,9.304,2597934
2016-03-02T14:30,9.243,9.484,9.186,9.398,3359651
2016-03-02T18:30,9.4,9.704,9.383,9.642,2646546
2016-03-03T14:30,9.614,10.17,9.608,9.985,4268042
2016-03-03T18:30,9.991,10.22,9.963,10.18,2482513
2016-03-04T14:30,10.48,10.86,10.41,10.72,11353141
2016-03-04T18:30,10.73,10.89,10.48,10.76,5098560
2016-03-07T14:30,10.87,11.2,10.58,10.78,7479074
2016-03-07T18:30,10.78,10.96,10.62,10.72,6268197
2016-03-08T14:30,10.63,10.67,10.04,10.24,7973541
2016-03-08T18:30,10.24,10.43,9.653,9.712,8675497
2016-03-09T14:30,9.957,10.15,9.738,9.839,6022749
2016-03-09T18:30,9.839,10.24,9.828,10.11,6333514
2016-03-10T14:30,10.07,10.1,8.662,9.152,25989395
2016-03-10T18:30,9.152,9.381,8.907,9.28,9355548
2016-03-11T14:30,9.578,9.724,9.292,9.474,7526728
2016-03-11T18:30,9.473,9.485,9.321,9.339,3448685
2016-03-14T13:30,9.292,9.771,9.169,9.736,6083726
2016-03-14T17:30,9.73,9.788,9.619,9.63,2781740
2016-03-15T13:30,9.42,9.444,9.064,9.315,5540632
2016-03-15T17:30,9.321,9.438,9.222,9.42,3113578
2016-03-16T13:30,9.455,10.1,9.455,9.972,4324819
2016-03-16T17:30,9.969,10.23,9.829,10.18,4599980
2016-03-17T13:30,10.38,10.49,10.02,10.35,4880400
2016-03-17T17:30,10.35,10.63,10.35,10.37,4119950
2016-03-18T13:30,10.58,10.73,10.4,10.55,5711457
