date,open,high,low,close,volume
2016-01-04T14:30,12.61,12.64,12.37,12.4,831224
2016-01-04T18:30,12.4,12.44,12.36,12.44,1372134
2016-01-05T14:30,12.44,12.55,12.4,12.5,944159
2016-01-05T18:30,12.5,12.58,12.49,12.55,936981
2016-01-06T14:30,12.4,12.49,12.35,12.41,596218
2016-01-06T18:30,12.41,12.41,12.32,12.39,670156
2016-01-07T14:30,12.18,12.38,12.16,12.24,1010074
2016-01-07T18:30,12.23,12.27,12.18,12.18,1482366
2016-01-08T14:30,12.22,12.28,12.17,12.26,864670
2016-01-08T18:30,12.27,12.29,12.12,12.14,1105355
2016-01-11T14:30,12.17,12.23,11.99,11.99,807896
2016-01-11T18:30,11.99,12.03,11.92,11.98,1304176
2016-01-12T14:30,12.05,12.08,11.86,11.86,929450
2016-01-12T18:30,11.85,11.9,11.8,11.88,1996975
2016-01-13T14:30,11.93,11.96,11.71,11.72,1103844
2016-01-13T18:30,11.72,11.74,11.56,11.58,1535946
2016-01-14T14:30,11.58,11.82,11.58,11.8,868950
2016-01-14T18:30,11.8,11.85,11.75,11.76,716028
2016-01-15T14:30,11.61,11.61,11.28,11.37,1675388
2016-01-15T18:30,11.37,11.53,11.36,11.49,1238215
2016-01-19T14:30,11.6,11.6,11.45,11.48,972538
2016-01-19T18:30,11.48,11.55,11.43,11.49,785411
2016-01-20T14:30,11.33,11.4,11.1,11.17,913488
2016-01-20T18:30,11.17,11.42,11.17,11.3,1085942
2016-01-21T14:30,11.42,11.49,11.28,11.38,910896
2016-01-21T18:30,11.38,11.42,11.3,11.3,1055339
2016-01-22T14:30,11.45,11.49,11.36,11.49,646772
2016-01-22T18:30,11.49,11.52,11.42,11.48,721484
2016-01-25T14:30,11.45,11.48,11.25,11.34,897889
2016-01-25T18:30,11.34,11.36,11.18,11.2,1328766
2016-01-26T14:30,11.24,11.42,11.2,11.36,553122
2016-01-26T18:30,11.35,11.35,11.28,11.34,595761
2016-01-27T14:30,11.33,11.47,11.29,11.42,427161
2016-01-27T18:30,11.42,11.42,11.24,11.29,720710
2016-01-28T14:30,11.38,11.39,11.28,11.34,392340
2016-01-28T18:30,11.35,11.41,11.34,11.39,948381
2016-01-29T14:30,11.44,11.6,11.41,11.58,564260
2016-01-29T18:30,11.57,11.71,11.56,11.71,1198214
2016-02-01T14:30,11.66,11.75,11.58,11.7,595148
2016-02-01T18:30,11.7,11.81,11.66,11.74,1051597
2016-02-02T14:30,11.64,11.66,11.47,11.54,1090312
2016-02-02T18:30,11.54,11.61,11.5,11.51,1429995
2016-02-03T14:30,11.21,11.72,11.21,11.68,2715673
2016-02-03T18:30,11.68,11.84,11.64,11.79,1123255
2016-02-04T14:30,11.75,11.89,11.68,11.71,957334
2016-02-04T18:30,11.71,11.8,11.67,11.8,1142002
2016-02-05T14:30,11.77,11.88,11.77,11.87,936143
2016-02-05T18:30,11.87,11.95,11.84,11.93,1226084
2016-02-08T14:30,11.83,11.95,11.79,11.79,1092715
2016-02-08T18:30,11.79,11.97,11.72,11.95,1380360
2016-02-09T14:30,11.84,12.02,11.84,11.93,535980
2016-02-09T18:30,11.93,12.06,11.91,12,853097
2016-02-10T14:30,12.03,12.14,12.03,12.1,524877
2016-02-10T18:30,12.1,12.14,11.97,11.98,967497
2016-02-11T14:30,11.73,11.85,11.71,11.76,1268456
2016-02-11T18:30,11.76,11.84,11.72,11.75,1099813
2016-02-12T14:30,11.83,12.08,11.83,11.95,624856
2016-02-12T18:30,11.95,12.02,11.93,12,674100
2016-02-16T14:30,12.12,12.16,11.98,12.12,963687
2016-02-16T18:30,12.12,12.12,12.02,12.08,766955
2016-02-17T14:30,12.14,12.16,12.05,12.12,550743
2016-02-17T18:30,12.12,12.14,12.08,12.1,643246
2016-02-18T14:30,12.11,12.13,12.02,12.02,614998
2016-02-18T18:30,12.03,12.19,12.03,12.18,756297
2016-02-19T14:30,12.12,12.24,12.1,12.18,668225
2016-02-19T18:30,12.18,12.19,12.12,12.14,706004
2016-02-22T14:30,12.21,12.26,12.13,12.14,325284
2016-02-22T18:30,12.14,12.18,12.13,12.17,362279
2016-02-23T14:30,12.15,12.19,12.04,12.09,461004
2016-02-23T18:30,12.09,12.12,12.05,12.06,341817
2016-02-24T14:30,11.98,12.03,11.91,11.97,391627
2016-02-24T18:30,11.97,12.08,11.96,12.06,447845
2016-02-25T14:30,12.09,12.19,12.09,12.19,231076
2016-02-25T18:30,12.19,12.19,12.13,12.15,437525
2016-02-26T14:30,12.2,12.22,12.1,12.11,250119
2016-02-26T18:30,12.1,12.19,12.09,12.19,1291712
2016-02-29T14:30,12.18,12.2,12.08,12.11,657324
2016-02-29T18:30,12.1,12.13,12.02,12.02,759403
2016-03-01T14:30,12.1,12.28,12.05,12.24,611152
2016-03-01T18:30,12.24,12.26,12.16,12.25,860238
2016-03-02T14:30,12.21,12.36,12.19,12.29,609820
2016-03-02T18:30,12.3,12.38,12.27,12.38,557990
2016-03-03T14:30,12.38,12.44,12.34,12.39,363610
2016-03-03T18:30,12.39,12.43,12.39,12.42,368138
2016-03-04T14:30,12.41,12.43,12.32,12.36,468759
2016-03-04T18:30,12.37,12.4,12.32,12.39,633649
2016-03-07T14:30,12.32,12.36,12.22,12.29,340874
2016-03-07T18:30,12.29,12.32,12.27,12.31,634169
2016-03-08T14:30,12.26,12.27,12.19,12.25,359494
2016-03-08T18:30,12.25,12.27,12.21,12.25,618636
2016-03-09T14:30,12.32,12.32,12.16,12.19,274015
2016-03-09T18:30,12.19,12.23,12.16,12.19,461294
2016-03-10T14:30,12.21,12.28,12.06,12.11,370810
2016-03-10T18:30,12.11,12.21,12.1,12.19,410395
2016-03-11T14:30,12.28,12.45,12.24,12.44,330910
2016-03-11T18:30,12.44,12.5,12.44,12.49,467493
2016-03-14T13:30,12.49,12.54,12.43,12.52,731232
2016-03-14T17:30,12.52,12.56,12.5,12.53,570741
2016-03-15T13:30,12.45,12.59,12.42,12.58,436264
2016-03-15T17:30,12.57,12.58,12.53,12.55,553937
2016-03-16T13:30,12.52,12.55,12.46,12.48,438197
2016-03-16T17:30,12.47,12.53,12.44,12.48,583933
2016-03-17T13:30,12.49,12.74,12.46,12.69,970318
2016-03-17T17:30,12.69,12.8,12.69,12.75,804920
2016-03-18T13:30,12.73,12.86,12.67,12.75,945987
2016-03-18T17:30,12.76,12.83,12.71,12.81,826997
2016-03-21T13:30,12.77,12.81,12.68,12.75,367178
2016-03-21T17:30,12.75,12.76,12.71,12.71,405405
2016-03-22T13:30,12.69,12.87,12.69,12.86,578633
2016-03-22T17:30,12.86,12.86,12.76,12.79,621700
2016-03-23T13:30,12.79,12.83,12.69,12.77,258414
2016-03-23T17:30,12.77,12.79,12.72,12.73,454378
2016-03-24T13:30,12.62,12.7,12.53,12.59,924052
2016-03-24T17:30,12.59,12.6,12.54,12.6,495091
2016-03-28T13:30,12.41,12.72,12.34,12.69,572796
2016-03-28T17:30,12.69,12.77,12.69,12.74,525699
2016-03-29T13:30,12.74,12.87,12.74,12.79,434277
2016-03-29T17:30,12.79,12.91,12.79,12.9,730359
2016-03-30T13:30,12.96,13.13,12.93,13.06,624632
2016-03-30T17:30,13.06,13.2,13.04,13.14,1903782
2016-03-31T13:30,13.1,13.23,13.07,13.18,958160
2016-03-31T17:30,13.18,13.18,13.09,13.14,1238586
2016-04-01T13:30,13.08,13.21,13.04,13.15,673452
2016-04-01T17:30,13.15,13.29,13.15,13.28,1041454
2016-04-04T13:30,13.29,13.3,13.15,13.15,201870
2016-04-04T17:30,13.15,13.2,13.12,13.18,535401
2016-04-05T13:30,13.09,13.16,13.05,13.1,426099
2016-04-05T17:30,13.1,13.11,13.01,13.06,894807
2016-04-06T13:30,13.05,13.07,12.97,13.05,459159
2016-04-06T17:30,13.04,13.07,12.94,13.03,640812
2016-04-07T13:30,12.94,13.09,12.92,13.05,1454498
2016-04-07T17:30,13.05,13.07,12.91,12.97,633426
2016-04-08T13:30,13.04,13.11,12.92,12.97,287914
2016-04-08T17:30,12.97,13.01,12.92,12.97,500915
2016-04-11T13:30,13,13.05,12.9,12.93,225530
2016-04-11T17:30,12.92,12.95,12.89,12.9,314739
2016-04-12T13:30,12.91,13,12.81,12.98,325048
2016-04-12T17:30,12.99,13.13,12.98,13.12,903950
2016-04-13T13:30,13.19,13.21,13.06,13.14,236997
2016-04-13T17:30,13.14,13.23,13.14,13.23,390123
2016-04-14T13:30,13.2,13.24,13.07,13.08,349291
2016-04-14T17:30,13.09,13.12,13.07,13.09,588669
2016-04-15T13:30,13.11,13.25,13.08,13.17,353576
2016-04-15T17:30,13.17,13.22,13.16,13.2,542073
2016-04-18T13:30,13.18,13.25,13.16,13.2,295017
2016-04-18T17:30,13.2,13.28,13.19,13.28,434585
2016-04-19T13:30,13.31,13.34,13.23,13.29,260818
2016-04-19T17:30,13.29,13.31,13.25,13.28,534988
2016-04-20T13:30,13.27,13.3,13.19,13.24,484735
2016-04-20T17:30,13.24,13.35,13.24,13.3,334817
2016-04-21T13:30,13.22,13.31,13.03,13.04,1049640
2016-04-21T17:30,13.04,13.04,12.91,12.92,1508214
2016-04-22T13:30,12.92,13.07,12.92,13.02,1062012
2016-04-22T17:30,13.02,13.12,13.01,13.12,724942
2016-04-25T13:30,13.09,13.12,12.98,13.04,633238
2016-04-25T17:30,13.04,13.06,13.02,13.06,844909
2016-04-26T13:30,13.08,13.17,13.07,13.12,398459
2016-04-26T17:30,13.12,13.21,13.11,13.18,778647
2016-04-27T13:30,13.34,13.41,13.11,13.32,1452858
2016-04-27T17:30,13.32,13.38,13.25,13.32,1143587
2016-04-28T13:30,13.18,13.22,13.11,13.21,2611077
2016-04-28T17:30,13.21,13.24,13.07,13.1,2285733
2016-04-29T13:30,13.13,13.14,13.01,13.07,825288
2016-04-29T17:30,13.06,13.14,12.99,13.11,1010808
2016-05-02T13:30,13.12,13.24,13.06,13.12,1129558
2016-05-02T17:30,13.11,13.13,13.1,13.1,1088972
2016-05-03T13:30,13.04,13.1,12.97,12.99,749536
2016-05-03T17:30,12.99,13.05,12.99,13.03,1670154
2016-05-04T13:30,12.97,13,12.86,12.91,1240729
2016-05-04T17:30,12.91,12.97,12.87,12.92,1165025
2016-05-05T13:30,12.98,13.03,12.87,12.87,864158
2016-05-05T17:30,12.87,12.97,12.87,12.93,1835482
2016-05-06T13:30,12.91,12.94,12.82,12.86,627989
2016-05-06T17:30,12.86,12.89,12.85,12.86,1085932
2016-05-09T13:30,12.86,12.92,12.77,12.88,664003
2016-05-09T17:30,12.88,12.91,12.87,12.89,1219572
2016-05-10T13:30,12.98,13.1,12.86,13.04,656054
2016-05-10T17:30,13.04,13.09,13.02,13.09,637141
2016-05-11T13:30,13.03,13.16,13.03,13.06,385122
2016-05-11T17:30,13.06,13.1,13.05,13.07,628601
2016-05-12T13:30,13.09,13.14,13.03,13.12,365266
2016-05-12T17:30,13.11,13.2,13.1,13.19,671190
2016-05-13T13:30,13.16,13.21,13.11,13.11,340758
2016-05-13T17:30,13.12,13.14,13.06,13.13,759578
2016-05-16T13:30,13.1,13.18,13.07,13.15,324558
2016-05-16T17:30,13.15,13.19,13.14,13.15,589528
2016-05-17T13:30,13.14,13.17,12.98,13.02,345952
2016-05-17T17:30,13.03,13.05,12.91,12.96,691494
2016-05-18T13:30,12.91,13.18,12.9,13.18,480871
2016-05-18T17:30,13.18,13.19,13.02,13.11,748431
2016-05-19T13:30,13.04,13.07,12.9,12.95,297196
2016-05-19T17:30,12.96,13.06,12.95,13.03,462606
2016-05-20T13:30,13.04,13.17,13.02,13.12,431769
2016-05-20T17:30,13.12,13.13,13.08,13.12,600184
2016-05-23T13:30,13.1,13.1,12.97,13.04,237540
2016-05-23T17:30,13.04,13.08,13.02,13.03,414004
2016-05-24T13:30,13.1,13.24,13.02,13.17,315187
2016-05-24T17:30,13.17,13.23,13.14,13.22,547654
2016-05-25T13:30,13.22,13.26,13.19,13.22,532407
2016-05-25T17:30,13.22,13.25,13.2,13.22,665546
2016-05-26T13:30,13.22,13.22,13.13,13.15,375319
2016-05-26T17:30,13.14,13.19,13.13,13.15,684079
2016-05-27T13:30,13.17,13.27,13.17,13.23,235289
2016-05-27T17:30,13.23,13.28,13.22,13.27,359754
2016-05-31T13:30,13.28,13.39,13.25,13.31,530420
2016-05-31T17:30,13.3,13.4,13.26,13.34,786126
2016-06-01T13:30,13.29,13.33,13.22,13.29,406378
2016-06-01T17:30,13.28,13.36,13.27,13.36,446463
2016-06-02T13:30,13.33,13.43,13.29,13.31,306652
2016-06-02T17:30,13.31,13.36,13.29,13.36,401334
2016-06-03T13:30,13.31,13.31,13.14,13.19,600625
2016-06-03T17:30,13.18,13.24,13.16,13.22,711433
2016-06-06T13:30,13.24,13.28,13.16,13.19,369270
2016-06-06T17:30,13.2,13.25,13.18,13.18,540434
2016-06-07T13:30,13.21,13.21,13.12,13.2,315371
2016-06-07T17:30,13.2,13.21,13.15,13.17,359111
2016-06-08T13:30,13.15,13.22,13.13,13.19,314841
2016-06-08T17:30,13.19,13.21,13.17,13.18,440499
2016-06-09T13:30,13.17,13.22,13.11,13.21,159740
2016-06-09T17:30,13.22,13.22,13.18,13.21,217689
2016-06-10T13:30,13.12,13.18,13.08,13.13,194185
2016-06-10T17:30,13.12,13.13,13.06,13.12,323143
2016-06-13T13:30,13.09,13.13,13.03,13.07,655574
2016-06-13T17:30,13.07,13.08,13,13.02,862827
2016-06-14T13:30,12.98,13.06,12.98,13.03,316760
2016-06-14T17:30,13.02,13.07,12.99,13.02,489914
2016-06-15T13:30,13.04,13.04,12.92,12.96,532812
2016-06-15T17:30,12.97,13.01,12.91,12.92,356824
2016-06-16T13:30,12.85,13.02,12.84,12.99,370117
2016-06-16T17:30,12.99,13.08,12.96,13.08,580168
2016-06-17T13:30,13.07,13.1,13.02,13.09,1152773
2016-06-17T17:30,13.09,13.13,13.08,13.11,686778
2016-06-20T13:30,13.2,13.28,13.12,13.12,485593
2016-06-20T17:30,13.12,13.17,13.09,13.1,834000
2016-06-21T13:30,13.1,13.22,13.08,13.17,419647
2016-06-21T17:30,13.17,13.21,13.14,13.16,515002
2016-06-22T13:30,13.19,13.26,13.18,13.23,366640
2016-06-22T17:30,13.23,13.25,13.19,13.21,695615
2016-06-23T13:30,13.33,13.44,13.33,13.41,299401
2016-06-23T17:30,13.4,13.48,13.38,13.47,522540
2016-06-24T13:30,13.03,13.25,12.99,13.11,534581
2016-06-24T17:30,13.11,13.18,13.08,13.11,1087761
2016-06-27T13:30,12.99,12.99,12.83,12.96,689617
2016-06-27T17:30,12.96,12.96,12.87,12.92,1393130
2016-06-28T13:30,13.03,13.21,12.98,13.17,736580
2016-06-28T17:30,13.17,13.25,13.14,13.25,767599
2016-06-29T13:30,13.35,13.46,13.35,13.43,579647
2016-06-29T17:30,13.43,13.53,13.42,13.52,768262
2016-06-30T13:30,13.55,13.92,13.5,13.88,1348851
2016-06-30T17:30,13.88,14.05,13.88,14.05,1666956
2016-07-01T13:30,14.02,14.09,13.91,13.91,765742
2016-07-01T17:30,13.91,13.97,13.9,13.96,1050268
2016-07-05T13:30,13.86,13.87,13.77,13.78,490757
2016-07-05T17:30,13.78,13.81,13.74,13.78,903196
2016-07-06T13:30,13.71,13.84,13.7,13.8,776949
2016-07-06T17:30,13.8,13.83,13.77,13.8,743028
2016-07-07T13:30,13.83,13.93,13.73,13.75,425459
2016-07-07T17:30,13.74,13.78,13.7,13.75,412250
2016-07-08T13:30,13.84,13.9,13.8,13.88,307173
2016-07-08T17:30,13.88,13.91,13.86,13.88,449893
2016-07-11T13:30,13.91,13.98,13.88,13.96,412646
2016-07-11T17:30,13.96,14,13.95,13.97,445532
2016-07-12T13:30,14.02,14.07,13.95,13.98,472803
2016-07-12T17:30,13.98,13.99,13.93,13.93,644723
2016-07-13T13:30,13.93,14,13.92,13.96,312178
2016-07-13T17:30,13.96,13.96,13.92,13.93,358354
2016-07-14T13:30,14.02,14.07,13.94,13.96,382306
2016-07-14T17:30,13.96,13.97,13.95,13.95,491572
2016-07-15T13:30,13.95,13.98,13.88,13.89,307921
2016-07-15T17:30,13.89,13.91,13.88,13.89,493263
2016-07-18T13:30,13.9,13.91,13.82,13.83,512238
2016-07-18T17:30,13.83,13.86,13.81,13.82,613096
2016-07-19T13:30,13.75,13.79,13.64,13.71,506040
2016-07-19T17:30,13.71,13.75,13.7,13.74,502763
2016-07-20T13:30,13.75,13.82,13.73,13.76,259907
2016-07-20T17:30,13.76,13.77,13.72,13.72,293672
2016-07-21T13:30,13.67,13.73,13.65,13.68,431367
2016-07-21T17:30,13.69,13.69,13.64,13.67,358144
2016-07-22T13:30,13.68,13.86,13.68,13.84,520618
2016-07-22T17:30,13.84,13.84,13.8,13.82,394343
2016-07-25T13:30,13.8,13.83,13.72,13.74,449595
2016-07-25T17:30,13.74,13.75,13.7,13.71,760605
2016-07-26T13:30,13.76,13.94,13.72,13.75,721812
2016-07-26T17:30,13.75,13.78,13.71,13.77,650619
2016-07-27T13:30,13.77,13.82,13.66,13.68,356203
2016-07-27T17:30,13.68,13.75,13.67,13.69,602981
2016-07-28T13:30,13.65,13.82,13.51,13.77,656492
2016-07-28T17:30,13.77,13.79,13.75,13.76,705727
2016-07-29T13:30,13.71,13.74,13.65,13.7,632677
2016-07-29T17:30,13.7,13.71,13.64,13.65,759352
2016-08-01T13:30,13.37,13.71,13.37,13.6,537103
2016-08-01T17:30,13.6,13.63,13.58,13.63,545669
2016-08-02T13:30,13.62,13.66,13.57,13.61,573959
2016-08-02T17:30,13.61,13.66,13.6,13.63,637724
2016-08-03T13:30,13.63,13.71,13.63,13.7,391113
2016-08-03T17:30,13.69,13.71,13.68,13.71,402859
2016-08-04T13:30,13.71,13.79,13.69,13.71,214193
2016-08-04T17:30,13.71,13.71,13.65,13.66,339992
2016-08-05T13:30,13.72,13.77,13.69,13.74,284844
2016-08-05T17:30,13.74,13.79,13.74,13.79,273256
2016-08-08T13:30,13.79,13.83,13.77,13.81,210796
2016-08-08T17:30,13.81,13.83,13.8,13.83,329472
2016-08-09T13:30,13.83,13.85,13.77,13.77,216781
2016-08-09T17:30,13.77,13.78,13.75,13.77,341352
2016-08-10T13:30,13.77,13.78,13.72,13.74,182912
2016-08-10T17:30,13.74,13.74,13.7,13.72,347589
2016-08-11T13:30,13.73,13.75,13.7,13.7,146726
2016-08-11T17:30,13.7,13.72,13.67,13.67,200390
2016-08-12T13:30,13.64,13.69,13.61,13.65,133761
2016-08-12T17:30,13.65,13.66,13.63,13.63,169208
2016-08-15T13:30,13.64,13.66,13.62,13.65,136707
2016-08-15T17:30,13.65,13.69,13.65,13.69,628793
2016-08-16T13:30,13.64,13.7,13.6,13.62,283827
2016-08-16T17:30,13.61,13.66,13.6,13.6,449867
2016-08-17T13:30,13.58,13.62,13.51,13.6,608538
2016-08-17T17:30,13.6,13.63,13.59,13.59,529463
2016-08-18T13:30,13.6,13.66,13.6,13.66,634352
2016-08-18T17:30,13.66,13.72,13.66,13.72,393238
2016-08-19T13:30,13.64,13.69,13.59,13.65,506569
2016-08-19T17:30,13.64,13.73,13.64,13.73,593877
2016-08-22T13:30,13.68,13.74,13.64,13.69,206405
2016-08-22T17:30,13.7,13.77,13.69,13.77,315345
2016-08-23T13:30,13.8,13.82,13.64,13.68,731819
2016-08-23T17:30,13.68,13.72,13.66,13.66,394192
