date,open,high,low,close,volume
2016-01-04T14:30,42.73,43.44,42.59,42.85,1306656
2016-01-04T18:30,42.85,43.05,42.55,43.05,1325279
2016-01-05T14:30,43.25,43.78,43.04,43.37,1659697
2016-01-05T18:30,43.37,43.75,43.31,43.71,1358470
2016-01-06T14:30,43.03,44.01,43.01,43.64,1736301
2016-01-06T18:30,43.63,43.74,43.08,43.65,1855281
2016-01-07T14:30,42.77,43.69,42.47,42.67,2018472
2016-01-07T18:30,42.66,42.76,42.14,42.38,2146346
2016-01-08T14:30,42.73,43.3,42.12,42.14,2420180
2016-01-08T18:30,42.14,42.27,41.55,41.75,1925112
2016-01-11T14:30,41.92,42.18,40.19,40.19,1872012
2016-01-11T18:30,40.2,40.76,39.89,40.55,2105442
2016-01-12T14:30,39.93,40.41,39.37,40.02,3450574
2016-01-12T18:30,40.02,41.01,39.81,40.94,2846859
2016-01-13T14:30,41.19,41.26,39.8,39.81,2064532
2016-01-13T18:30,39.81,39.88,39.17,39.38,2004049
2016-01-14T14:30,39.45,40.17,38.83,40.09,2613136
2016-01-14T18:30,40.1,40.42,40.01,40.16,1950444
2016-01-15T14:30,38.82,39.91,38.82,39.4,2454280
2016-01-15T18:30,39.4,39.63,39.14,39.49,1229899
2016-01-19T14:30,40.13,40.8,39.79,39.87,2153131
2016-01-19T18:30,39.86,40,38.98,39.41,2244125
2016-01-20T14:30,38.83,39.36,38.69,39.02,3013581
2016-01-20T18:30,39.01,40.39,39.01,39.96,2047975
2016-01-21T14:30,39.95,40.07,39.21,39.44,1764509
2016-01-21T18:30,39.44,39.57,39.22,39.31,1362644
2016-01-22T14:30,39.83,39.97,39.32,39.52,1545842
2016-01-22T18:30,39.53,39.78,39.44,39.62,1393296
2016-01-25T14:30,39.45,39.92,39.28,39.85,1395638
2016-01-25T18:30,39.85,39.87,39.35,39.43,848705
2016-01-26T14:30,39.5,40.14,39.36,40.13,2732296
2016-01-26T18:30,40.13,40.19,39.8,40.04,917222
2016-01-27T14:30,39.84,40.47,39.45,40.05,1260529
2016-01-27T18:30,40.04,40.13,39.04,39.38,1009560
2016-01-28T14:30,39.59,39.75,39.01,39.29,3152850
2016-01-28T18:30,39.28,39.35,38.96,39.09,2321902
2016-01-29T14:30,39.41,39.55,38.93,39,3565056
2016-01-29T18:30,39,39.26,38.87,39.26,2836027
2016-02-01T14:30,39.23,39.58,38.78,39.34,2062774
2016-02-01T18:30,39.35,39.38,39.13,39.18,2450641
2016-02-02T14:30,38.71,38.8,37.74,38.24,1754848
2016-02-02T18:30,38.25,38.25,37.84,38.04,1395942
2016-02-03T14:30,38.17,38.31,36.9,37.35,2225037
2016-02-03T18:30,37.35,37.94,37.2,37.68,2736012
2016-02-04T14:30,37.54,38.27,37.34,37.86,1867319
2016-02-04T18:30,37.86,37.99,37.53,37.9,1930537
2016-02-05T14:30,37.69,37.87,37.05,37.67,2236358
2016-02-05T18:30,37.67,37.67,37.1,37.31,1698377
2016-02-08T14:30,36.85,37.14,36.34,36.35,1933356
2016-02-08T18:30,36.36,36.84,36.12,36.64,1616106
2016-02-09T14:30,36.11,37.37,35.93,36.13,3478928
2016-02-09T18:30,36.14,36.81,36.13,36.38,2326996
2016-02-10T14:30,36.64,36.93,36.06,36.35,3741704
